league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
serie-a,2018-2019,18/08/2018,Chievo,Juventus,2,3,7,23,2,11,0,8,7,9,2,0,0,0,A,1,1,D,13,5.75,1.25,14,6.25,1.22,13,5.8,1.25
serie-a,2018-2019,18/08/2018,Lazio,Napoli,1,2,9,11,5,6,4,7,8,5,0,0,0,0,A,1,1,D,2.8,3.4,2.5,2.8,3.5,2.45,2.8,3.55,2.4
serie-a,2018-2019,19/08/2018,Bologna,Spal,0,1,8,10,3,5,7,0,16,11,4,2,1,0,A,0,0,D,2.25,3.2,3.4,2.25,3.2,3.4,2.25,3.1,3.45
serie-a,2018-2019,19/08/2018,Empoli,Cagliari,2,0,9,12,4,5,6,6,19,19,3,3,0,0,H,1,0,H,2.14,3.2,3.6,2.15,3.25,3.6,2.15,3.3,3.45
serie-a,2018-2019,19/08/2018,Parma,Udinese,2,2,9,16,6,6,4,5,10,13,2,2,0,0,D,1,0,H,2.45,3.3,2.9,2.45,3.2,3,2.45,3.15,3.05
serie-a,2018-2019,19/08/2018,Sassuolo,Inter,1,0,7,11,5,4,4,4,23,11,3,2,0,0,H,1,0,H,5.5,4,1.61,5.25,3.9,1.65,5.4,4,1.6
serie-a,2018-2019,19/08/2018,Torino,Roma,0,1,8,16,5,13,6,5,10,14,1,3,0,0,A,0,0,D,3.5,3.5,2.1,3.5,3.6,2.05,3.4,3.55,2.1
serie-a,2018-2019,20/08/2018,Atalanta,Frosinone,4,0,16,6,10,1,4,4,14,10,0,2,0,0,H,1,0,H,1.36,4.5,11,1.36,5,8.5,1.35,4.95,9.6
serie-a,2018-2019,25/08/2018,Juventus,Lazio,2,0,14,8,9,3,6,2,12,13,3,2,0,0,H,1,0,H,1.36,5,8.5,1.36,5,8.5,1.38,4.95,8
serie-a,2018-2019,25/08/2018,Napoli,Milan,3,2,21,6,13,4,5,1,12,9,2,2,0,0,H,0,1,A,1.61,4,5.5,1.62,4,5.5,1.67,3.95,5.1
