league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2021-2022,21/08/2021,Inter,Genoa,4,0,17,11,8,5,8,2,18,7,1,2,0,0,H,2,0,H,1.33,5.25,9,1.33,5.5,8.5,1.37,5.25,8,1.66,2.2,1.75,2.05,1.28,5.75,11,1.3,5.25,10.5,1.3,5.25,11,1.61,2.3,1.88,2.05
serie-a,2021-2022,21/08/2021,Verona,Sassuolo,2,3,12,15,4,8,7,4,11,12,3,2,1,0,A,0,1,A,2.62,3.3,2.62,2.55,3.5,2.7,2.6,3.45,2.7,1.9,2.03,1.93,2,2.5,3.4,2.75,2.55,3.5,2.7,2.55,3.35,2.75,1.8,2,1.88,2.05
serie-a,2021-2022,21/08/2021,Empoli,Lazio,1,3,16,8,5,5,5,3,13,10,2,1,0,0,A,1,3,A,4.6,4,1.7,4.6,3.9,1.75,4.6,3.95,1.7,1.72,2.1,1.98,1.95,3.75,3.8,1.9,4,3.75,1.87,3.65,3.75,1.95,1.66,2.2,2,1.93
serie-a,2021-2022,21/08/2021,Torino,Atalanta,1,2,19,6,8,2,5,1,17,13,2,2,0,0,A,0,1,A,5.5,4.33,1.55,5,4.25,1.62,5.25,4.3,1.6,1.57,2.37,1.89,2.04,6,4.5,1.5,6.25,4.5,1.5,6,4.5,1.53,1.53,2.5,2.06,1.87
serie-a,2021-2022,22/08/2021,Bologna,Salernitana,3,2,18,8,7,4,9,4,13,15,6,3,2,1,H,0,0,D,1.65,4,5,1.67,4,5,1.63,4.1,5.25,1.8,2,1.85,2.08,1.5,4.5,6,1.53,4.4,6,1.55,4.3,5.75,1.72,2.1,1.94,1.99
serie-a,2021-2022,22/08/2021,Udinese,Juventus,2,2,11,11,6,4,3,3,11,12,1,3,0,0,D,0,2,A,7.5,4.33,1.45,7.5,4.5,1.44,7.5,4.4,1.45,1.72,2.1,2.05,1.75,7,4,1.5,5.75,4.2,1.57,6.75,4.1,1.53,2.09,1.84,1.91,1.99
serie-a,2021-2022,22/08/2021,Napoli,Venezia,2,0,13,8,4,4,2,2,5,22,1,7,1,0,H,0,0,D,1.22,6.5,12,1.25,6.25,11,1.25,6.5,11,1.44,2.75,1.89,2.04,1.2,6.5,13,1.22,6.75,12,1.22,6.75,12,1.4,3,2.04,1.89
serie-a,2021-2022,22/08/2021,Roma,Fiorentina,3,1,11,11,6,8,4,4,12,14,3,2,1,1,H,1,0,H,1.72,3.8,4.75,1.72,4,4.6,1.75,3.95,4.3,1.66,2.2,2.02,1.91,1.6,4.2,5.25,1.6,4.33,5.25,1.63,4.2,4.9,1.61,2.3,1.85,2.08
serie-a,2021-2022,23/08/2021,Cagliari,Spezia,2,2,16,13,10,6,11,4,17,17,2,3,0,0,D,0,1,A,1.95,3.4,4,2,3.7,3.6,1.95,3.65,3.8,1.9,1.9,1.99,1.94,1.8,3.6,4.5,1.83,3.6,4.5,1.83,3.55,4.5,2,1.8,1.83,2.1
serie-a,2021-2022,23/08/2021,Sampdoria,Milan,0,1,11,10,3,4,8,3,16,14,3,1,0,0,A,0,1,A,4,3.6,1.9,4.33,3.5,1.87,3.85,3.6,1.95,1.8,2,1.95,1.98,3.6,3.5,2,3.6,3.4,2.1,3.45,3.5,2.1,1.8,2,1.75,2.05
