league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2024-2025,17/08/2024,Genoa,Inter,2,2,10,14,6,9,1,4,15,14,1,2,0,0,D,1,1,D,6.5,4,1.53,6,4.1,1.55,1.9,2,1.97,1.93,7,4.1,1.5,6.5,4.2,1.5,1.91,1.99,2.06,1.87
serie-a,2024-2025,17/08/2024,Parma,Fiorentina,1,1,13,14,5,7,4,9,15,9,3,2,0,1,D,1,0,H,3.5,3.2,2.2,3.2,3.4,2.2,1.9,2,1.97,1.93,3.5,3.25,2.15,3.5,3.3,2.15,1.95,1.95,2.07,1.86
serie-a,2024-2025,17/08/2024,Empoli,Monza,0,0,9,4,1,1,7,3,16,19,0,2,0,0,D,0,0,D,2.5,3.2,3,2.4,3.2,3,2.1,1.73,2.1,1.7,2.4,3.1,3.1,2.45,3.1,3,2.2,1.67,2.1,1.83
serie-a,2024-2025,17/08/2024,Milan,Torino,2,2,20,6,6,3,9,2,10,7,2,4,0,0,D,0,1,A,1.62,3.8,5.75,1.68,3.75,5,1.95,1.95,1.81,2.09,1.53,4.2,6.5,1.52,4.33,6,1.73,2.1,1.89,2.04
serie-a,2024-2025,18/08/2024,Bologna,Udinese,1,1,22,4,7,2,7,5,15,13,0,4,0,0,D,0,0,D,1.91,3.4,4.33,1.9,3.3,4.33,2.3,1.62,1.95,1.95,2.05,3.3,3.9,2.05,3.2,3.9,2.3,1.62,2.1,1.83
serie-a,2024-2025,18/08/2024,Verona,Napoli,3,0,8,15,5,5,1,5,15,13,4,1,0,0,H,0,0,D,4.75,3.6,1.75,4.4,3.6,1.8,1.93,1.97,1.85,2.05,5.25,3.6,1.7,5,3.7,1.71,1.95,1.95,2,1.93
serie-a,2024-2025,18/08/2024,Cagliari,Roma,0,0,12,13,2,3,5,3,15,7,2,0,0,0,D,0,0,D,4.1,3.4,1.95,3.7,3.5,2,1.99,1.91,1.91,1.99,3.7,3.4,2.05,3.5,3.4,2.1,1.9,2,2.05,1.75
serie-a,2024-2025,18/08/2024,Lazio,Venezia,3,1,13,11,6,3,6,3,14,11,1,2,0,0,H,2,1,H,1.48,4.1,7.5,1.49,4.2,6.5,1.89,2.01,2.09,1.81,1.4,4.33,9,1.39,4.75,8.25,1.9,2,1.98,1.95
serie-a,2024-2025,19/08/2024,Lecce,Atalanta,0,4,19,10,5,6,5,3,10,24,0,2,0,0,A,0,2,A,4.2,3.7,1.85,4.1,3.6,1.87,1.98,1.92,2.01,1.89,3.5,3.4,2.1,3.6,3.25,2.1,2,1.8,2.07,1.86
serie-a,2024-2025,19/08/2024,Juventus,Como,3,0,12,1,9,1,3,0,12,6,2,4,0,0,H,2,0,H,1.33,5,9.5,1.34,5,9.25,1.86,2.04,2.05,1.85,1.55,4,6,1.55,4.2,6,2.03,1.87,2.03,1.9
serie-a,2024-2025,24/08/2024,Parma,Milan,2,1,8,17,5,5,3,9,9,13,0,3,0,0,H,1,0,H,4.75,3.9,1.7,4.5,3.9,1.73,1.73,2.1,2.01,1.89,5.25,4.2,1.6,5.25,4.1,1.61,1.57,2.38,1.9,2.03
serie-a,2024-2025,24/08/2024,Udinese,Lazio,2,1,8,17,3,5,4,13,15,10,0,0,1,0,H,1,0,H,3.3,3.1,2.35,3.1,3.1,2.4,2.3,1.62,1.86,2.04,3.2,3.2,2.35,3.25,3.1,2.35,2.2,1.67,1.88,2.05
serie-a,2024-2025,24/08/2024,Inter,Lecce,2,0,11,10,3,4,10,6,9,12,0,2,0,0,H,1,0,H,1.2,7,13,1.21,6.75,13.5,1.57,2.38,1.78,2.03,1.2,7,12,1.21,6.75,13,1.57,2.38,1.85,2.08
serie-a,2024-2025,24/08/2024,Monza,Genoa,0,1,9,11,2,1,8,3,6,17,2,3,0,0,A,0,1,A,2.6,3.1,2.88,2.55,3.1,2.9,2.3,1.62,1.84,2.06,2.63,3.1,2.88,2.7,2.95,2.85,2.3,1.62,1.88,2.05
serie-a,2024-2025,25/08/2024,Fiorentina,Venezia,0,0,12,7,8,4,7,3,13,19,1,2,0,0,D,0,0,D,1.42,4.75,7,1.43,4.5,7.5,1.88,2.02,2.01,1.89,1.45,4.75,6.25,1.47,4.5,6.5,1.73,2.1,2.1,1.83
serie-a,2024-2025,25/08/2024,Torino,Atalanta,2,1,13,24,6,8,4,6,8,13,3,4,0,0,H,1,1,D,3.2,3.1,2.38,3.1,3.2,2.37,2.1,1.73,1.87,2.03,3.5,3.1,2.25,3.4,3.25,2.2,2.1,1.73,1.98,1.95
serie-a,2024-2025,25/08/2024,Napoli,Bologna,3,0,16,9,5,2,7,5,11,17,2,2,0,0,H,1,0,H,1.9,3.5,4.1,1.9,3.5,4,2.03,1.87,1.95,1.95,1.95,3.3,4.2,1.98,3.3,4,2.3,1.62,2.03,1.9
serie-a,2024-2025,25/08/2024,Roma,Empoli,1,2,17,10,6,3,8,5,10,9,0,3,0,0,A,0,1,A,1.5,4.33,6.5,1.51,4.2,6.5,1.87,2.03,1.85,2.05,1.48,4.33,6.5,1.46,4.4,7,1.91,1.99,1.83,2.1
serie-a,2024-2025,26/08/2024,Cagliari,Como,1,1,11,13,5,4,5,6,12,10,2,2,0,0,D,1,0,H,2.1,3.4,3.4,2.05,3.4,3.5,2.01,1.89,1.85,2.05,2.25,3.3,3.3,2.2,3.25,3.3,2.1,1.73,1.94,1.99
serie-a,2024-2025,26/08/2024,Verona,Juventus,0,3,7,7,1,5,4,1,8,8,2,0,0,0,A,0,2,A,5.25,3.75,1.67,5.25,3.7,1.7,2,1.8,1.95,1.95,4.33,3.4,1.85,4.5,3.3,1.85,2.3,1.62,2.02,1.91
serie-a,2024-2025,30/08/2024,Venezia,Torino,0,1,13,12,4,6,3,3,7,15,2,4,0,0,A,0,0,D,3.4,3.3,2.2,3.4,3.25,2.15,2.15,1.67,2.02,1.91,3.25,3.3,2.2,3.3,3.2,2.25,2.15,1.67,1.94,1.99
serie-a,2024-2025,30/08/2024,Inter,Atalanta,4,0,13,11,5,1,3,4,6,15,0,2,0,0,H,2,0,H,1.57,4.33,5.5,1.57,4.33,5.5,1.62,2.3,1.95,1.98,1.5,4.33,6.25,1.51,4.4,6,1.62,2.3,1.85,2.08
serie-a,2024-2025,31/08/2024,Bologna,Empoli,1,1,14,4,3,2,6,3,15,18,0,3,0,0,D,1,1,D,1.62,3.75,6,1.63,3.75,5.75,2.1,1.73,1.84,2.06,1.7,3.5,5.25,1.72,3.5,5.25,2.2,1.67,1.96,1.97
serie-a,2024-2025,31/08/2024,Lecce,Cagliari,1,0,17,21,4,2,7,10,10,13,1,3,1,0,H,1,0,H,2.25,3.2,3.4,2.2,3.2,3.4,2.3,1.62,1.95,1.95,2.2,3.2,3.5,2.25,3.1,3.4,2.3,1.62,1.88,2.05
serie-a,2024-2025,31/08/2024,Lazio,Milan,2,2,7,10,5,4,5,7,12,9,4,2,0,0,D,0,1,A,2.9,3.4,2.4,2.75,3.4,2.45,1.9,2,1.8,2.1,2.8,3.4,2.55,2.75,3.3,2.55,1.9,2,2.07,1.86
serie-a,2024-2025,31/08/2024,Napoli,Parma,2,1,29,13,7,2,6,4,12,6,2,4,0,1,H,0,1,A,1.48,4.33,7,1.5,4.33,6.25,1.73,2.1,2.09,1.81,1.42,4.75,7.5,1.44,4.75,6.75,1.57,2.38,1.93,2
serie-a,2024-2025,01/09/2024,Fiorentina,Monza,2,2,15,4,5,3,6,0,11,21,2,4,0,0,D,1,2,A,1.67,3.9,5,1.68,3.8,5,2.04,1.86,1.91,1.99,1.85,3.4,4.33,1.87,3.3,4.5,2.2,1.67,1.92,2.01
serie-a,2024-2025,01/09/2024,Genoa,Verona,0,2,11,10,1,3,3,1,8,16,2,6,0,0,A,0,0,D,2,3.3,4,2.05,3.2,3.9,2.3,1.62,2.03,1.87,2.05,3.3,3.7,2.1,3.2,3.75,2.3,1.62,1.84,2.09
serie-a,2024-2025,01/09/2024,Juventus,Roma,0,0,8,7,1,1,6,4,11,12,2,2,0,0,D,0,0,D,1.75,3.6,5,1.8,3.6,4.5,2,1.8,2.01,1.89,1.75,3.5,5,1.78,3.5,4.6,2,1.8,2.05,1.88
serie-a,2024-2025,01/09/2024,Udinese,Como,1,0,10,21,3,4,4,6,16,9,3,0,0,0,H,1,0,H,2.05,3.4,3.75,2,3.3,3.8,2.1,1.73,2.07,1.83,2.25,3.3,3.3,2.25,3.2,3.3,2.1,1.73,2.01,1.92
serie-a,2024-2025,14/09/2024,Como,Bologna,2,2,14,14,4,4,4,3,17,12,2,1,0,0,D,1,0,H,3,3.25,2.45,2.9,3.2,2.5,2.2,1.67,2.08,1.73,2.9,3.1,2.55,3,3,2.55,2.38,1.57,2.1,1.83
serie-a,2024-2025,14/09/2024,Empoli,Juventus,0,0,8,15,3,3,4,8,11,10,1,2,0,0,D,0,0,D,5.25,3.6,1.7,5,3.6,1.73,2.2,1.67,1.95,1.95,6,3.7,1.6,6,3.6,1.63,2.3,1.62,2.11,1.82
serie-a,2024-2025,14/09/2024,Milan,Venezia,4,0,12,6,8,1,6,1,12,12,1,3,0,1,H,4,0,H,1.3,5.75,9,1.31,5.5,9.5,1.53,2.5,1.86,2.04,1.25,6,11,1.27,6.25,10,1.44,2.75,1.99,1.94
serie-a,2024-2025,15/09/2024,Genoa,Roma,1,1,20,16,8,6,4,5,9,12,1,3,0,0,D,0,1,A,3.25,3.3,2.25,3.3,3.3,2.2,2.2,1.67,1.91,1.99,3.3,3.3,2.2,3.4,3.2,2.2,2.2,1.67,2,1.93
serie-a,2024-2025,15/09/2024,Atalanta,Fiorentina,3,2,13,13,7,5,4,2,16,15,2,3,0,0,H,3,2,H,1.8,3.6,4.5,1.8,3.75,4.2,1.73,2.1,2.07,1.83,1.8,3.5,4.75,1.85,3.6,4.2,1.89,2.01,1.84,2.09
serie-a,2024-2025,15/09/2024,Torino,Lecce,0,0,5,20,0,6,2,7,13,13,1,3,0,0,D,0,0,D,1.8,3.5,4.75,1.82,3.4,4.75,2.3,1.62,1.83,2.07,1.91,3.5,4.1,1.93,3.25,4.33,2.3,1.62,1.97,1.96
serie-a,2024-2025,15/09/2024,Cagliari,Napoli,0,4,16,12,3,5,7,4,22,11,1,2,0,0,A,0,1,A,4.33,3.75,1.8,4.2,3.75,1.8,1.89,2.01,2.07,1.83,4.5,3.9,1.75,4.4,3.7,1.78,1.8,2,1.87,2.06
serie-a,2024-2025,15/09/2024,Monza,Inter,1,1,5,16,2,2,1,8,11,19,1,2,0,0,D,0,0,D,8,4.75,1.4,7.25,4.8,1.42,1.67,2.2,1.99,1.91,8,5,1.38,8.5,4.8,1.37,1.8,2,2.06,1.87
serie-a,2024-2025,16/09/2024,Parma,Udinese,2,3,9,18,3,6,5,6,8,18,2,3,1,0,A,2,0,H,2.25,3.4,3.2,2.25,3.3,3.1,2.04,1.86,1.99,1.91,2.2,3.5,3.25,2.2,3.3,3.25,1.99,1.91,1.97,1.96
serie-a,2024-2025,16/09/2024,Lazio,Verona,2,1,14,7,7,2,9,6,13,10,2,2,0,0,H,2,1,H,1.62,3.8,6,1.63,3.8,5.5,2.06,1.84,1.82,2.08,1.55,3.9,6.25,1.57,4,6,1.98,1.92,2.02,1.91
serie-a,2024-2025,20/09/2024,Cagliari,Empoli,0,2,21,9,2,4,10,4,15,21,1,2,0,0,A,0,1,A,2.15,3.4,3.4,2.15,3.25,3.5,2.2,1.67,1.87,2.06,2,3.3,4,2.05,3.25,3.8,2.2,1.67,2.07,1.86
serie-a,2024-2025,20/09/2024,Verona,Torino,2,3,8,16,2,3,5,6,10,8,3,1,1,0,A,1,2,A,2.7,3,2.8,2.75,2.95,2.8,2.63,1.5,1.94,1.99,2.8,3,2.75,2.8,2.9,2.75,2.75,1.44,1.99,1.94
serie-a,2024-2025,21/09/2024,Venezia,Genoa,2,0,12,9,4,0,3,4,9,12,2,3,0,0,H,0,0,D,3.25,3.2,2.35,3,3.25,2.37,2.2,1.67,1.86,2.07,2.88,3.1,2.63,2.85,3.1,2.55,2.2,1.67,2.08,1.85
serie-a,2024-2025,21/09/2024,Juventus,Napoli,0,0,9,8,1,1,4,3,10,13,1,0,0,0,D,0,0,D,2.2,3.4,3.3,2.15,3.3,3.5,2.2,1.67,1.94,1.99,2.38,3.2,3.1,2.4,3.1,3.1,2.3,1.62,2.09,1.84
serie-a,2024-2025,21/09/2024,Lecce,Parma,2,2,14,24,3,10,2,12,12,11,4,0,1,1,D,1,0,H,2.2,3.5,3.25,2.25,3.4,3.1,1.91,1.99,1.93,2,2.1,3.4,3.6,2.1,3.4,3.5,1.95,1.95,1.83,2.1
serie-a,2024-2025,22/09/2024,Fiorentina,Lazio,2,1,14,20,5,6,3,10,11,15,3,4,0,0,H,0,1,A,2.25,3.4,3.2,2.25,3.3,3.1,2.06,1.84,2.02,1.91,2.3,3.3,3,2.35,3.25,3.1,2.07,1.83,2.07,1.86
serie-a,2024-2025,22/09/2024,Monza,Bologna,1,2,6,15,3,8,2,2,20,16,3,2,0,0,A,1,1,D,3.3,3.1,2.4,3.1,3.2,2.35,2.3,1.62,1.84,2.09,3.1,2.88,2.6,3.1,2.87,2.55,2.75,1.44,1.68,2.15
serie-a,2024-2025,22/09/2024,Roma,Udinese,3,0,14,9,6,3,2,1,15,11,2,2,0,0,H,1,0,H,1.62,4.2,5.25,1.63,3.75,5.5,2.05,1.85,1.83,2.1,1.7,4.2,4.5,1.68,3.9,4.8,1.88,2.02,1.92,2.01
serie-a,2024-2025,22/09/2024,Inter,Milan,1,2,13,16,4,8,6,2,13,4,4,1,0,0,A,1,1,D,1.65,4,5.25,1.66,4,5,1.67,2.2,1.85,2.08,1.67,3.9,5.25,1.7,3.8,4.8,1.73,2.1,1.86,2.07
serie-a,2024-2025,24/09/2024,Atalanta,Como,2,3,8,14,5,7,6,2,12,17,1,3,0,0,A,1,0,H,1.44,4.5,7,1.44,4.6,6.75,1.67,2.2,2,1.81,1.53,4.5,5.75,1.52,4.33,6,1.67,2.2,1.92,2.01
serie-a,2024-2025,27/09/2024,Milan,Lecce,3,0,15,16,6,7,4,7,5,8,1,1,1,0,H,3,0,H,1.33,5.75,8,1.35,5.5,8,1.5,2.63,1.95,1.95,1.29,5.75,9.5,1.29,6,9.25,1.5,2.63,1.78,2.03
