pick_id,published_at_utc,kickoff_utc,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model,model_fair_odds,model_implied_prob,book_odds,edge,current_model_would_have_priced,confidence_guard_applied,blocked_reason,result,pnl_units,raw_model_probability,market_fair_probability,model_market_gap,matchday,team_neff,opponent_neff,model_mean,distribution_parameter,signal_status
corners_v3|2026-08-22|ligue-1|lens|auxerre|9.5|under,2026-08-19T12:30:05Z,2026-08-22T15:15:00Z,2026-08-22|ligue-1|lens|auxerre,2026-08-22,ligue-1,Lens vs Auxerre,Lens,Auxerre,,Pinnacle,under 9.5,9.5,under,corners_v3,1.881647,0.531449,2.05,0.089471,true,false,,,,0.531449,0.460001,0.071449,1,20,20,9.461379,0.01716653,warmup_tracking
corners_v3|2026-08-22|serie-a|udinese|como|8.5|over,2026-08-21T15:00:05Z,2026-08-22T16:30:00Z,2026-08-22|serie-a|udinese|como,2026-08-22,serie-a,Udinese vs Como,Udinese,Como,,Pinnacle,over 8.5,8.5,over,corners_v3,1.733041,0.57702,1.8197,0.050004,true,false,,,,0.57702,0.524845,0.052175,1,20,20,9.350333,0.01716653,warmup_tracking
corners_v3|2026-08-22|serie-a|genoa|napoli|8.5|under,2026-08-19T12:30:05Z,2026-08-22T18:45:00Z,2026-08-22|serie-a|genoa|napoli,2026-08-22,serie-a,Genoa vs Napoli,Genoa,Napoli,,Pinnacle,under 8.5,8.5,under,corners_v3,1.836855,0.544409,1.9009,0.034867,true,false,,,,0.544409,0.504393,0.040016,1,20,20,8.371265,0.01716653,warmup_tracking
corners_v3|2026-08-22|ligue-1|toulouse|lyon|8.5|under,2026-08-19T12:30:05Z,2026-08-22T18:45:00Z,2026-08-22|ligue-1|toulouse|lyon,2026-08-22,ligue-1,Toulouse vs Lyon,Toulouse,Lyon,,Pinnacle,under 8.5,8.5,under,corners_v3,2.358445,0.424008,2.59,0.098181,true,false,,,,0.424008,0.36062,0.063388,1,20,20,9.341573,0.01716653,warmup_tracking
corners_v3|2026-08-22|la-liga|espanol|real madrid|9.5|under,2026-08-19T12:30:05Z,2026-08-22T19:30:00Z,2026-08-22|la-liga|espanol|real madrid,2026-08-22,la-liga,Espanyol vs Real Madrid,Espanyol,Real Madrid,,Pinnacle,under 9.5,9.5,under,corners_v3,1.898488,0.526735,2.15,0.13248,true,false,,,,0.526735,0.440745,0.08599,1,20,20,9.500525,0.01716653,warmup_tracking
corners_v3|2026-08-23|ligue-1|angers|lille|8.5|under,2026-08-19T12:30:05Z,2026-08-23T13:00:00Z,2026-08-23|ligue-1|angers|lille,2026-08-23,ligue-1,Angers vs Lille,Angers,Lille,,Pinnacle,under 8.5,8.5,under,corners_v3,1.98222,0.504485,2.24,0.130046,true,false,,,,0.504485,0.41871,0.085775,1,20,20,8.683395,0.01716653,warmup_tracking
corners_v3|2026-08-23|epl|brighton|aston villa|9.5|under,2026-08-19T12:30:05Z,2026-08-23T13:00:00Z,2026-08-23|epl|brighton|aston villa,2026-08-23,epl,Brighton vs Aston Villa,Brighton,Aston Villa,,Pinnacle,under 9.5,9.5,under,corners_v3,1.934011,0.51706,2.05,0.059973,true,false,,,,0.51706,0.462422,0.054638,1,20,20,9.581154,0.01716653,warmup_tracking
corners_v3|2026-08-23|la-liga|ath madrid|villarreal|9.5|under,2026-08-20T11:00:11Z,2026-08-23T15:00:00Z,2026-08-23|la-liga|ath madrid|villarreal,2026-08-23,la-liga,Atletico Madrid vs Villarreal,Atletico Madrid,Villarreal,,Pinnacle,under 9.5,9.5,under,corners_v3,1.908371,0.524007,2.13,0.116135,true,false,,,,0.524007,0.445197,0.07881,1,20,20,9.523217,0.01716653,warmup_tracking
corners_v3|2026-08-23|ligue-1|le havre|monaco|8.5|under,2026-08-19T12:30:05Z,2026-08-23T15:15:00Z,2026-08-23|ligue-1|le havre|monaco,2026-08-23,ligue-1,Le Havre vs Monaco,Le Havre,Monaco,,Pinnacle,under 8.5,8.5,under,corners_v3,2.046078,0.48874,2.6,0.270724,true,false,,,,0.48874,0.359732,0.129008,1,20,20,8.808599,0.01716653,warmup_tracking
corners_v3|2026-08-23|serie-a|torino|milan|8.5|over,2026-08-21T15:00:05Z,2026-08-23T18:45:00Z,2026-08-23|serie-a|torino|milan,2026-08-23,serie-a,Torino vs AC Milan,Torino,AC Milan,,Pinnacle,over 8.5,8.5,over,corners_v3,1.744896,0.5731,1.8197,0.04287,true,false,,,,0.5731,0.524845,0.048255,1,20,20,9.316999,0.01716653,warmup_tracking
