pick_id,published_at_utc,kickoff_utc,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model,model_fair_odds,model_implied_prob,book_odds,edge,current_model_would_have_priced,confidence_guard_applied,blocked_reason,result,pnl_units,model_input_version,price_captured_at_utc,market_strength_captured_at_utc,raw_model_probability,market_fair_probability,model_market_gap,matchday,team_neff,opponent_neff,model_mean,distribution_parameter,signal_status
corners_v3|2026-09-13|ligue-1|brest|paris sg|8.5|under,2026-09-12T18:36:31Z,2026-09-13T18:45:00Z,2026-09-13|ligue-1|brest|paris sg,2026-09-13,ligue-1,Brest vs Paris Saint-Germain,Brest,Paris Saint-Germain,,Pinnacle,under 8.5,8.5,under,corners_v3,1.924915,0.519503,2.52,0.309149,true,false,,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.519503,0.373134,0.146369,4,20,20,8.565175,0.01716653,eligible
corners_v3|2026-09-13|ligue-1|brest|paris sg|9.5|under,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|ligue-1|brest|paris sg,2026-09-13,ligue-1,Brest vs Paris Saint-Germain,Brest,Paris Saint-Germain,,Pinnacle,under 9.5,9.5,under,corners_v3,1.560182,0.640951,2.0,0.281902,true,false,,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.640951,0.477315,0.163635,4,20,20,8.565175,0.01716653,eligible
corners_v3|2026-09-13|ligue-1|brest|paris sg|10.5|under,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|ligue-1|brest|paris sg,2026-09-13,ligue-1,Brest vs Paris Saint-Germain,Brest,Paris Saint-Germain,,Pinnacle,under 10.5,10.5,under,corners_v3,1.341113,0.74565,1.6211,0.208773,true,false,,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.74565,0.58123,0.164419,4,20,20,8.565175,0.01716653,eligible
corners_v3|2026-09-13|serie-a|sassuolo|juventus|9.5|under,2026-09-13T17:40:15Z,2026-09-13T18:45:00Z,2026-09-13|serie-a|sassuolo|juventus,2026-09-13,serie-a,Sassuolo vs Juventus,Sassuolo,Juventus,,Pinnacle,under 9.5,9.5,under,corners_v3,1.806066,0.55369,1.8621,0.031025,true,false,,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.55369,0.516614,0.037076,4,20,20,9.277788,0.01716653,eligible
corners_v3|2026-09-13|serie-a|sassuolo|juventus|10.5|under,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|serie-a|sassuolo|juventus,2026-09-13,serie-a,Sassuolo vs Juventus,Sassuolo,Juventus,,Pinnacle,under 10.5,10.5,under,corners_v3,1.500247,0.666557,1.5263,0.017366,false,true,edge_below_3pct,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.666557,0.619025,0.047532,4,20,20,9.277788,0.01716653,blocked
corners_v3|2026-09-13|serie-a|sassuolo|juventus|8.5|under,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|serie-a|sassuolo|juventus,2026-09-13,serie-a,Sassuolo vs Juventus,Sassuolo,Juventus,,Pinnacle,under 8.5,8.5,under,corners_v3,2.317315,0.431534,2.35,0.014105,false,true,edge_below_3pct,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.431534,0.402249,0.029285,4,20,20,9.277788,0.01716653,blocked
corners_v3|2026-09-13|serie-a|sassuolo|juventus|8.5|over,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|serie-a|sassuolo|juventus,2026-09-13,serie-a,Sassuolo vs Juventus,Sassuolo,Juventus,,Pinnacle,over 8.5,8.5,over,corners_v3,1.75912,0.568466,1.5814,-0.101028,false,true,edge_below_3pct,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.568466,0.597751,-0.029285,4,20,20,9.277788,0.01716653,blocked
corners_v3|2026-09-13|serie-a|sassuolo|juventus|9.5|over,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|serie-a|sassuolo|juventus,2026-09-13,serie-a,Sassuolo vs Juventus,Sassuolo,Juventus,,Pinnacle,over 9.5,9.5,over,corners_v3,2.240593,0.44631,1.9901,-0.111798,false,true,edge_below_3pct,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.44631,0.483386,-0.037076,4,20,20,9.277788,0.01716653,blocked
corners_v3|2026-09-13|serie-a|sassuolo|juventus|10.5|over,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|serie-a|sassuolo|juventus,2026-09-13,serie-a,Sassuolo vs Juventus,Sassuolo,Juventus,,Pinnacle,over 10.5,10.5,over,corners_v3,2.999012,0.333443,2.48,-0.173061,false,true,edge_below_3pct,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.333443,0.380975,-0.047532,4,20,20,9.277788,0.01716653,blocked
corners_v3|2026-09-13|ligue-1|brest|paris sg|8.5|over,2026-09-13T17:30:11Z,2026-09-13T18:45:00Z,2026-09-13|ligue-1|brest|paris sg,2026-09-13,ligue-1,Brest vs Paris Saint-Germain,Brest,Paris Saint-Germain,,Pinnacle,over 8.5,8.5,over,corners_v3,2.08118,0.480497,1.5,-0.279255,false,true,edge_below_3pct,,,v3-event-asof-20260912,2026-09-13T17:30:11Z,,0.480497,0.626866,-0.146369,4,20,20,8.565175,0.01716653,blocked
