date,league,home_team,away_team,team_side,football_data_fouls,fotmob_fouls,delta,absolute_delta,exact_match,within_one,fotmob_match_id
2026-05-10,bundesliga,FC Koln,Heidenheim,away,8,8,0,0,True,True,4829605
2026-05-10,bundesliga,FC Koln,Heidenheim,home,9,9,0,0,True,True,4829605
2026-05-10,bundesliga,Hamburg,Freiburg,away,8,8,0,0,True,True,4829606
2026-05-10,bundesliga,Hamburg,Freiburg,home,15,15,0,0,True,True,4829606
2026-05-10,bundesliga,Mainz,Union Berlin,away,10,10,0,0,True,True,4829608
2026-05-10,bundesliga,Mainz,Union Berlin,home,11,11,0,0,True,True,4829608
2026-05-13,ligue-1,Brest,Strasbourg,away,11,11,0,0,True,True,4830711
2026-05-13,ligue-1,Brest,Strasbourg,home,10,10,0,0,True,True,4830711
2026-05-16,bundesliga,Bayern Munich,FC Koln,away,4,4,0,0,True,True,4829613
2026-05-16,bundesliga,Bayern Munich,FC Koln,home,6,6,0,0,True,True,4829613
2026-05-16,bundesliga,Freiburg,RB Leipzig,away,7,7,0,0,True,True,4829616
2026-05-16,bundesliga,Freiburg,RB Leipzig,home,13,13,0,0,True,True,4829616
2026-05-16,bundesliga,Heidenheim,Mainz,away,12,12,0,0,True,True,4829617
2026-05-16,bundesliga,Heidenheim,Mainz,home,8,8,0,0,True,True,4829617
2026-05-16,bundesliga,M'gladbach,Hoffenheim,away,15,15,0,0,True,True,4829614
2026-05-16,bundesliga,M'gladbach,Hoffenheim,home,11,11,0,0,True,True,4829614
2026-05-16,bundesliga,St Pauli,Wolfsburg,away,9,9,0,0,True,True,4829618
2026-05-16,bundesliga,St Pauli,Wolfsburg,home,6,6,0,0,True,True,4829618
2026-05-16,bundesliga,Union Berlin,Augsburg,away,7,7,0,0,True,True,4829619
2026-05-16,bundesliga,Union Berlin,Augsburg,home,6,6,0,0,True,True,4829619
2026-05-17,ligue-1,Brest,Angers,away,8,8,0,0,True,True,4830755
2026-05-17,ligue-1,Brest,Angers,home,9,9,0,0,True,True,4830755
2026-05-17,ligue-1,Lille,Auxerre,away,16,16,0,0,True,True,4830756
2026-05-17,ligue-1,Lille,Auxerre,home,9,9,0,0,True,True,4830756
2026-05-17,ligue-1,Lorient,Le Havre,away,11,11,0,0,True,True,4830757
2026-05-17,ligue-1,Lorient,Le Havre,home,11,11,0,0,True,True,4830757
2026-05-17,ligue-1,Lyon,Lens,away,11,11,0,0,True,True,4830758
2026-05-17,ligue-1,Lyon,Lens,home,10,10,0,0,True,True,4830758
2026-05-17,ligue-1,Marseille,Rennes,away,10,10,0,0,True,True,4830759
2026-05-17,ligue-1,Marseille,Rennes,home,11,11,0,0,True,True,4830759
2026-05-17,ligue-1,Nantes,Toulouse,away,5,5,0,0,True,True,4830760
2026-05-17,ligue-1,Nantes,Toulouse,home,3,3,0,0,True,True,4830760
2026-05-17,ligue-1,Nice,Metz,away,15,15,0,0,True,True,4830761
2026-05-17,ligue-1,Nice,Metz,home,11,11,0,0,True,True,4830761
2026-05-17,ligue-1,Strasbourg,Monaco,away,11,11,0,0,True,True,4830763
2026-05-17,ligue-1,Strasbourg,Monaco,home,7,7,0,0,True,True,4830763
2026-05-23,serie-a,Bologna,Inter,away,14,14,0,0,True,True,4803408
2026-05-23,serie-a,Bologna,Inter,home,15,15,0,0,True,True,4803408
2026-05-23,serie-a,Lazio,Pisa,away,8,8,0,0,True,True,4803411
2026-05-23,serie-a,Lazio,Pisa,home,9,9,0,0,True,True,4803411
2026-05-24,epl,Brighton,Man United,away,8,8,0,0,True,True,4813745
2026-05-24,epl,Brighton,Man United,home,11,11,0,0,True,True,4813745
2026-05-24,epl,Crystal Palace,Arsenal,away,12,12,0,0,True,True,4813747
2026-05-24,epl,Crystal Palace,Arsenal,home,9,9,0,0,True,True,4813747
2026-05-24,epl,Fulham,Newcastle,away,6,6,0,0,True,True,4813748
2026-05-24,epl,Fulham,Newcastle,home,13,13,0,0,True,True,4813748
2026-05-24,epl,Liverpool,Brentford,away,9,9,0,0,True,True,4813749
2026-05-24,epl,Liverpool,Brentford,home,9,9,0,0,True,True,4813749
2026-05-24,epl,Man City,Aston Villa,away,4,4,0,0,True,True,4813750
2026-05-24,epl,Man City,Aston Villa,home,8,8,0,0,True,True,4813750
