date,league,season,team,team_key,opponent,opponent_key,venue,home_team,away_team,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,sot_for,sot_against,corners_for,corners_against,b365h,b365d,b365a,market_team_win_prob,market_opp_win_prob,match_source,xg_source
2014-08-08,ligue-1,2014-2015,Reims,reims,Paris SG,paris sg,home,Reims,Paris SG,2,2,1.368,2.655,9,16,3,6,1,5,9.5,4.5,1.36,0.099,0.6919,football-data,understat
2014-08-08,ligue-1,2014-2015,Paris SG,paris sg,Reims,reims,away,Reims,Paris SG,2,2,2.655,1.368,16,9,6,3,5,1,9.5,4.5,1.36,0.6919,0.099,football-data,understat
2014-08-09,ligue-1,2014-2015,Bastia,bastia,Marseille,marseille,home,Bastia,Marseille,3,3,,,13,9,4,4,1,4,3.9,3.1,2.05,0.2404,0.4573,football-data,
2014-08-09,ligue-1,2014-2015,Marseille,marseille,Bastia,bastia,away,Bastia,Marseille,3,3,,,9,13,4,4,4,1,3.9,3.1,2.05,0.4573,0.2404,football-data,
2014-08-09,ligue-1,2014-2015,Evian Thonon Gaillard,evian thonon gaillard,Caen,caen,home,Evian Thonon Gaillard,Caen,0,3,0.814,1.239,10,12,2,7,5,6,2.38,3.2,3,0.3942,0.3127,football-data,understat
2014-08-09,ligue-1,2014-2015,Caen,caen,Evian Thonon Gaillard,evian thonon gaillard,away,Evian Thonon Gaillard,Caen,3,0,1.239,0.814,12,10,7,2,6,5,2.38,3.2,3,0.3127,0.3942,football-data,understat
2014-08-09,ligue-1,2014-2015,Guingamp,guingamp,St Etienne,st etienne,home,Guingamp,St Etienne,0,2,0.633,1.495,6,7,3,2,4,5,3.3,3.1,2.3,0.2858,0.41,football-data,understat
2014-08-09,ligue-1,2014-2015,St Etienne,st etienne,Guingamp,guingamp,away,Guingamp,St Etienne,2,0,1.495,0.633,7,6,2,3,5,4,3.3,3.1,2.3,0.41,0.2858,football-data,understat
2014-08-09,ligue-1,2014-2015,Lille,lille,Metz,metz,home,Lille,Metz,0,0,1.545,0.057,14,2,3,1,8,3,1.5,4.1,6.5,0.6263,0.1445,football-data,understat
2014-08-09,ligue-1,2014-2015,Metz,metz,Lille,lille,away,Lille,Metz,0,0,0.057,1.545,2,14,1,3,3,8,1.5,4.1,6.5,0.1445,0.6263,football-data,understat
2014-08-09,ligue-1,2014-2015,Montpellier,montpellier,Bordeaux,bordeaux,home,Montpellier,Bordeaux,0,1,1.018,0.75,15,7,3,3,5,1,2.3,3.1,3.2,0.4064,0.2921,football-data,understat
2014-08-09,ligue-1,2014-2015,Bordeaux,bordeaux,Montpellier,montpellier,away,Montpellier,Bordeaux,1,0,0.75,1.018,7,15,3,3,1,5,2.3,3.1,3.2,0.2921,0.4064,football-data,understat
2014-08-09,ligue-1,2014-2015,Nantes,nantes,Lens,lens,home,Nantes,Lens,1,0,1.025,0.167,14,5,4,2,3,2,2,3.25,3.9,0.4699,0.241,football-data,understat
2014-08-09,ligue-1,2014-2015,Lens,lens,Nantes,nantes,away,Nantes,Lens,0,1,0.167,1.025,5,14,2,4,2,3,2,3.25,3.9,0.241,0.4699,football-data,understat
