pick_id,published_at_utc,price_captured_at_utc,kickoff_utc,match_id,match_date,league,match,home_team,away_team,team,bookmaker,selection,line,side,model,model_fair_odds,model_implied_prob,book_odds,edge,current_model_would_have_priced,confidence_guard_applied,blocked_reason,result,pnl_units,raw_model_probability,market_fair_probability,model_market_gap,matchday,team_neff,opponent_neff,model_mean,distribution_parameter,signal_status,model_input_version,feature_asof,stake_units,real_stake_units,market_strength_captured_at_utc
team_shots_opponent|2026-09-15|la-liga|vallecano|espanol|espanol|over|11.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T17:00:00Z,2026-09-15|la-liga|vallecano|espanol,2026-09-15,la-liga,Rayo Vallecano vs Espanyol Barcelona,Rayo Vallecano,Espanyol Barcelona,Espanyol Barcelona,Bet365,Espanyol Barcelona over 11.5,11.5,over,team_shots_opponent,2.159944,0.462975,2.0,-0.07405,false,true,edge_below_3pct,,,0.462476,0.463375,-0.0009,0,40,40,11.458942,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|vallecano|espanol|espanol|under|11.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T17:00:00Z,2026-09-15|la-liga|vallecano|espanol,2026-09-15,la-liga,Rayo Vallecano vs Espanyol Barcelona,Rayo Vallecano,Espanyol Barcelona,Espanyol Barcelona,Bet365,Espanyol Barcelona under 11.5,11.5,under,team_shots_opponent,1.862111,0.537025,1.727,-0.072558,false,true,edge_below_3pct,,,0.537524,0.536625,0.0009,0,40,40,11.458942,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|vallecano|espanol|vallecano|over|15.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T17:00:00Z,2026-09-15|la-liga|vallecano|espanol,2026-09-15,la-liga,Rayo Vallecano vs Espanyol Barcelona,Rayo Vallecano,Espanyol Barcelona,Rayo Vallecano,Bet365,Rayo Vallecano over 15.5,15.5,over,team_shots_opponent,1.937776,0.516055,1.833,-0.05407,false,true,edge_below_3pct,,,0.536028,0.5,0.036028,0,40,40,16.422205,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|vallecano|espanol|vallecano|under|15.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T17:00:00Z,2026-09-15|la-liga|vallecano|espanol,2026-09-15,la-liga,Rayo Vallecano vs Espanyol Barcelona,Rayo Vallecano,Espanyol Barcelona,Rayo Vallecano,Bet365,Rayo Vallecano under 15.5,15.5,under,team_shots_opponent,2.066352,0.483945,1.833,-0.11293,false,true,edge_below_3pct,,,0.463972,0.5,-0.036028,0,40,40,16.422205,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|alaves|valencia|valencia|over|9.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T18:00:00Z,2026-09-15|la-liga|alaves|valencia,2026-09-15,la-liga,Deportivo Alaves vs Valencia CF,Deportivo Alaves,Valencia CF,Valencia CF,Bet365,Valencia CF over 9.5,9.5,over,team_shots_opponent,2.010184,0.497467,1.8,-0.10456,false,true,edge_below_3pct,,,0.475996,0.514694,-0.038698,0,40,40,9.601513,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|alaves|valencia|valencia|under|9.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T18:00:00Z,2026-09-15|la-liga|alaves|valencia,2026-09-15,la-liga,Deportivo Alaves vs Valencia CF,Deportivo Alaves,Valencia CF,Valencia CF,Bet365,Valencia CF under 9.5,9.5,under,team_shots_opponent,1.989918,0.502533,1.909,-0.040664,false,true,edge_below_3pct,,,0.524004,0.485306,0.038698,0,40,40,9.601513,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|alaves|valencia|alaves|over|12.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T18:00:00Z,2026-09-15|la-liga|alaves|valencia,2026-09-15,la-liga,Deportivo Alaves vs Valencia CF,Deportivo Alaves,Valencia CF,Deportivo Alaves,Bet365,Deportivo Alaves over 12.5,12.5,over,team_shots_opponent,1.778761,0.562189,1.8,0.011941,false,true,edge_below_3pct,,,0.61977,0.514694,0.105076,0,40,40,14.361296,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|alaves|valencia|alaves|under|12.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T18:00:00Z,2026-09-15|la-liga|alaves|valencia,2026-09-15,la-liga,Deportivo Alaves vs Valencia CF,Deportivo Alaves,Valencia CF,Deportivo Alaves,Bet365,Deportivo Alaves under 12.5,12.5,under,team_shots_opponent,2.284092,0.437811,1.909,-0.164219,false,true,edge_below_3pct,,,0.38023,0.485306,-0.105076,0,40,40,14.361296,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|elche|real madrid|real madrid|over|18.5,2026-09-14T20:34:16Z,2026-09-14T20:34:16Z,2026-09-15T19:30:00Z,2026-09-15|la-liga|elche|real madrid,2026-09-15,la-liga,Elche CF vs Real Madrid,Elche CF,Real Madrid,Real Madrid,Bet365,Real Madrid over 18.5,18.5,over,team_shots_opponent,3.488007,0.286697,2.0,-0.426607,false,true,edge_below_3pct,,,0.1341,0.463375,-0.329275,0,40,40,13.273543,0.04942424,blocked,opponent-shots-20260912,2026-09-14,1,0,
team_shots_opponent|2026-09-15|la-liga|elche|real madrid|real madrid|under|18.5,2026-09-14T20:34:25Z,2026-09-14T20:34:16Z,2026-09-15T19:30:00Z,2026-09-15|la-liga|elche|real madrid,2026-09-15,la-liga,Elche CF vs Real Madrid,Elche CF,Real Madrid,Real Madrid,Bet365,Real Madrid under 18.5,18.5,under,team_shots_opponent,1.401928,0.713303,1.727,0.231875,true,false,,,,0.8659,0.536625,0.329275,0,40,40,13.273543,0.04942424,eligible,opponent-shots-20260912,2026-09-14,1,0,
