captured_at,match_date,event_id,kickoff_at,capture_mode,bookmaker,competition,league,home_team,away_team,player,line,side,odds_decimal,under_odds_decimal,home_price,draw_price,away_price,source
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,5.5,over,5.5000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,1.5,over,1.5000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,3.5,over,5.0000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,0.5,over,1.1000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,4.5,over,3.0000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,2.5,over,2.5000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,3.5,over,1.8330,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,4.5,over,11.0000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,1.5,over,1.1000,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,2.5,over,1.3330,,,,,odds_api_io
2026-08-20T15:57:53Z,2026-08-20,72478502,2026-08-20T19:00:00Z,publication,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,6.5,over,10.0000,,,,,odds_api_io
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,5.5,over,5.0000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,1.5,over,1.5000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,3.5,over,5.0000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,0.5,over,1.1000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,4.5,over,3.0000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,2.5,over,2.5000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,3.5,over,1.8330,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Augusto Batalla,4.5,over,11.0000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,1.5,over,1.1000,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,2.5,over,1.3330,,,,,odds_api_io:missing
2026-08-20T18:01:44Z,2026-08-20,72478502,2026-08-20T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Rayo Vallecano,Deportivo Alaves,Antonio Sivera,6.5,over,10.0000,,,,,odds_api_io:missing
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,Carl Rushworth,3.5,over,1.6660,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,Carl Rushworth,4.5,over,2.5000,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,Carl Rushworth,6.5,over,8.0000,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,David Raya,0.5,over,1.2500,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,Carl Rushworth,2.5,over,1.2500,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,Carl Rushworth,5.5,over,4.0000,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,David Raya,3.5,over,11.0000,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,Carl Rushworth,1.5,over,1.0710,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,David Raya,1.5,over,2.2000,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72221154,2026-08-21T19:00:00Z,close,Bet365,England - Premier League,epl,Arsenal FC,Coventry City,David Raya,2.5,over,5.0000,,1.2000,7.0000,12.0000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alvaro Valles,1.5,over,1.2500,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alvaro Valles,3.5,over,3.2500,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alvaro Valles,2.5,over,1.8330,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alvaro Valles,0.5,over,1.0500,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alejandro Remiro,1.5,over,1.1810,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alejandro Remiro,3.5,over,2.5000,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alvaro Valles,4.5,over,6.0000,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alejandro Remiro,2.5,over,1.5710,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alejandro Remiro,4.5,over,4.3330,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
2026-08-21T18:02:49Z,2026-08-21,72478490,2026-08-21T19:00:00Z,close,Bet365,Spain - LaLiga,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Alejandro Remiro,5.5,over,9.0000,,2.1000,3.4000,3.6000,odds_api_io:odds_payload
