generated_at,event_id,match_date,kickoff_at,league,home_team,away_team,team,opponent,venue,goalkeeper,bookmaker,line,side,odds_decimal,model_mean,model_probability,push_probability,fair_odds,edge,lineup_status,lineup_source,data_issue_detail,capture_mode,captured_at,candidate_status,blockers,strongest_for_fixture,selection_policy,three_way_source
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,ACF Fiorentina,SSC Napoli,home,David de Gea,Bet365,5.5,over,11.0000,3.2114,0.125677,0.000000,7.957,0.382443,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,value_ladder,,no,value_ladder,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,ACF Fiorentina,SSC Napoli,home,David de Gea,Bet365,4.5,over,5.5000,3.2114,0.233734,0.000000,4.278,0.285540,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,value_ladder,,no,value_ladder,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,SSC Napoli,ACF Fiorentina,away,Vanja Milinković-Savić,Bet365,4.5,over,6.5000,2.9582,0.192086,0.000000,5.206,0.248556,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,value_ladder,,no,value_ladder,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,SSC Napoli,ACF Fiorentina,away,Vanja Milinković-Savić,Bet365,3.5,over,3.2500,2.9582,0.343605,0.000000,2.910,0.116717,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,value_ladder,,no,value_ladder,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,ACF Fiorentina,SSC Napoli,home,David de Gea,Bet365,3.5,over,2.7500,3.2114,0.395034,0.000000,2.531,0.086343,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,eligible_shadow,,yes,near_even_value_v2,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,SSC Napoli,ACF Fiorentina,away,Vanja Milinković-Savić,Bet365,5.5,over,11.0000,2.9582,0.097270,0.000000,10.281,0.069974,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,value_ladder,,no,value_ladder,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,ACF Fiorentina,SSC Napoli,home,David de Gea,Bet365,2.5,over,1.7270,3.2114,0.598290,0.000000,1.671,0.033247,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,value_ladder,,no,value_ladder,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,SSC Napoli,ACF Fiorentina,away,Vanja Milinković-Savić,Bet365,2.5,over,1.8330,2.9582,0.548012,0.000000,1.825,0.004505,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,value_ladder,,no,value_ladder,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,SSC Napoli,ACF Fiorentina,away,Vanja Milinković-Savić,Bet365,1.5,over,1.2850,2.9582,0.766915,0.000000,1.304,-0.014514,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,no_value,,no,,odds_payload
2026-09-19T19:35:34Z,71945268,2026-09-20,2026-09-20T10:30:00Z,serie-a,ACF Fiorentina,SSC Napoli,ACF Fiorentina,SSC Napoli,home,David de Gea,Bet365,1.5,over,1.2220,3.2114,0.801613,0.000000,1.247,-0.020429,predicted_starter,fotmob_confirmed_lineups,,publication,2026-09-19T19:35:32Z,no_value,,no,,odds_payload
