season,model,train,validation,mae,bias,brier,log_loss,alpha
2024-2025,INCUMBENT,32028,3222,1.570247,0.042564,0.182633,0.545184,0.108058
2024-2025,POISSON_CORE_SHOTS,32028,3222,1.534905,0.109728,0.177922,0.532684,0.000000
2024-2025,NB2_CORE,32028,3222,1.536592,0.106721,0.177175,0.530455,0.085300
2024-2025,NB2_CORE_SHOTS,32028,3222,1.535676,0.114002,0.176983,0.529907,0.084976
2024-2025,NB2_MARKET,32028,3222,1.516024,0.082477,0.175188,0.525136,0.074328
2024-2025,NB2_XG,32028,3222,1.518390,0.163756,0.174261,0.522536,0.070077
2024-2025,NB2_FULL,32028,3222,1.506627,0.116270,0.173544,0.520867,0.067309
2025-2026,INCUMBENT,35250,3176,1.530981,0.082904,0.178766,0.535659,0.107691
2025-2026,POISSON_CORE_SHOTS,35250,3176,1.504180,0.085303,0.175775,0.527874,0.000000
2025-2026,NB2_CORE,35250,3176,1.503964,0.078235,0.175210,0.525952,0.084413
2025-2026,NB2_CORE_SHOTS,35250,3176,1.504829,0.090073,0.175077,0.525591,0.084096
2025-2026,NB2_MARKET,35250,3176,1.483620,0.086234,0.172275,0.518095,0.073771
2025-2026,NB2_XG,35250,3176,1.488825,0.168881,0.171817,0.516694,0.069548
2025-2026,NB2_FULL,35250,3176,1.476355,0.111518,0.171338,0.515483,0.066713
