signal_id,created_at,event_id,match_date,kickoff_at,league,home_team,away_team,team,opponent,venue,goalkeeper,line,side,odds_decimal,model_mean,model_probability,push_probability,fair_odds,edge,stake_units,lineup_status,lineup_source,capture_mode,captured_at,status,result,actual_saves,pnl_units,settled_at,settlement_source,close_odds,clv,selection_policy
72478490|alex remiro|5.5|over,2026-08-21T18:02:50Z,72478490,2026-08-21,2026-08-21T19:00:00Z,la-liga,Real Betis Seville,Real Sociedad San Sebastian,Real Sociedad San Sebastian,Real Betis Seville,away,Alex Remiro,5.5,over,9.0000,3.6415,0.180714,0.000000,5.534,0.626425,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-21T18:02:49Z,won,won,6,4.0000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
72221164|antonín kinsky|4.5|over,2026-08-22T15:55:48Z,72221164,2026-08-22,2026-08-22T16:30:00Z,epl,Brentford FC,Tottenham Hotspur,Tottenham Hotspur,Brentford FC,away,Antonín Kinsky,4.5,over,7.0000,2.8238,0.170909,0.000000,5.851,0.196366,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-22T15:55:47Z,won,won,5,3.0000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
71944898|josep martínez|2.5|over,2026-08-22T15:55:48Z,71944898,2026-08-22,2026-08-22T16:30:00Z,serie-a,Inter Milano,AC Monza,Inter Milano,AC Monza,home,Josep Martínez,2.5,over,6.0000,1.7792,0.266692,0.000000,3.750,0.600155,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-22T15:55:47Z,lost,lost,2,-0.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
72478488|jan oblak|4.5|over,2026-08-23T13:58:44Z,72478488,2026-08-23,2026-08-23T15:00:00Z,la-liga,Atletico Madrid,Villarreal CF,Atletico Madrid,Villarreal CF,home,Jan Oblak,4.5,over,11.0000,2.4085,0.111273,0.000000,8.987,0.224006,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-23T13:58:43Z,lost,lost,4,-0.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
72221170|alisson becker|4.5|over,2026-08-23T14:59:31Z,72221170,2026-08-23,2026-08-23T15:30:00Z,epl,Newcastle United,Liverpool FC,Liverpool FC,Newcastle United,away,Alisson Becker,4.5,over,7.0000,3.0127,0.200876,0.000000,4.978,0.406132,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-23T14:59:30Z,lost,lost,2,-0.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
71944890|marco carnesecchi|4.5|over,2026-08-23T17:56:07Z,71944890,2026-08-23,2026-08-23T18:45:00Z,serie-a,Atalanta BC,Sassuolo Calcio,Atalanta BC,Sassuolo Calcio,home,Marco Carnesecchi,4.5,over,10.0000,2.4898,0.122146,0.000000,8.187,0.221463,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-23T17:56:06Z,won,won,7,4.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
71944904|mike maignan|4.5|over,2026-08-23T17:56:07Z,71944904,2026-08-23,2026-08-23T18:45:00Z,serie-a,Torino FC,AC Milan,AC Milan,Torino FC,away,Mike Maignan,4.5,over,6.5000,3.0085,0.200196,0.000000,4.995,0.301274,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-23T17:56:06Z,lost,lost,0,-0.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
72478492|joan garcía|3.5|over,2026-08-23T19:02:38Z,72478492,2026-08-23,2026-08-23T19:30:00Z,la-liga,Elche CF,FC Barcelona,FC Barcelona,Elche CF,away,Joan García,3.5,over,5.5000,2.2402,0.198359,0.000000,5.041,0.090974,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-23T19:02:37Z,lost,lost,2,-0.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
71944892|christos mandas|5.5|over,2026-08-24T16:15:18Z,71944892,2026-08-24,2026-08-24T16:30:00Z,serie-a,Bologna FC,Lazio Rome,Lazio Rome,Bologna FC,away,Christos Mandas,5.5,over,10.0000,3.0801,0.110532,0.000000,9.047,0.105325,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-24T16:15:17Z,lost,lost,3,-0.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
71944902|david de gea|6.5|over,2026-08-24T18:03:28Z,71944902,2026-08-24,2026-08-24T18:45:00Z,serie-a,AS Roma,ACF Fiorentina,ACF Fiorentina,AS Roma,away,David de Gea,6.5,over,10.0000,4.1479,0.150361,0.000000,6.651,0.503607,0.5,confirmed_starter,fotmob_confirmed_lineups,close,2026-08-24T18:03:27Z,lost,lost,4,-0.5000,2026-09-01T09:10:00Z,fotmob_named_keeper_shotmap,,,max_edge_tail_v1
