cohort,dimension,segment,n,predicted,actual,gap,gap_vs_overall,brier
all_model,overall,all,129606,0.065232,0.088931,0.023699,0.000000,0.075620
all_model,league,bundesliga,22900,0.071006,0.097773,0.026767,0.003068,0.082261
all_model,league,epl,27828,0.073982,0.095839,0.021857,-0.001843,0.080422
all_model,league,la-liga,28994,0.059716,0.082086,0.022370,-0.001330,0.069363
all_model,league,ligue-1,21930,0.065851,0.089603,0.023752,0.000053,0.076697
all_model,league,serie-a,27954,0.057026,0.081384,0.024358,0.000659,0.071042
all_model,position,AMC,10486,0.091971,0.134179,0.042208,0.018509,0.113150
all_model,position,AML,4756,0.089496,0.125736,0.036240,0.012541,0.109946
all_model,position,AMR,4729,0.091868,0.131317,0.039449,0.015750,0.108896
all_model,position,DC,25182,0.037070,0.036335,-0.000734,-0.024433,0.035326
all_model,position,DL,8256,0.028626,0.032946,0.004320,-0.019380,0.031875
all_model,position,DMC,9277,0.039151,0.052819,0.013668,-0.010031,0.049777
all_model,position,DML,3609,0.038052,0.054032,0.015979,-0.007720,0.051491
all_model,position,DMR,3668,0.042748,0.057252,0.014504,-0.009195,0.053350
all_model,position,DR,8296,0.028027,0.028327,0.000300,-0.023399,0.027881
all_model,position,FW,18482,0.147010,0.210691,0.063681,0.039982,0.159467
all_model,position,FWL,2547,0.094813,0.144876,0.050063,0.026364,0.123807
all_model,position,FWR,2442,0.098131,0.144963,0.046832,0.023133,0.118438
all_model,position,MC,20626,0.048127,0.065403,0.017276,-0.006423,0.060131
all_model,position,ML,2875,0.065414,0.098435,0.033021,0.009321,0.086218
all_model,position,MR,2790,0.064162,0.087097,0.022935,-0.000765,0.078586
all_model,position,Unknown,1585,0.007804,0.057413,0.049609,0.025910,0.056682
all_model,minutes,30-59,2692,0.038887,0.070951,0.032064,0.008365,0.065121
all_model,minutes,60-79,25712,0.079786,0.122666,0.042880,0.019181,0.104346
all_model,minutes,80+,67020,0.085337,0.096464,0.011126,-0.012573,0.079156
all_model,minutes,<30,34182,0.016939,0.050202,0.033263,0.009564,0.047905
all_model,starter,bench,36303,0.018367,0.050547,0.032180,0.008481,0.048102
all_model,starter,starter,93303,0.083466,0.103866,0.020399,-0.003300,0.086326
live_proxy,overall,all,91650,0.084211,0.103721,0.019510,0.000000,0.086058
live_proxy,league,bundesliga,16185,0.092105,0.114118,0.022013,0.002503,0.093503
live_proxy,league,epl,20318,0.094437,0.112167,0.017729,-0.001780,0.091928
live_proxy,league,la-liga,19883,0.078074,0.096615,0.018542,-0.000968,0.079373
live_proxy,league,ligue-1,15766,0.083629,0.102753,0.019124,-0.000386,0.085967
live_proxy,league,serie-a,19498,0.073731,0.094317,0.020586,0.001077,0.080652
live_proxy,position,AMC,6629,0.131214,0.174084,0.042870,0.023360,0.142754
live_proxy,position,AML,2945,0.128494,0.164007,0.035513,0.016003,0.140432
live_proxy,position,AMR,2944,0.133666,0.173573,0.039907,0.020397,0.139246
live_proxy,position,DC,21968,0.041286,0.040240,-0.001046,-0.020556,0.039086
live_proxy,position,DL,6324,0.035267,0.037951,0.002684,-0.016826,0.036581
live_proxy,position,DMC,6827,0.049841,0.062839,0.012998,-0.006512,0.058866
live_proxy,position,DML,2626,0.048510,0.062452,0.013942,-0.005568,0.059200
live_proxy,position,DMR,2609,0.055992,0.067459,0.011466,-0.008043,0.062274
live_proxy,position,DR,6341,0.034412,0.033906,-0.000505,-0.020015,0.033318
live_proxy,position,FW,11162,0.218718,0.279341,0.060622,0.041112,0.199945
live_proxy,position,FWL,1460,0.146177,0.184247,0.038069,0.018559,0.151272
live_proxy,position,FWR,1501,0.141649,0.189207,0.047558,0.028049,0.148684
live_proxy,position,MC,14757,0.062333,0.078132,0.015800,-0.003710,0.071133
live_proxy,position,ML,1764,0.094060,0.128118,0.034058,0.014549,0.109816
live_proxy,position,MR,1793,0.089855,0.111545,0.021690,0.002180,0.098763
live_proxy,minutes,60-79,24630,0.081146,0.123467,0.042321,0.022811,0.104838
live_proxy,minutes,80+,67020,0.085337,0.096464,0.011126,-0.008383,0.079156
live_proxy,starter,starter,91599,0.084228,0.103768,0.019539,0.000029,0.086093
