season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2025-2026,Bundesliga,2026-05-16,Bayern Munich,FC Cologne,1,647,Harry Kane,FW,,90,3,0,5,,0.804579,0.804579,0.29918,1,1,0,0.440165,0,0,2.81515,0.880203
2025-2026,Bundesliga,2026-05-09,Bayern Munich,Wolfsburg,0,647,Harry Kane,FW,,90,0,0,3,,0.955579,0.197803,0.086288,0,0,0,0.0,0,1,1.9054,3.26878
2025-2026,Bundesliga,2026-05-02,Bayern Munich,FC Heidenheim,1,647,Harry Kane,Sub,,41,0,0,0,,0.0,0.0,0.431762,0,0,0,0.0,0,0,1.87973,2.48197
2025-2026,Bundesliga,2026-04-25,Bayern Munich,Mainz 05,0,647,Harry Kane,Sub,,40,1,0,1,,0.479821,0.479821,0.055129,1,1,0,0.479821,0,0,2.36194,3.22403
2025-2026,Bundesliga,2026-04-19,Bayern Munich,VfB Stuttgart,1,647,Harry Kane,Sub,,41,1,0,2,,0.634527,0.634527,0.0,1,1,0,0.601855,0,0,5.11014,1.26038
2025-2026,Bundesliga,2026-03-21,Bayern Munich,Union Berlin,1,647,Harry Kane,FW,,90,1,0,11,,2.168549,2.168549,0.407299,4,0,4,1.729325,0,0,5.93389,0.224572
2025-2026,Bundesliga,2026-03-14,Bayern Munich,Bayer Leverkusen,0,647,Harry Kane,Sub,,25,0,0,1,,0.009377,0.009377,0.104672,0,0,0,0.0,0,0,1.26817,2.65255
2025-2026,Bundesliga,2026-02-28,Bayern Munich,Borussia Dortmund,0,647,Harry Kane,FW,,90,2,0,3,,1.337889,0.580112,0.024732,1,1,0,0.507402,1,1,1.89016,1.39761
2025-2026,Bundesliga,2026-02-21,Bayern Munich,Eintracht Frankfurt,1,647,Harry Kane,FW,,90,2,0,8,,1.047403,1.047403,0.0,1,1,0,0.614042,0,0,2.83518,2.29258
2025-2026,Bundesliga,2026-02-14,Bayern Munich,Werder Bremen,0,647,Harry Kane,FW,,90,2,0,3,,0.854196,0.096419,0.487934,0,0,0,0.0,1,1,1.87713,0.77965
2025-2026,Bundesliga,2026-02-08,Bayern Munich,Hoffenheim,1,647,Harry Kane,FW,,72,2,1,7,,3.323194,1.80764,0.877603,4,0,4,1.764698,2,2,6.37827,2.66829
2025-2026,Bundesliga,2026-01-31,Bayern Munich,Hamburger SV,0,647,Harry Kane,FW,,90,1,0,2,,0.680017,0.680017,0.049401,1,1,0,0.659275,0,0,2.28911,2.64497
2025-2026,Bundesliga,2026-01-24,Bayern Munich,Augsburg,1,647,Harry Kane,FW,,90,0,0,5,,0.629778,0.629778,0.0,1,0,1,0.325688,0,0,2.30773,1.24551
2025-2026,Bundesliga,2026-01-17,Bayern Munich,RasenBallsport Leipzig,0,647,Harry Kane,FW,,90,1,0,4,,1.319159,1.319159,0.576902,3,1,2,1.252276,0,0,4.65226,2.86917
2025-2026,Bundesliga,2026-01-14,Bayern Munich,FC Cologne,0,647,Harry Kane,FW,,90,0,0,3,,0.331434,0.331434,0.064107,1,0,1,0.276338,0,0,2.11635,0.714659
2025-2026,Bundesliga,2026-01-11,Bayern Munich,Wolfsburg,1,647,Harry Kane,FW,,80,1,1,2,,0.817009,0.817009,0.693364,1,0,1,0.761373,0,0,3.54931,1.08515
2025-2026,Bundesliga,2025-12-21,Bayern Munich,FC Heidenheim,0,647,Harry Kane,FW,,90,1,0,5,,0.894436,0.894436,0.043664,1,1,0,0.498157,0,0,3.36795,1.48758
2025-2026,Bundesliga,2025-12-14,Bayern Munich,Mainz 05,1,647,Harry Kane,FW,,90,1,0,8,,2.346077,1.5883,0.024175,3,0,3,1.2738,1,1,4.67956,0.803171
2025-2026,Bundesliga,2025-12-06,Bayern Munich,VfB Stuttgart,0,647,Harry Kane,Sub,,22,3,0,4,,1.762033,1.004257,0.296997,1,1,0,0.904295,1,1,4.07867,0.729313
2025-2026,Bundesliga,2025-11-29,Bayern Munich,St. Pauli,1,647,Harry Kane,FW,,90,0,0,5,,0.287333,0.287333,0.0,0,0,0,0.0,0,0,2.53942,0.74073
2025-2026,Bundesliga,2025-11-22,Bayern Munich,Freiburg,1,647,Harry Kane,FW,,86,1,0,3,,0.531062,0.531062,0.0,1,1,0,0.3951,0,0,3.13858,0.516966
2025-2026,Bundesliga,2025-11-08,Bayern Munich,Union Berlin,0,647,Harry Kane,FW,,90,1,0,4,,0.50459,0.50459,0.347446,1,1,0,0.364807,0,0,1.34246,1.02778
2025-2026,Bundesliga,2025-11-01,Bayern Munich,Bayer Leverkusen,1,647,Harry Kane,Sub,,29,0,0,1,,0.101648,0.101648,0.0,0,0,0,0.0,0,0,2.28295,0.382774
2025-2026,Bundesliga,2025-10-25,Bayern Munich,Borussia M.Gladbach,0,647,Harry Kane,AMC,,90,0,0,6,,0.349346,0.349346,0.039838,0,0,0,0.0,0,0,2.65026,0.757777
2025-2026,Bundesliga,2025-10-18,Bayern Munich,Borussia Dortmund,1,647,Harry Kane,AMC,,90,1,0,2,,0.520121,0.520121,0.085447,1,1,0,0.480851,0,0,2.81994,1.41011
2025-2026,Bundesliga,2025-10-04,Bayern Munich,Eintracht Frankfurt,0,647,Harry Kane,FW,,88,1,0,2,,0.503507,0.503507,0.025384,1,0,1,0.463909,0,0,2.2301,0.560138
2025-2026,Bundesliga,2025-09-26,Bayern Munich,Werder Bremen,1,647,Harry Kane,FW,,81,2,0,6,,2.333703,1.575926,0.015887,2,1,1,1.259541,1,1,4.31859,0.298618
2025-2026,Bundesliga,2025-09-20,Bayern Munich,Hoffenheim,0,647,Harry Kane,AMC,,90,3,0,6,,1.715609,0.200056,0.054028,0,0,0,0.0,2,2,2.7142,1.03716
2025-2026,Bundesliga,2025-09-13,Bayern Munich,Hamburger SV,1,647,Harry Kane,FW,,70,2,1,2,,1.101605,0.343828,0.746861,1,1,0,0.343828,1,1,3.03718,0.559174
2025-2026,Bundesliga,2025-08-30,Bayern Munich,Augsburg,0,647,Harry Kane,FW,,90,0,2,0,,0.0,0.0,1.242763,0,0,0,0.0,0,0,3.37523,0.506028
2025-2026,Bundesliga,2025-08-22,Bayern Munich,RasenBallsport Leipzig,1,647,Harry Kane,FW,,90,3,0,5,,1.236403,1.236403,0.322467,2,2,0,1.008664,0,0,3.29885,0.52226
2025-2026,Bundesliga,2026-05-16,VfB Stuttgart,Eintracht Frankfurt,0,10804,Deniz Undav,FW,,90,0,1,1,,0.018159,0.018159,0.58295,0,0,0,0.0,0,0,1.81013,2.99231
2025-2026,Bundesliga,2026-05-09,VfB Stuttgart,Bayer Leverkusen,1,10804,Deniz Undav,FW,,75,1,0,7,,0.824257,0.824257,0.0,1,1,0,0.609627,0,0,3.42891,0.631905
2025-2026,Bundesliga,2026-05-02,VfB Stuttgart,Hoffenheim,0,10804,Deniz Undav,FW,,90,0,0,2,,0.088399,0.088399,0.5108,0,0,0,0.0,0,0,1.76153,2.6399
2025-2026,Bundesliga,2026-04-26,VfB Stuttgart,Werder Bremen,1,10804,Deniz Undav,FW,,90,0,0,4,,0.218189,0.218189,0.082224,0,0,0,0.0,0,0,1.99681,0.958992
2025-2026,Bundesliga,2026-04-12,VfB Stuttgart,Hamburger SV,1,10804,Deniz Undav,AMC,,89,0,0,7,,1.488719,0.730942,0.68453,1,0,1,0.442136,0,1,3.8645,0.417554
2025-2026,Bundesliga,2026-04-04,VfB Stuttgart,Borussia Dortmund,1,10804,Deniz Undav,FW,,90,0,0,3,,0.112874,0.112874,0.058909,0,0,0,0.0,0,0,0.553248,0.76449
2025-2026,Bundesliga,2026-03-22,VfB Stuttgart,Augsburg,0,10804,Deniz Undav,FW,,90,2,1,4,,1.35136,1.35136,0.595641,2,2,0,1.252315,0,0,3.87094,1.59097
2025-2026,Bundesliga,2026-03-15,VfB Stuttgart,RasenBallsport Leipzig,1,10804,Deniz Undav,FW,,90,1,0,6,,1.607373,1.607373,0.068433,4,1,3,1.503368,0,0,1.93167,1.12178
2025-2026,Bundesliga,2026-03-07,VfB Stuttgart,Mainz 05,0,10804,Deniz Undav,AMC,,85,1,1,3,,0.494528,0.494528,0.115138,1,1,0,0.328353,0,0,0.920068,3.52523
2025-2026,Bundesliga,2026-03-01,VfB Stuttgart,Wolfsburg,1,10804,Deniz Undav,FW,,79,1,0,4,,0.808613,0.808613,0.125455,1,1,0,0.524084,0,0,2.95189,0.865739
2025-2026,Bundesliga,2026-02-22,VfB Stuttgart,FC Heidenheim,0,10804,Deniz Undav,Sub,,31,1,0,4,,0.890754,0.890754,0.0,2,0,2,0.736946,0,0,2.27505,2.21575
2025-2026,Bundesliga,2026-02-14,VfB Stuttgart,FC Cologne,1,10804,Deniz Undav,AMC,,90,1,0,6,,1.122674,1.122674,0.0,2,1,1,0.860994,0,0,2.56266,1.13246
2025-2026,Bundesliga,2026-02-07,VfB Stuttgart,St. Pauli,0,10804,Deniz Undav,AMC,,90,0,0,2,,0.321481,0.321481,0.0,1,0,1,0.295704,0,0,0.912627,1.66217
2025-2026,Bundesliga,2026-02-01,VfB Stuttgart,Freiburg,1,10804,Deniz Undav,FW,,90,0,1,8,,1.676298,1.676298,0.636732,3,0,3,1.305786,0,0,2.95203,0.936187
2025-2026,Bundesliga,2026-01-25,VfB Stuttgart,Borussia M.Gladbach,0,10804,Deniz Undav,Sub,,26,1,0,1,,0.092672,0.092672,0.072968,0,0,0,0.0,0,0,2.72682,1.22197
2025-2026,Bundesliga,2026-01-18,VfB Stuttgart,Union Berlin,1,10804,Deniz Undav,FW,,90,0,0,6,,0.656677,0.656677,0.349791,1,0,1,0.432827,0,0,2.1978,1.88763
2025-2026,Bundesliga,2026-01-13,VfB Stuttgart,Eintracht Frankfurt,1,10804,Deniz Undav,FW,,90,1,0,7,,1.231913,1.231913,0.518275,3,0,3,0.89997,0,0,3.54461,0.896468
