date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-10,2026-04-10T18:30:00Z,FC Augsburg vs TSG Hoffenheim,Germany - Bundesliga,Anton Kade,Augsburg,TSG Hoffenheim,shadow_track,-0.2058,0.9200,0,,0,starter,0.236913,4.2210,Bet365,4.5000,0.066109,high,2026-04-10T18:04:21Z,,10288,Anton Kade,FC Augsburg,TSG Hoffenheim,AMC,AMC,1207.0,T1,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-10T23:27:50Z,-1.0000,played_did_not_score
2026-04-10,2026-04-10T18:30:00Z,FC Augsburg vs TSG Hoffenheim,Germany - Bundesliga,Michael Gregoritsch,Augsburg,TSG Hoffenheim,shadow_track,-1.2867,0.9200,0,,0,starter,0.373408,2.6780,Bet365,3.0000,0.120224,high,2026-04-10T18:04:21Z,,171,Michael Gregoritsch,FC Augsburg,TSG Hoffenheim,FW,FW,2849.0,T1,surface,,0,0.0875,1.25,core,1.25u Core,,,,,1,1,won,2026-04-10T23:27:50Z,2.5000,scored_1_goals
2026-04-11,2026-04-11T13:30:00Z,1. FC Heidenheim vs Union Berlin,Germany - Bundesliga,Derrick Kohn,Union Berlin,1. FC Heidenheim,shadow_track,-0.4513,1.2501,0,,0,starter,0.137325,7.2820,Bet365,8.0000,0.098600,high,2026-04-11T12:37:35Z,,13093,Derrick Kohn,1. FC Heidenheim,Union Berlin,DML,DML,3127.0,T1,no_action,odds_above_public_cap,1,0.6435,0.00,,,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T13:30:00Z,1. FC Heidenheim vs Union Berlin,Germany - Bundesliga,Julian Niehues,FC Heidenheim,Union Berlin,shadow_track,0.5752,1.1450,0,,0,expected_starter,0.099991,10.0009,Bet365,11.0000,0.099901,medium,2026-04-10T14:57:36Z,,13429,Julian Niehues,1. FC Heidenheim,Union Berlin,MC,MC,1409.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T13:30:00Z,Borussia Dortmund vs Bayer Leverkusen,Germany - Bundesliga,Ibrahim Maza,Bayer Leverkusen,Borussia Dortmund,shadow_track,-0.6187,0.7364,0,,0,starter,0.205046,4.8769,Bet365,5.5000,0.127753,high,2026-04-11T12:37:35Z,,11484,Ibrahim Maza,Borussia Dortmund,Bayer Leverkusen,AMC,AMC,1335.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,,,,,1,0,lost,2026-04-11T23:59:41Z,-0.5000,played_did_not_score
2026-04-11,2026-04-11T13:30:00Z,Borussia Dortmund vs Bayer Leverkusen,Germany - Bundesliga,Ramy Bensebaini,Borussia Dortmund,Bayer Leverkusen,shadow_track,1.0275,0.8496,0,,0,expected_starter,0.212933,4.6963,Bet365,6.5000,0.384065,medium,2026-04-10T14:57:36Z,,3349,Ramy Bensebaini,Borussia Dortmund,Bayer Leverkusen,DC,DC,4367.0,T2,no_action,,1,0.7256,0.00,,,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T13:30:00Z,RB Leipzig vs Borussia Monchengladbach,Germany - Bundesliga,Yannick Engelhardt,Borussia M.Gladbach,RB Leipzig,shadow_track,0.3369,0.7802,0,,0,starter,0.091672,10.9085,Bet365,13.0000,0.191736,high,2026-04-11T12:37:35Z,,10497,Yannick Engelhardt,RB Leipzig,Borussia Monchengladbach,MC,MC,1969.0,T1,no_action,odds_above_public_cap,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.0000,played_did_not_score
2026-04-12,2026-04-12T13:30:00Z,1. FC Cologne vs Werder Bremen,Germany - Bundesliga,Justin Njinmah,Werder Bremen,1. FC Cologne,shadow_track,-0.2013,0.9839,0,,0,starter,0.308487,3.2416,Bet365,3.6000,0.110553,high,2026-04-12T12:57:39Z,,10585,Justin Njinmah,1. FC Cologne,Werder Bremen,FW,FW,3477.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-13T00:02:41Z,-1.0000,played_did_not_score
2026-04-12,2026-04-12T15:30:00Z,VfB Stuttgart vs Hamburger SV,Germany - Bundesliga,Daniel Elfadli,Hamburger SV,VfB Stuttgart,shadow_track,-0.5083,0.8985,0,,0,starter,0.088392,11.3132,Bet365,12.0000,0.060704,high,2026-04-12T15:10:48Z,,13920,Daniel Elfadli,VfB Stuttgart,Hamburger SV,Sub,Sub,1175.0,T1,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-13T00:02:41Z,-1.0000,played_did_not_score
2026-04-12,2026-04-12T15:30:00Z,VfB Stuttgart vs Hamburger SV,Germany - Bundesliga,Giorgi Gocholeishvili,Hamburger SV,VfB Stuttgart,shadow_track,-0.0928,0.8720,0,,0,expected_starter,0.080918,12.3581,Bet365,13.0000,0.051934,medium,2026-04-11T11:25:49Z,,13921,Giorgi Gocholeishvili,VfB Stuttgart,Hamburger SV,Sub,Sub,861.0,T2,no_action,,0,0.0000,0.00,,,,,,,1,0,lost,2026-04-13T00:02:41Z,-1.0000,played_did_not_score
