league,club,rank,player,status,matched_squad_name,closest_squad_names,fotmob_team_id,source_url,error
bundesliga,Augsburg,primary,Fabian Rieder,present,Fabian Rieder,Fabian Rieder,8406,https://www.fotmob.com/teams/8406/overview/augsburg,
bundesliga,Augsburg,secondary,Alexis Claude-Maurice,present,Alexis Claude-Maurice,Alexis Claude-Maurice,8406,https://www.fotmob.com/teams/8406/overview/augsburg,
bundesliga,Augsburg,tertiary,Michael Gregoritsch,present,Michael Gregoritsch,Michael Gregoritsch,8406,https://www.fotmob.com/teams/8406/overview/augsburg,
bundesliga,Bayer Leverkusen,primary,Patrik Schick,present,Patrik Schick,Patrik Schick,8178,https://www.fotmob.com/teams/8178/overview/bayer-leverkusen,
bundesliga,Bayer Leverkusen,secondary,Aleix García,present,Aleix García,Aleix García,8178,https://www.fotmob.com/teams/8178/overview/bayer-leverkusen,
bundesliga,Bayer Leverkusen,tertiary,Ibrahim Maza,present,Ibrahim Maza,Ibrahim Maza,8178,https://www.fotmob.com/teams/8178/overview/bayer-leverkusen,
bundesliga,Bayern Munich,primary,Harry Kane,present,Harry Kane,Harry Kane,9823,https://www.fotmob.com/teams/9823/overview/bayern-munchen,
bundesliga,Bayern Munich,secondary,Arijon Ibrahimović,present,Arijon Ibrahimovic,Arijon Ibrahimovic,9823,https://www.fotmob.com/teams/9823/overview/bayern-munchen,
bundesliga,Bayern Munich,tertiary,Jamal Musiala,present,Jamal Musiala,Jamal Musiala,9823,https://www.fotmob.com/teams/9823/overview/bayern-munchen,
bundesliga,Borussia Dortmund,primary,Ramy Bensebaini,present,Ramy Bensebaini,Ramy Bensebaini,9789,https://www.fotmob.com/teams/9789/overview/borussia-dortmund,
bundesliga,Borussia Dortmund,secondary,Serhou Guirassy,present,Serhou Guirassy,Serhou Guirassy,9789,https://www.fotmob.com/teams/9789/overview/borussia-dortmund,
bundesliga,Borussia Dortmund,tertiary,Félix Nmecha,present,Felix Nmecha,Felix Nmecha,9789,https://www.fotmob.com/teams/9789/overview/borussia-dortmund,
bundesliga,Borussia M.Gladbach,primary,Kevin Diks,present,Kevin Diks,Kevin Diks | Kevin Stöger | Tim Kleindienst,9788,https://www.fotmob.com/teams/9788/overview/borussia-monchengladbach,
bundesliga,Borussia M.Gladbach,secondary,Kevin Stöger,present,Kevin Stöger,Kevin Stöger | Kevin Diks,9788,https://www.fotmob.com/teams/9788/overview/borussia-monchengladbach,
bundesliga,Borussia M.Gladbach,tertiary,Robin Hack,present,Robin Hack,Robin Hack,9788,https://www.fotmob.com/teams/9788/overview/borussia-monchengladbach,
bundesliga,Eintracht Frankfurt,primary,Jonathan Burkardt,present,Jonathan Burkardt,Jonathan Burkardt,9810,https://www.fotmob.com/teams/9810/overview/eintracht-frankfurt,
bundesliga,Eintracht Frankfurt,secondary,Can Uzun,present,Can Uzun,Can Uzun,9810,https://www.fotmob.com/teams/9810/overview/eintracht-frankfurt,
bundesliga,Eintracht Frankfurt,tertiary,Mario Götze,present,Mario Götze,Mario Götze,9810,https://www.fotmob.com/teams/9810/overview/eintracht-frankfurt,
bundesliga,FC Cologne,primary,Marius Bülter,present,Marius Bülter,Marius Bülter,8722,https://www.fotmob.com/teams/8722/overview/1-fc-koln,
bundesliga,FC Cologne,secondary,Said El Mala,present,Saïd El Mala,Saïd El Mala | Malek El Mala,8722,https://www.fotmob.com/teams/8722/overview/1-fc-koln,
bundesliga,FC Cologne,tertiary,Linton Maina,present,Linton Maina,Linton Maina | Gideon Mensah,8722,https://www.fotmob.com/teams/8722/overview/1-fc-koln,
bundesliga,Freiburg,primary,Vincenzo Grifo,present,Vincenzo Grifo,Vincenzo Grifo,8358,https://www.fotmob.com/teams/8358/overview/freiburg,
bundesliga,Freiburg,secondary,Igor Matanović,present,Igor Matanovic,Igor Matanovic,8358,https://www.fotmob.com/teams/8358/overview/freiburg,
bundesliga,Freiburg,tertiary,Lucas Höler,present,Lucas Höler,Lucas Höler | Lukas Kübler,8358,https://www.fotmob.com/teams/8358/overview/freiburg,
bundesliga,Hamburger SV,primary,Albert Grønbæk,present,Albert Grønbæk,Albert Grønbæk | Albert Sambi Lokonga,9790,https://www.fotmob.com/teams/9790/overview/hamburger-sv,
bundesliga,Hamburger SV,secondary,Miro Muheim,present,Miro Muheim,Miro Muheim,9790,https://www.fotmob.com/teams/9790/overview/hamburger-sv,
bundesliga,Hamburger SV,tertiary,Otto Stange,present,Otto Stange,Otto Stange,9790,https://www.fotmob.com/teams/9790/overview/hamburger-sv,
bundesliga,Hoffenheim,primary,Andrej Kramarić,present,Andrej Kramaric,Andrej Kramaric,8226,https://www.fotmob.com/teams/8226/overview/hoffenheim,
bundesliga,Hoffenheim,secondary,Tim Lemperle,present,Tim Lemperle,Tim Lemperle,8226,https://www.fotmob.com/teams/8226/overview/hoffenheim,
bundesliga,Hoffenheim,tertiary,Fisnik Asllani,present,Fisnik Asllani,Fisnik Asllani,8226,https://www.fotmob.com/teams/8226/overview/hoffenheim,
bundesliga,Mainz 05,primary,Nadiem Amiri,present,Nadiem Amiri,Nadiem Amiri,9905,https://www.fotmob.com/teams/9905/overview/mainz-05,
bundesliga,Mainz 05,secondary,Ransford-Yeboah Königsdörffer,present,Ransford Königsdörffer,Ransford Königsdörffer,9905,https://www.fotmob.com/teams/9905/overview/mainz-05,
bundesliga,Mainz 05,tertiary,Paul Nebel,present,Paul Nebel,Paul Nebel,9905,https://www.fotmob.com/teams/9905/overview/mainz-05,
bundesliga,RasenBallsport Leipzig,primary,Christopher Nkunku,present,Christopher Nkunku,Christopher Nkunku | Christoph Baumgartner,178475,https://www.fotmob.com/teams/178475/overview/rb-leipzig,
bundesliga,RasenBallsport Leipzig,secondary,Rômulo,present,Rômulo,Rômulo,178475,https://www.fotmob.com/teams/178475/overview/rb-leipzig,
bundesliga,RasenBallsport Leipzig,tertiary,David Raum,present,David Raum,David Raum,178475,https://www.fotmob.com/teams/178475/overview/rb-leipzig,
bundesliga,SC Paderborn 07,primary,Sebastian Klaas,present,Sebastian Klaas,Sebastian Klaas,8460,https://www.fotmob.com/teams/8460/overview/sc-paderborn-07,
bundesliga,SC Paderborn 07,secondary,Sven Michel,present,Sven Michel,Sven Michel | Lasse Eickel,8460,https://www.fotmob.com/teams/8460/overview/sc-paderborn-07,
bundesliga,SC Paderborn 07,tertiary,Raphael Obermair,present,Raphael Obermair,Raphael Obermair,8460,https://www.fotmob.com/teams/8460/overview/sc-paderborn-07,
bundesliga,SV Elversberg,primary,Lukas Petkov,present,Lukas Petkov,Lukas Petkov | Lukasz Poreba | Lukas Pinckert,8232,https://www.fotmob.com/teams/8232/overview/sv-elversberg,
bundesliga,SV Elversberg,secondary,Francis Onyeka,present,Francis Onyeka,Francis Onyeka | Jason Çeka,8232,https://www.fotmob.com/teams/8232/overview/sv-elversberg,
bundesliga,SV Elversberg,tertiary,Maurice Krattenmacher,present,Maurice Krattenmacher,Maurice Krattenmacher,8232,https://www.fotmob.com/teams/8232/overview/sv-elversberg,
bundesliga,Schalke 04,primary,Kenan Karaman,present,Kenan Karaman,Kenan Karaman,10189,https://www.fotmob.com/teams/10189/overview/schalke-04,
bundesliga,Schalke 04,secondary,Bryan Lasme,present,Bryan Lasme,Bryan Lasme,10189,https://www.fotmob.com/teams/10189/overview/schalke-04,
bundesliga,Schalke 04,tertiary,Moussa Sylla,present,Moussa Sylla,Moussa Sylla,10189,https://www.fotmob.com/teams/10189/overview/schalke-04,
bundesliga,Union Berlin,primary,Aljoscha Kemlein,present,Aljoscha Kemlein,Aljoscha Kemlein,8149,https://www.fotmob.com/teams/8149/overview/union-berlin,
bundesliga,Union Berlin,secondary,Derrick Köhn,present,Derrick Köhn,Derrick Köhn | Frederik Rønnow,8149,https://www.fotmob.com/teams/8149/overview/union-berlin,
bundesliga,Union Berlin,tertiary,Robert Skov,present,Robert Skov,Robert Skov,8149,https://www.fotmob.com/teams/8149/overview/union-berlin,
bundesliga,VfB Stuttgart,primary,Maximilian Mittelstädt,present,Maximilian Mittelstädt,Maximilian Mittelstädt,10269,https://www.fotmob.com/teams/10269/overview/vfb-stuttgart,
bundesliga,VfB Stuttgart,secondary,Deniz Undav,present,Deniz Undav,Deniz Undav,10269,https://www.fotmob.com/teams/10269/overview/vfb-stuttgart,
bundesliga,VfB Stuttgart,tertiary,Ermedin Demirović,present,Ermedin Demirovic,Ermedin Demirovic,10269,https://www.fotmob.com/teams/10269/overview/vfb-stuttgart,
bundesliga,Werder Bremen,primary,Niclas Füllkrug,present,Niclas Füllkrug,Niclas Füllkrug,8697,https://www.fotmob.com/teams/8697/overview/werder-bremen,
bundesliga,Werder Bremen,secondary,Salim Musah,present,Salim Musah,Salim Musah,8697,https://www.fotmob.com/teams/8697/overview/werder-bremen,
bundesliga,Werder Bremen,tertiary,Cedric Itten,present,Cedric Itten,Cedric Itten,8697,https://www.fotmob.com/teams/8697/overview/werder-bremen,
epl,Arsenal,primary,Bukayo Saka,present,Bukayo Saka,Bukayo Saka,9825,https://www.fotmob.com/teams/9825/overview/arsenal,
epl,Arsenal,secondary,Viktor Gyokeres,present,Viktor Gyökeres,Viktor Gyökeres,9825,https://www.fotmob.com/teams/9825/overview/arsenal,
epl,Arsenal,tertiary,Martin Odegaard,present,Martin Ødegaard,Martin Ødegaard | Martín Zubimendi,9825,https://www.fotmob.com/teams/9825/overview/arsenal,
epl,Aston Villa,primary,Emiliano Buendía,present,Emiliano Buendía,Emiliano Buendía,10252,https://www.fotmob.com/teams/10252/overview/aston-villa,
epl,Aston Villa,secondary,Tammy Abraham,present,Tammy Abraham,Tammy Abraham,10252,https://www.fotmob.com/teams/10252/overview/aston-villa,
epl,Aston Villa,tertiary,Ross Barkley,present,Ross Barkley,Ross Barkley | Leon Bailey,10252,https://www.fotmob.com/teams/10252/overview/aston-villa,
epl,Bournemouth,primary,Justin Kluivert,present,Justin Kluivert,Justin Kluivert,8678,https://www.fotmob.com/teams/8678/overview/afc-bournemouth,
epl,Bournemouth,secondary,Marcus Tavernier,present,Marcus Tavernier,Marcus Tavernier,8678,https://www.fotmob.com/teams/8678/overview/afc-bournemouth,
epl,Bournemouth,tertiary,Evanilson,present,Evanilson,Evanilson | Daniel Jebbison,8678,https://www.fotmob.com/teams/8678/overview/afc-bournemouth,
epl,Brentford,primary,Igor Thiago,present,Igor Thiago,Igor Thiago,9937,https://www.fotmob.com/teams/9937/overview/brentford,
epl,Brentford,secondary,Kevin Schade,present,Kevin Schade,Kevin Schade,9937,https://www.fotmob.com/teams/9937/overview/brentford,
epl,Brentford,tertiary,Fabio Carvalho,present,Fábio Carvalho,Fábio Carvalho,9937,https://www.fotmob.com/teams/9937/overview/brentford,
epl,Brighton,primary,Pascal Gross,present,Pascal Groß,Pascal Groß | Pascal Struijk,10204,https://www.fotmob.com/teams/10204/overview/brighton-hove-albion,
epl,Brighton,secondary,Matt O'Riley,present,Matthew O'Riley,Matthew O'Riley,10204,https://www.fotmob.com/teams/10204/overview/brighton-hove-albion,
