date,match,team,player,kickoff,home_team,away_team,competition,signal_type,tracking_tier,player_id,market_player_name,model_p_atgs,model_fair_odds,model_version,model_calibration_version,best_bookmaker,best_bookmaker_odds,ev,captured_at,compared_at,recorded_at,recommended_stake_units,evaluation_stake_units,public_action,public_policy_reason,super_sub_contract_verified,super_sub_tracking_policy,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-09-11,Union Berlin vs Schalke 04,Union Berlin,Josip Juranović,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,622373,Josip Juranović,0.07896645407650411,12.66,daily_shrunk_rates_v2_20260909,raw,Bet365,11.0,-0.13140000000000002,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Union Berlin,Leopold Querfeld,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,1199947,Leopold Querfeld,0.11808115021662151,8.47,daily_shrunk_rates_v2_20260909,raw,Bet365,10.0,0.1808,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Union Berlin,Tom Rothe,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,1282582,Tom Rothe,0.06245679884365711,16.01,daily_shrunk_rates_v2_20260909,raw,Bet365,8.0,-0.5003,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Union Berlin,Aljoscha Kemlein,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,1403332,Aljoscha Kemlein,0.12439858349158475,8.04,daily_shrunk_rates_v2_20260909,raw,Bet365,8.0,-0.0048,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Union Berlin,Rani Khedira,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,304348,Rani Khedira,0.12065636098854458,8.29,daily_shrunk_rates_v2_20260909,raw,Bet365,10.0,0.2066,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Union Berlin,Livan Burcu,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,1520506,Livan Burcu,0.126474482736325,7.91,daily_shrunk_rates_v2_20260909,raw,Bet365,5.0,-0.3676,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Union Berlin,Woo-Yeong Jeong,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,949673,Woo-Yeong Jeong,0.29561197121671806,3.38,daily_shrunk_rates_v2_20260909,raw,Bet365,4.333,0.2809,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Schalke 04,Timo Becker,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,785739,Timo Becker,0.035120978522144644,28.47,daily_shrunk_rates_v2_20260909,raw,Bet365,7.0,-0.7542,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Schalke 04,Robin Gosens,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,518346,Robin Gosens,0.0700563139689605,14.27,daily_shrunk_rates_v2_20260909,raw,Bet365,6.0,-0.5797,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Union Berlin vs Schalke 04,Schalke 04,Dejan Ljubičić,2026-09-11T18:30:00+00:00,Union Berlin,Schalke 04,Bundesliga,fair_odds_daily_board,first_official_comparison,861668,Dejan Ljubičić,0.10295488804675798,9.71,daily_shrunk_rates_v2_20260909,raw,Bet365,4.5,-0.5367000000000001,2026-09-11T17:54:04Z,2026-09-11T17:54:05+00:00,2026-09-11T17:55:18.089685+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
