date,match,team,player,kickoff,home_team,away_team,competition,signal_type,tracking_tier,player_id,market_player_name,model_p_atgs,model_fair_odds,model_version,model_calibration_version,best_bookmaker,best_bookmaker_odds,ev,captured_at,compared_at,recorded_at,recommended_stake_units,evaluation_stake_units,public_action,public_policy_reason,super_sub_contract_verified,super_sub_tracking_policy,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-09-11,Sevilla vs Valencia,Sevilla,Juan Iglesias,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,1102289,Juan Iglesias,0.022537100570604,44.37,daily_shrunk_rates_v2_20260909,raw,Bet365,8.0,-0.8197,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Sevilla,Kike Salas,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,1327489,Kike Salas,0.029488460008986413,33.91,daily_shrunk_rates_v2_20260909,raw,Bet365,8.0,-0.7641,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Sevilla,Gabriel Suazo,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,659490,Gabriel Suazo,0.020189637947230676,49.53,daily_shrunk_rates_v2_20260909,raw,Bet365,6.5,-0.8687999999999999,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Sevilla,Miguel Sierra,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,1797904,Miguel Sierra,0.13967658524489118,7.16,daily_shrunk_rates_v2_20260909,raw,Bet365,3.4,-0.5251,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Sevilla,Lucien Agoumé,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,971790,Lucien Agoumé,0.0431198166773927,23.19,daily_shrunk_rates_v2_20260909,raw,Bet365,7.5,-0.6766,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Sevilla,Isaac Romero,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,1130991,Isaac Romero,0.23549637548764302,4.25,daily_shrunk_rates_v2_20260909,raw,Bet365,2.625,-0.3818,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Valencia,Arnau Martínez,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,1194892,Arnau Martínez,0.052188307193540444,19.16,daily_shrunk_rates_v2_20260909,raw,Bet365,17.0,-0.1128,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Valencia,Pepelu,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,673689,Pepelu,0.10271899721006834,9.74,daily_shrunk_rates_v2_20260909,raw,Bet365,7.5,-0.2296,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Valencia,César Tárrega,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,1311985,César Tárrega,0.034373502472281964,29.09,daily_shrunk_rates_v2_20260909,raw,Bet365,12.0,-0.5875,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
2026-09-11,Sevilla vs Valencia,Valencia,José Gayà,2026-09-11T19:00:00+00:00,Sevilla,Valencia,La Liga,fair_odds_daily_board,first_official_comparison,391058,José Gayà,0.023259347758671285,42.99,daily_shrunk_rates_v2_20260909,raw,Bet365,17.0,-0.6046,2026-09-11T18:29:35Z,2026-09-11T18:29:36+00:00,2026-09-11T18:31:47.103339+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,
