date,match,team,player,kickoff,home_team,away_team,competition,signal_type,tracking_tier,player_id,market_player_name,model_p_atgs,model_fair_odds,model_version,model_calibration_version,best_bookmaker,best_bookmaker_odds,ev,captured_at,compared_at,recorded_at,recommended_stake_units,evaluation_stake_units,public_action,public_policy_reason,super_sub_contract_verified,super_sub_tracking_policy,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note,opponent,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,confidence,fotmob_match_id,position_group,position,historical_minutes,trust_tier,penalty_dependent,penalty_dependency_share,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,named_player_goals,named_player_outcome,super_sub_settlement_policy,super_sub_replacement_chain
2026-09-13,Le Mans vs Lens,Lens,Jonathan Gradit,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,513072,Jonathan Gradit,0.027293666613053318,36.64,daily_shrunk_rates_v2_20260909,raw,Bet365,8.5,-0.768,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-14T15:15:53Z,-1.0000,played_did_not_score_super_sub_checked:Jean-Clair Todibo,,,,,,,,,,,,,,,,,,1,1,Jean-Clair Todibo,0,0,lost,bet365_automatic_20260909,"[""Jean-Clair Todibo""]"
2026-09-13,Le Mans vs Lens,Lens,Kyllian Antonio,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,1685514,Kyllian Antonio,0.03664756824571933,27.29,daily_shrunk_rates_v2_20260909,raw,Bet365,8.5,-0.6884999999999999,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-14T15:15:53Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-13,Le Mans vs Lens,Lens,Matthieu Udol,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,660326,Matthieu Udol,0.11690943774872815,8.55,daily_shrunk_rates_v2_20260909,raw,Bet365,5.5,-0.35700000000000004,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-14T15:15:53Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-13,Le Mans vs Lens,Lens,Ruben Aguilar,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,561046,Ruben Aguilar,0.07097333674847597,14.09,daily_shrunk_rates_v2_20260909,raw,Bet365,5.5,-0.6096,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-14T15:15:53Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-13,Le Mans vs Lens,Lens,Andrija Bulatović,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,1634789,Andrija Bulatović,0.10840374034942742,9.22,daily_shrunk_rates_v2_20260909,raw,Bet365,4.0,-0.5664,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-14T15:15:53Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-13,Le Mans vs Lens,Lens,Florian Thauvin,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,254308,Florian Thauvin,0.3287048158370602,3.04,daily_shrunk_rates_v2_20260909,raw,Bet365,2.3,-0.244,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-14T15:15:53Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-13,Le Mans vs Lens,Lens,Abdallah Sima,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,1189856,Abdallah Sima,0.3073544929018961,3.25,daily_shrunk_rates_v2_20260909,raw,Bet365,2.5,-0.2316,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,1,won,2026-09-14T15:15:53Z,1.5000,scored_1_goals,,,,,,,,,,,,,,,,,,,,,,1,won,bet365_automatic_20260909,
2026-09-13,Le Mans vs Lens,Lens,Odsonne Édouard,2026-09-13T15:15:00+00:00,Le Mans,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,637746,Odsonne Édouard,0.3921312690710916,2.55,daily_shrunk_rates_v2_20260909,raw,Bet365,2.0,-0.2157,2026-09-13T14:39:18Z,2026-09-13T14:39:19+00:00,2026-09-13T14:40:00.729303+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,pending_settlement_data,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monaco vs Lens,Monaco,Sadibou Sané,2026-09-18T18:45:00+00:00,Monaco,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,1523208,Sadibou Sané,0.02308801087347876,43.31,daily_shrunk_rates_v2_20260909,raw,Bet365,8.5,-0.8038,2026-09-18T18:28:21Z,2026-09-18T18:28:22+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:23Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monaco vs Lens,Monaco,Denis Zakaria,2026-09-18T18:45:00+00:00,Monaco,Lens,Ligue 1,fair_odds_daily_board,first_official_comparison,598355,Denis Zakaria,0.13046491297478738,7.66,daily_shrunk_rates_v2_20260909,raw,Bet365,5.0,-0.3477,2026-09-18T18:28:21Z,2026-09-18T18:28:22+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
