date,match,team,player,kickoff,home_team,away_team,competition,signal_type,tracking_tier,player_id,market_player_name,model_p_atgs,model_fair_odds,model_version,model_calibration_version,best_bookmaker,best_bookmaker_odds,ev,captured_at,compared_at,recorded_at,recommended_stake_units,evaluation_stake_units,public_action,public_policy_reason,super_sub_contract_verified,super_sub_tracking_policy,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note,opponent,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,confidence,fotmob_match_id,position_group,position,historical_minutes,trust_tier,penalty_dependent,penalty_dependency_share,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,named_player_goals,named_player_outcome,super_sub_settlement_policy,super_sub_replacement_chain
2026-09-18,Monza vs Sassuolo,Monza,Eddy Kouadio,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1676901,Eddy Kouadio,0.04855331487486568,20.6,daily_shrunk_rates_v2_20260909,raw,Bet365,10.0,-0.5145000000000001,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monza vs Sassuolo,Monza,Lorenzo Lucchesi,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1524139,Lorenzo Lucchesi,0.05729868651164952,17.45,daily_shrunk_rates_v2_20260909,raw,Bet365,10.0,-0.42700000000000005,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monza vs Sassuolo,Monza,Andrea Carboni,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1123969,Andrea Carboni,0.037717188614629374,26.51,daily_shrunk_rates_v2_20260909,raw,Bet365,7.5,-0.7171,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monza vs Sassuolo,Monza,Samuele Birindelli,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,799497,Samuele Birindelli,0.06772640797552755,14.77,daily_shrunk_rates_v2_20260909,raw,Bet365,7.0,-0.5259,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score_super_sub_checked:Yvan Kouadio Maye,,,,,,,,,,,,,,,,,,1,1,Yvan Kouadio Maye,0,0,lost,bet365_automatic_20260909,"[""Yvan Kouadio Maye""]"
2026-09-18,Monza vs Sassuolo,Monza,Ebenezer Akinsanmiro,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1481909,Ebenezer Akinsanmiro,0.06265109301149312,15.96,daily_shrunk_rates_v2_20260909,raw,Bet365,6.0,-0.6241,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monza vs Sassuolo,Monza,Michael Folorunsho,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,822440,Michael Folorunsho,0.10147865900507264,9.85,daily_shrunk_rates_v2_20260909,raw,Bet365,4.75,-0.518,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monza vs Sassuolo,Monza,Ricardo Mangas,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,824655,Ricardo Mangas,0.10059084324682302,9.94,daily_shrunk_rates_v2_20260909,raw,Bet365,6.0,-0.39649999999999996,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monza vs Sassuolo,Monza,Patrick Cutrone,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,639671,Patrick Cutrone,0.14764397720298156,6.77,daily_shrunk_rates_v2_20260909,raw,Bet365,3.1,-0.5423,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monza vs Sassuolo,Sassuolo,Simone Cinquegrano,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1735847,Simone Cinquegrano,0.045121513797023755,22.16,daily_shrunk_rates_v2_20260909,raw,Bet365,7.5,-0.6616,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monza vs Sassuolo,Sassuolo,Fedde Leysen,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1203195,Fedde Leysen,0.028178934468371716,35.49,daily_shrunk_rates_v2_20260909,raw,Bet365,10.0,-0.7182,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monza vs Sassuolo,Sassuolo,Josh Doig,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1130330,Josh Doig,0.04119904166312318,24.27,daily_shrunk_rates_v2_20260909,raw,Bet365,8.0,-0.6704000000000001,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
2026-09-18,Monza vs Sassuolo,Sassuolo,Kristian Thorstvedt,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,921921,Kristian Thorstvedt,0.18988488521663832,5.27,daily_shrunk_rates_v2_20260909,raw,Bet365,4.0,-0.24050000000000002,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monza vs Sassuolo,Sassuolo,Nemanja Matić,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,115067,Nemanja Matić,0.0453827297004229,22.03,daily_shrunk_rates_v2_20260909,raw,Bet365,10.0,-0.5462,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monza vs Sassuolo,Sassuolo,Darryl Bakola,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1641041,Darryl Bakola,0.08391876476775917,11.92,daily_shrunk_rates_v2_20260909,raw,Bet365,5.5,-0.5384,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score_super_sub_checked:Laurs Skjellerup,,,,,,,,,,,,,,,,,,1,1,Laurs Skjellerup,0,0,lost,bet365_automatic_20260909,"[""Laurs Skjellerup""]"
2026-09-18,Monza vs Sassuolo,Sassuolo,Domenico Berardi,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,364520,Domenico Berardi,0.18395019022134754,5.44,daily_shrunk_rates_v2_20260909,raw,Bet365,2.875,-0.4711,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monza vs Sassuolo,Sassuolo,Sebastiano Esposito,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,1030212,Sebastiano Esposito,0.19787435167960124,5.05,daily_shrunk_rates_v2_20260909,raw,Bet365,2.75,-0.4558,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,,,,,,super_sub_replacement_unresolved,,,,,,,,,,,,,,,,,,1,1,,0,0,lost,,
2026-09-18,Monza vs Sassuolo,Sassuolo,Armand Laurienté,2026-09-18T18:45:00+00:00,Monza,Sassuolo,Serie A,fair_odds_daily_board,first_official_comparison,935769,Armand Laurienté,0.17750677978482826,5.63,daily_shrunk_rates_v2_20260909,raw,Bet365,3.1,-0.4497,2026-09-18T18:26:17Z,2026-09-18T18:26:18+00:00,2026-09-18T18:29:01.337189+00:00,0,1,comparison_only,daily_first_official_v1,0,bet365_automatic_20260909,1,0,lost,2026-09-19T12:42:13Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,,,,1,0,,0,0,lost,bet365_automatic_20260909,
