date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note,fotmob_match_id,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,role_adjustment_factor,role_adjustment_reason,model_version,calibration_version,p_calibrated,edge_vs_novig_pp,pinnacle_odds_at_publish,tracking_tier,quarantine_reason,evaluation_stake_units
2026-05-09,2026-05-09T12:00:00Z,Elche CF vs Deportivo Alaves,Spain - LaLiga,Antonio Martinez,Alaves,Elche CF,fair_odds_lab,3.4872,1.3412,1,Carlos Vicente,0,expected_starter,0.433379,2.3074,Bet365,2.8750,0.245965,Medium,2026-05-07T19:57:20Z,6400,Antonio Martinez,Elche CF,Deportivo Alaves,FW,FW,3385.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1024,1.00,research,Research only,1,1,won,2026-05-10T00:13:01Z,1.8750,scored_1_goals,,,,,,,,,,,,,,,
2026-05-12,2026-05-12T18:00:00Z,Real Betis Seville vs Elche CF,Spain - LaLiga,Alvaro Rodriguez,Elche,Real Betis Seville,fair_odds_lab,-2.6639,0.8765,0,,0,starter,0.315004,3.1746,Bet365,4.3330,0.364912,Medium,2026-05-12T10:33:47Z,11186,Alvaro Rodriguez,Real Betis Seville,Elche CF,FW,FW,2842.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,0,lost,2026-05-13T01:31:55Z,-1.0000,played_did_not_score,4837461,1,0,,0,,,,,,,,,,
2026-05-13,2026-05-13T19:30:00Z,Getafe CF vs RCD Mallorca,Spain - LaLiga,Vedat Muriqi,Mallorca,Getafe CF,fair_odds_lab,1.6113,0.8590,0,,0,starter,0.383491,2.6076,Bet365,3.2000,0.227171,Medium,2026-05-11T15:54:53Z,9002,Vedat Muriqi,Getafe CF,RCD Mallorca,FW,FW,7206.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.2159,1.00,research,Research only,1,0,lost,2026-05-30T14:51:03Z,-1.0000,played_did_not_score,4837463,1,0,,0,,,,,,,,,,
2026-05-14,2026-05-14T19:30:00Z,Real Madrid vs Real Oviedo,Spain - LaLiga,Ilyas Chaira,Real Oviedo,Real Madrid,fair_odds_lab,1.8231,0.7278,0,,0,starter,0.250106,3.9983,Bet365,6.0000,0.500636,High,2026-05-14T19:24:00Z,13701,Ilyas Chaira,Real Madrid,Real Oviedo,AM,FW,2416.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,0,lost,2026-05-15T01:49:20Z,-1.0000,played_did_not_score_super_sub_checked:Santi Cazorla,4837469,1,1,Santi Cazorla,0,,,,,,,,,,
2026-05-17,2026-05-17T17:00:00Z,CA Osasuna vs Espanyol Barcelona,Spain - LaLiga,Ante Budimir,Osasuna,Espanyol Barcelona,fair_odds_lab,-2.1138,1.2800,0,,0,starter,0.575388,1.7380,Bet365,2.1000,0.208315,Medium,2026-05-15T10:38:50Z,1235,Ante Budimir,CA Osasuna,Espanyol Barcelona,FW,FW,8299.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1572,1.00,research,Research only,1,0,lost,2026-05-18T01:42:52Z,-1.0000,played_did_not_score,4837478,1,0,,0,,,,,,,,,,
2026-05-17,2026-05-17T17:00:00Z,Levante UD vs RCD Mallorca,Spain - LaLiga,Vedat Muriqi,Mallorca,Levante UD,fair_odds_lab,0.1275,0.9914,0,,0,starter,0.445950,2.2424,Bet365,2.6000,0.159470,Medium,2026-05-14T17:25:38Z,9002,Vedat Muriqi,Levante UD,RCD Mallorca,FW,FW,7296.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1947,1.00,research,Research only,1,0,lost,2026-05-18T01:42:52Z,-1.0000,played_did_not_score,4837474,1,0,,0,,,,,,,,,,
2026-05-17,2026-05-17T17:00:00Z,Real Oviedo vs Deportivo Alaves,Spain - LaLiga,Federico Vinas,Real Oviedo,Deportivo Alaves,fair_odds_lab,0.5441,1.0965,0,,0,starter,0.391295,2.5556,Bet365,3.4000,0.330403,High,2026-05-17T15:57:44Z,13705,Federico Vinas,Real Oviedo,Deportivo Alaves,FW,FW,2495.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1024,1.00,research,Research only,1,0,lost,2026-05-18T01:42:52Z,-1.0000,played_did_not_score_super_sub_ambiguous,4837477,1,1,,0,1.0000,,,,,,,,,
2026-05-23,2026-05-23T19:00:00Z,Getafe CF vs CA Osasuna,Spain - LaLiga,Ante Budimir,Osasuna,Getafe CF,fair_odds_lab,-3.3460,0.7811,0,,0,starter,0.423439,2.3616,Bet365,2.8750,0.217387,Medium,2026-05-20T20:22:24Z,1235,Ante Budimir,Getafe CF,CA Osasuna,FW,FW,8389.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1878,1.00,research,Research only,1,0,lost,2026-05-30T14:29:03Z,-1.0000,played_did_not_score,4837484,1,0,,0,1.0000,,,,,,,,,
2026-05-23,2026-05-23T19:00:00Z,RCD Mallorca vs Real Oviedo,Spain - LaLiga,Ilyas Chaira,Real Oviedo,RCD Mallorca,fair_odds_lab,1.2867,1.2823,0,,0,starter,0.255774,3.9097,Bet365,6.0000,0.534644,Medium,2026-05-22T16:15:36Z,13701,Ilyas Chaira,RCD Mallorca,Real Oviedo,AM,Sub,2494.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,0,lost,2026-05-24T01:52:57Z,-1.0000,played_did_not_score,4837485,1,0,,0,1.0000,,,,,,,,,
2026-08-16,2026-08-16T17:00:00Z,Espanyol Barcelona vs Levante UD,Spain - LaLiga,Ivan Romero,Levante,Espanyol Barcelona,fair_odds_lab,1.1471,1.1938,0,,0,starter,0.368234,2.7157,Bet365,4.0000,0.472936,Medium,2026-08-16T08:58:14Z,9275,Ivan Romero,Espanyol Barcelona,Levante UD,FW,AML,2339.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0763,1.00,research,Research only,1,0,lost,2026-08-17T09:22:57Z,-1.0000,played_did_not_score_super_sub_checked:Marc Santos,5868015,1,1,Marc Santos,0,1.0000,,goalscorer_v1_raw,raw_incumbent_v0,0.368234,unavailable_one_sided_market,unavailable,display_row,,
