date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note,fotmob_match_id,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,role_adjustment_factor,role_adjustment_reason,model_version,calibration_version,p_calibrated,edge_vs_novig_pp,pinnacle_odds_at_publish,tracking_tier,quarantine_reason,evaluation_stake_units
2026-05-08,2026-05-08T18:45:00Z,Torino FC vs Sassuolo Calcio,Italy - Serie A,Giovanni Simeone,Torino,Sassuolo Calcio,fair_odds_lab,0.2775,1.0624,0,,0,starter,0.451004,2.2173,Bet365,3.1000,0.398112,High,2026-05-08T18:06:25Z,1102,Giovanni Simeone,Torino FC,Sassuolo Calcio,FW,FW,3107.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,1,won,2026-05-09T01:47:28Z,2.1000,scored_1_goals,,,,,,,,,,,,,,,
2026-05-10,2026-05-10T13:00:00Z,ACF Fiorentina vs Genoa CFC,Italy - Serie A,Lorenzo Colombo,Genoa,ACF Fiorentina,fair_odds_lab,-1.7992,0.9650,1,Ruslan Malinovskiy,0,starter,0.329779,3.0323,Bet365,4.3330,0.428932,High,2026-05-10T12:58:23Z,8478,Lorenzo Colombo,ACF Fiorentina,Genoa CFC,FW,FW,5744.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.3017,1.00,research,Research only,1,0,lost,2026-05-11T01:24:12Z,-1.0000,played_did_not_score,,,,,,,,,,,,,,,
2026-05-17,2026-05-17T18:45:00Z,Cagliari Calcio vs Torino FC,Italy - Serie A,Giovanni Simeone,Torino,Cagliari Calcio,fair_odds_lab,0.6572,1.1047,0,,0,starter,0.351010,2.8489,Bet365,3.7500,0.316288,High,2026-05-17T18:47:12Z,1102,Giovanni Simeone,Cagliari Calcio,Torino FC,FW,FW,3194.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,0,lost,2026-05-18T01:42:48Z,-1.0000,played_did_not_score,4803399,1,0,,0,1.0000,,,,,,,,,
2026-05-17,2026-05-17T18:45:00Z,Sassuolo Calcio vs US Lecce,Italy - Serie A,Kristian Thorstvedt,Sassuolo,US Lecce,fair_odds_lab,-1.5283,1.3650,0,,0,starter,0.365208,2.7382,Bet365,3.7500,0.369530,High,2026-05-17T18:47:12Z,10994,Kristian Thorstvedt,Sassuolo Calcio,US Lecce,MID,MC,4709.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,0,lost,2026-05-18T01:42:48Z,-1.0000,played_did_not_score,4803406,1,0,,0,1.0000,,,,,,,,,
2026-05-24,2026-05-24T18:45:00Z,Torino FC vs Juventus Turin,Italy - Serie A,Giovanni Simeone,Torino,Juventus Turin,fair_odds_lab,-0.3994,0.5831,0,,0,starter,0.276470,3.6170,Bet365,4.7500,0.313233,Medium,2026-05-21T20:24:39Z,1102,Giovanni Simeone,Torino FC,Juventus Turin,FW,AMC,3284.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0000,1.00,research,Research only,1,0,lost,2026-05-25T01:44:31Z,-1.0000,played_did_not_score,4803416,1,0,,0,1.0000,,,,,,,,,
2026-05-24,2026-05-24T18:45:00Z,US Lecce vs Genoa CFC,Italy - Serie A,Lorenzo Colombo,Genoa,US Lecce,fair_odds_lab,-1.6966,1.3328,0,,0,starter,0.257301,3.8865,Bet365,5.5000,0.415156,Medium,2026-05-22T11:18:00Z,8478,Lorenzo Colombo,US Lecce,Genoa CFC,FW,FW,5888.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1404,1.00,research,Research only,1,0,lost,2026-05-25T01:44:31Z,-1.0000,played_did_not_score,4803412,1,0,,0,1.0000,,,,,,,,,
2026-08-22,2026-08-22T16:30:00Z,Udinese Calcio vs Como 1907,Italy - Serie A,Lucas Da Cunha,Como,Udinese Calcio,fair_odds_lab,0.1753,0.9383,0,,0,starter,0.280740,3.5620,Bet365,5.0000,0.403700,High,2026-08-22T15:34:16Z,8182,Lucas Da Cunha,Udinese Calcio,Como 1907,DMC,DMC,5404.0,T1,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.3665,1.00,research,Research only,1,0,lost,2026-08-23T09:27:36Z,-1.0000,played_did_not_score,5749648,1,0,,0,1.0000,,goalscorer_v1_raw,raw_incumbent_v0,0.280740,unavailable_one_sided_market,unavailable,display_row,,
2026-08-22,2026-08-22T18:45:00Z,Genoa CFC vs SSC Napoli,Italy - Serie A,Scott McTominay,Napoli,Genoa CFC,fair_odds_lab,-0.8459,0.8852,0,,0,starter,0.360383,2.7748,Bet365,3.4000,0.225302,Medium,2026-08-20T07:26:39Z,5560,Scott McTominay,Genoa CFC,SSC Napoli,MID,MC,5736.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.1002,1.00,research,Research only,1,0,lost,2026-08-23T09:27:36Z,-1.0000,played_did_not_score,5749644,1,0,,0,1.0000,,goalscorer_v1_raw,raw_incumbent_v0,0.360383,unavailable_one_sided_market,unavailable,display_row,,
2026-08-24,2026-08-24T18:45:00Z,AS Roma vs ACF Fiorentina,Italy - Serie A,Moise Kean,Fiorentina,AS Roma,fair_odds_lab,-0.7001,0.7613,0,,0,starter,0.328587,3.0433,Bet365,3.7500,0.232201,Medium,2026-08-24T07:43:58Z,1304,Moise Kean,AS Roma,ACF Fiorentina,FW,FW,5410.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0616,1.00,research,Research only,1,0,lost,2026-08-25T09:42:32Z,-1.0000,played_did_not_score,5749640,1,0,,0,1.0000,,goalscorer_v1_raw,raw_incumbent_v0,0.328587,unavailable_one_sided_market,unavailable,display_row,,
2026-08-29,2026-08-29T16:30:00Z,AC Monza vs Udinese Calcio,Italy - Serie A,Patrick Cutrone,Monza,Udinese Calcio,fair_odds_lab,-0.4470,1.3184,1,Matteo Pessina,0,starter,0.399917,2.5005,Bet365,3.2000,0.279734,Medium,2026-08-28T19:05:59Z,4918,Patrick Cutrone,AC Monza,Udinese Calcio,AM,S,2966.0,T2,surface,fair_odds_lab_likely_starters_top5_edge6_prob20_odds6,0,0.0592,1.00,research,Research only,1,0,lost,2026-08-31T16:57:02Z,-1.0000,played_did_not_score,5749657,1,0,,0,1.0000,,goalscorer_v1_raw,raw_incumbent_v0,0.399917,unavailable_one_sided_market,unavailable,display_row,,
