date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-10,2026-04-10T18:45:00Z,AS Roma vs Pisa SC,Italy - Serie A,Stefano Moreo,Pisa,AS Roma,public_pick,-0.5747,1.0093,0,,0,starter,0.230744,4.3338,Bet365,5.0000,0.153720,high,2026-04-10T18:02:51Z,,13939,Stefano Moreo,AS Roma,Pisa SC,FW,FW,1792.0,T1,surface,,0,0.2573,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-10T23:27:50Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T16:00:00Z,AC Milan vs Udinese Calcio,Italy - Serie A,Keinan Davis,Udinese,AC Milan,public_pick,1.0448,0.9051,0,,0,starter,0.247522,4.0401,Bet365,4.7500,0.175729,high,2026-04-11T15:30:16Z,,1053,Keinan Davis,AC Milan,Udinese Calcio,FW,FW,3061.0,T1,surface,,0,0.3843,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.0000,played_did_not_score
2026-04-11,2026-04-11T18:45:00Z,Atalanta BC vs Juventus Turin,Italy - Serie A,Nikola Krstovic,Atalanta,Juventus Turin,public_pick,-2.3191,0.8105,0,,0,starter,0.424950,2.3532,Bet365,2.6000,0.104870,high,2026-04-11T18:45:16Z,,12008,Nikola Krstovic,Atalanta BC,Juventus Turin,FW,FW,6814.0,T1,surface,,0,0.0036,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.2500,played_did_not_score
2026-04-11,2026-04-11T13:00:00Z,Cagliari Calcio vs US Cremonese,Italy - Serie A,Federico Bonazzoli,Cremonese,Cagliari Calcio,public_pick,-0.9499,0.9922,1,Jamie Vardy,0,starter,0.308410,3.2424,Bet365,4.0000,0.233640,high,2026-04-11T12:35:33Z,,2019,Federico Bonazzoli,Cagliari Calcio,US Cremonese,FW,FW,2966.0,T1,surface,,0,0.1684,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-11T23:59:41Z,-1.0000,played_did_not_score
2026-04-18,2026-04-18T18:45:00Z,AS Roma vs Atalanta BC,Italy - Serie A,Donyell Malen,Roma,Atalanta BC,public_pick,0.7061,0.9845,1,Paulo Dybala,0,starter,0.539927,1.8521,Bet365,2.3750,0.282327,high,2026-04-18T18:28:00Z,,9749,Donyell Malen,AS Roma,Atalanta BC,FW,FW,984.0,T1,surface,,0,0.1217,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.2500,played_did_not_score
2026-04-18,2026-04-18T13:00:00Z,Udinese Calcio vs Parma Calcio,Italy - Serie A,Mateo Pellegrino,Parma Calcio 1913,Udinese Calcio,public_pick,-0.5602,0.9449,0,,0,starter,0.338966,2.9502,Bet365,3.6000,0.220278,high,2026-04-18T12:27:20Z,,13446,Mateo Pellegrino,Udinese Calcio,Parma Calcio,FW,FW,3330.0,T1,surface,,0,0.0839,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T00:01:45Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T13:00:00Z,Hellas Verona vs AC Milan,Italy - Serie A,Gift Emmanuel Orban,Verona,AC Milan,public_pick,-0.2646,0.8039,0,,0,starter,0.246367,4.0590,Bet365,4.5000,0.108652,high,2026-04-19T12:26:50Z,,12367,Gift Emmanuel Orban,Hellas Verona,AC Milan,FW,FW,1937.0,T1,surface,,0,0.2107,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
2026-04-19,2026-04-19T16:00:00Z,Pisa SC vs Genoa CFC,Italy - Serie A,Lorenzo Colombo,Genoa,Pisa SC,public_pick,-0.1724,1.4040,1,Ruslan Malinovskiy,0,starter,0.398212,2.5112,Bet365,3.7500,0.493295,high,2026-04-19T15:50:58Z,,8478,Lorenzo Colombo,Pisa SC,Genoa CFC,FW,FW,5533.0,T1,surface,,0,0.2199,1.00,standard,1.00u Standard,,,,,1,1,won,2026-04-19T19:56:51Z,2.7500,scored_1_goals
2026-04-19,2026-04-19T10:30:00Z,US Cremonese vs Torino FC,Italy - Serie A,Federico Bonazzoli,Cremonese,Torino FC,public_pick,-0.9499,0.9421,1,Jamie Vardy,0,starter,0.345066,2.8980,Bet365,3.4000,0.173224,high,2026-04-19T10:22:20Z,,2019,Federico Bonazzoli,US Cremonese,Torino FC,FW,FW,2966.0,T1,surface,,0,0.1730,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.2500,played_did_not_score
2026-04-19,2026-04-19T10:30:00Z,US Cremonese vs Torino FC,Italy - Serie A,Nikola Vlasic,Torino,US Cremonese,public_pick,-0.5966,1.1518,0,,0,starter,0.293032,3.4126,Bet365,4.3330,0.269708,high,2026-04-19T10:22:20Z,,6276,Nikola Vlasic,US Cremonese,Torino FC,AMC,AMC,7219.0,T1,surface,,0,0.3189,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-04-19T19:56:51Z,-1.0000,played_did_not_score
