captured_at,match_date,event_id,kickoff_at,minutes_to_kickoff,snapshot_kind,bookmaker,competition,market,home_team,away_team,player_name,player_team,odds_decimal,source,notes
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Joshua Vagnoman,,4.7500,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Lorenz Assignon,,6.5000,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Deniz Undav,,1.8330,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Badredine Bouanani,,2.7500,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Bilal El Khannous,,2.7500,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Jamie Leweling,,2.7500,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Lazar Jovanovic,,3.2000,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Cameron Puertas,,4.0000,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Mick Schmetgens,,13.0000,odds_api_io,event_id=61514154;market=Anytime Goalscorer
2026-04-26T08:52:42Z,2026-04-26,61514154,2026-04-26T13:30:00Z,,live_capture,Bet365,Germany - Bundesliga,ATGS,VfB Stuttgart,Werder Bremen,Senne Lynen,,13.0000,odds_api_io,event_id=61514154;market=Anytime Goalscorer
