season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2026-2027,La Liga,2026-08-31,Barcelona,Rayo Vallecano,1,8026,Raphinha,FW,,90,2,0,4,,1.307342,1.307342,0.271747,3,2,1,1.248957,0,0,2.9576,1.06614
2026-2027,La Liga,2026-08-27,Barcelona,Athletic Club,1,8026,Raphinha,FW,,67,1,0,3,,0.816598,0.816598,0.430428,1,1,0,0.58976,0,0,3.9166,0.221962
2026-2027,La Liga,2026-08-23,Barcelona,Elche,0,8026,Raphinha,FW,,85,2,1,3,,1.685638,0.94236,1.038892,2,1,1,0.94236,1,1,4.25182,1.17646
2026-2027,La Liga,2026-08-30,Real Madrid,Malaga,1,3423,Kylian Mbappe-Lottin,FW,,90,1,0,6,,1.486047,1.486047,0.0,2,1,1,1.166917,0,0,3.40784,0.760169
2026-2027,La Liga,2026-08-26,Real Madrid,Real Sociedad,1,3423,Kylian Mbappe-Lottin,FW,,90,3,0,8,,1.714544,1.714544,0.269273,3,2,1,1.355977,0,0,3.30519,0.462997
2026-2027,La Liga,2026-08-22,Real Madrid,Espanyol,0,3423,Kylian Mbappe-Lottin,FW,,90,0,0,10,,1.444509,1.444509,0.06341,1,0,1,0.733952,0,0,2.56122,1.01908
2026-2027,La Liga,2026-08-30,Deportivo La Coruna,Valencia,1,318,Pierre-Emerick Aubameyang,FW,,90,1,0,5,,1.036166,1.036166,0.079023,2,1,1,0.746141,0,0,1.40751,1.01663
2026-2027,La Liga,2026-08-24,Deportivo La Coruna,Malaga,0,318,Pierre-Emerick Aubameyang,FW,,90,1,0,3,,1.067373,1.067373,0.0,1,1,0,0.977819,0,0,1.1297,1.35649
2026-2027,La Liga,2026-08-17,Deportivo La Coruna,Elche,1,318,Pierre-Emerick Aubameyang,FW,,86,1,0,2,,0.110935,0.110935,0.094803,0,0,0,0.0,0,0,0.33987,1.58691
2026-2027,La Liga,2026-08-31,Rayo Vallecano,Barcelona,0,7528,Sergio Camello,FW,,79,2,0,4,,0.831819,0.831819,0.024571,1,0,1,0.585062,0,0,1.06614,2.9576
2026-2027,La Liga,2026-08-20,Rayo Vallecano,Alaves,1,7528,Sergio Camello,FW,,90,1,0,3,,0.208852,0.208852,0.0,0,0,0,0.0,0,0,0.566429,2.22075
2026-2027,La Liga,2026-08-15,Rayo Vallecano,Sevilla,0,7528,Sergio Camello,Sub,,21,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.91219,2.01841
2026-2027,La Liga,2026-08-29,Atletico Madrid,Sevilla,0,8417,Álex Baena,FW,,90,2,0,4,,0.474456,0.474456,0.30208,1,1,0,0.214253,0,0,1.47677,1.08053
2026-2027,La Liga,2026-08-23,Atletico Madrid,Villarreal,1,8417,Álex Baena,Sub,,39,0,1,0,,0.0,0.0,0.138713,0,0,0,0.0,0,0,0.739413,3.54183
2026-2027,La Liga,2026-08-19,Atletico Madrid,Malaga,1,8417,Álex Baena,Sub,,29,1,0,1,,0.057092,0.057092,0.109339,0,0,0,0.0,0,0,1.34391,0.229576
2026-2027,La Liga,2026-08-31,Barcelona,Rayo Vallecano,1,11822,Fermín López,Sub,,22,0,0,1,,0.420178,0.420178,0.036366,1,0,1,0.420178,0,0,2.9576,1.06614
2026-2027,La Liga,2026-08-27,Barcelona,Athletic Club,1,11822,Fermín López,MC,,90,1,0,3,,1.03162,1.03162,0.0,1,1,0,0.915664,0,0,3.9166,0.221962
2026-2027,La Liga,2026-08-23,Barcelona,Elche,0,11822,Fermín López,AMC,,90,2,0,2,,0.991707,0.991707,0.185382,2,2,0,0.991707,0,0,4.25182,1.17646
2026-2027,La Liga,2026-08-29,Espanyol,Real Sociedad,0,13350,Roberto Fernández,FW,,85,1,0,2,,0.447228,0.447228,0.0,1,1,0,0.402229,0,0,0.929949,2.91657
2026-2027,La Liga,2026-08-22,Espanyol,Real Madrid,1,13350,Roberto Fernández,FW,,90,0,0,2,,0.6524,0.6524,0.02788,1,0,1,0.564153,0,0,1.01908,2.56122
2026-2027,La Liga,2026-08-16,Espanyol,Levante,1,13350,Roberto Fernández,FW,,90,2,0,2,,1.125561,1.125561,0.195564,2,2,0,1.125561,0,0,2.0099,0.196262
2026-2027,La Liga,2026-08-28,Racing Santander,Elche,1,14459,Yassir Zabiri,FW,,72,3,0,5,,1.310235,1.310235,0.0,3,3,0,1.1224,0,0,2.56226,1.07551
2026-2027,La Liga,2026-08-23,Racing Santander,Getafe,0,14459,Yassir Zabiri,Sub,,24,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.1679,0.982608
2026-2027,La Liga,2026-08-16,Racing Santander,Villarreal,1,14459,Yassir Zabiri,Sub,,15,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,1.96477,0.768799
2026-2027,La Liga,2026-08-31,Osasuna,Getafe,1,1235,Ante Budimir,FW,,90,1,0,1,,0.743278,0.0,0.073371,0,0,0,0.0,1,1,1.70503,1.09043
2026-2027,La Liga,2026-08-27,Osasuna,Celta Vigo,0,1235,Ante Budimir,Sub,,30,1,0,4,,1.021308,0.278031,0.0,0,0,0,0.0,1,1,1.89653,0.106731
2026-2027,La Liga,2026-08-24,Osasuna,Levante,1,1235,Ante Budimir,FW,,80,0,0,4,,0.580203,0.580203,0.0,1,0,1,0.330063,0,0,0.892536,1.27031
2026-2027,La Liga,2026-08-28,Alaves,Villarreal,1,5110,Mariano,Sub,,35,0,0,0,,0.0,0.0,0.0,0,0,0,0.0,0,0,0.915469,1.45107
2026-2027,La Liga,2026-08-20,Alaves,Rayo Vallecano,0,5110,Mariano,Sub,,25,1,0,2,,0.282075,0.282075,0.0,1,1,0,0.218366,0,0,2.22075,0.566429
2026-2027,La Liga,2026-08-15,Alaves,Getafe,1,5110,Mariano,Sub,,30,1,2,3,,0.213498,0.213498,0.553246,0,0,0,0.0,0,0,2.28581,0.259705
2026-2027,La Liga,2026-08-29,Real Betis,Levante,0,8002,Rodrigo Riquelme,AML,,73,1,0,3,,0.662546,0.662546,0.040588,1,1,0,0.535805,0,0,1.92286,3.0376
2026-2027,La Liga,2026-08-25,Real Betis,Valencia,0,8002,Rodrigo Riquelme,AML,,63,0,0,0,,0.0,0.0,0.065164,0,0,0,0.0,0,0,0.964495,1.28989
2026-2027,La Liga,2026-08-21,Real Betis,Real Sociedad,1,8002,Rodrigo Riquelme,AML,,75,1,0,1,,0.117861,0.117861,0.068903,0,0,0,0.0,0,0,1.69571,1.14003
2026-2027,La Liga,2026-08-30,Real Madrid,Malaga,1,8824,Jude Bellingham,AMC,,90,1,0,5,,0.717129,0.717129,0.768958,1,0,1,0.421185,0,0,3.40784,0.760169
2026-2027,La Liga,2026-08-26,Real Madrid,Real Sociedad,1,8824,Jude Bellingham,AMC,,80,0,2,1,,0.106823,0.106823,1.504599,0,0,0,0.0,0,0,3.30519,0.462997
2026-2027,La Liga,2026-08-22,Real Madrid,Espanyol,0,8824,Jude Bellingham,AMC,,83,1,0,2,,0.210154,0.210154,0.190805,0,0,0,0.0,0,0,2.56122,1.01908
2026-2027,La Liga,2026-08-31,Barcelona,Rayo Vallecano,1,11527,Lamine Yamal,AMR,,90,2,0,6,,0.354431,0.354431,0.803949,0,0,0,0.0,0,0,2.9576,1.06614
2026-2027,La Liga,2026-08-27,Barcelona,Athletic Club,1,11527,Lamine Yamal,FWR,,90,0,0,7,,0.671513,0.671513,0.855645,1,0,1,0.37717,0,0,3.9166,0.221962
2026-2027,La Liga,2026-08-23,Barcelona,Elche,0,11527,Lamine Yamal,AMR,,70,0,0,2,,0.350203,0.350203,0.45141,1,0,1,0.277946,0,0,4.25182,1.17646
2026-2027,La Liga,2026-08-29,Levante,Real Betis,1,13767,Roger Brugué,MR,,90,2,0,4,,1.134495,1.134495,0.104349,1,1,0,0.833486,0,0,3.0376,1.92286
2026-2027,La Liga,2026-08-24,Levante,Osasuna,0,13767,Roger Brugué,MR,,90,0,0,3,,0.528468,0.528468,0.027075,1,0,1,0.375412,0,0,1.27031,0.892536
2026-2027,La Liga,2026-08-28,Alaves,Villarreal,1,1189,Lucas Boyé,FW,,83,1,0,3,,0.653894,0.653894,0.0,1,1,0,0.558625,0,0,0.915469,1.45107
2026-2027,La Liga,2026-08-20,Alaves,Rayo Vallecano,0,1189,Lucas Boyé,FW,,65,0,0,2,,0.120977,0.120977,0.501888,0,0,0,0.0,0,0,2.22075,0.566429
2026-2027,La Liga,2026-08-30,Valencia,Deportivo La Coruna,0,1450,Umar Sadiq,FW,,90,1,0,2,,0.640372,0.640372,0.064097,1,1,0,0.569208,0,0,1.01663,1.40751
2026-2027,La Liga,2026-08-25,Valencia,Real Betis,1,1450,Umar Sadiq,Sub,,31,0,0,1,,0.422972,0.422972,0.0,1,0,1,0.422972,0,0,1.28989,0.964495
