compared_at,captured_at,match_date,kickoff,bookmaker,competition,home_team,away_team,is_home,player_id,player_name,canonical_player_name,player_team,opponent,position,position_group,odds_decimal,implied_prob,model_version,calibration_version,allocation_status,roster_prior_players,model_p_atgs,model_fair_odds_atgs,model_lambda,team_expected_npxg,team_share,non_pen_lambda,base_non_pen_lambda,penalty_lambda,base_model_lambda,role_adjustment_factor,role_adjustment_reason,penalty_dependency_share,penalty_dependent,penalty_share,baseline_penalty_share,baseline_penalty_sample,baseline_penalty_source,career_player_penalties,career_team_penalties,career_penalty_share,penalty_evidence_share,penalty_evidence_sample,penalty_evidence_source,penalty_evidence_note,is_penalty_taker,penalty_role,penalty_share_prior,penalty_share_prior_weight,penalty_hierarchy_boost_xg,penalty_transfer,penalty_transfer_from,penalty_transfer_level,lineup_state,lineup_status,lineup_source,lineup_input,lineup_match_name,trust_tier,fixture_corruption_score,fixture_corruption_flags,minutes_estimate,usual_position,usual_position_score,usual_position_share_10,usual_position_matches_10,today_position_group,today_position_score,today_formation,position_change_score,position_upgrade,expected_minutes,recent_matches_8,recent_npxg_8,recent_np_goals_8,recent_npxg_per90_8,finishing_luck_8,last_fixture_avg_xga_3,next_opponent_xga,fixture_swing_3,attack_factor,opp_factor,ev,edge_pct,method,resolver_source,historical_minutes,signal_confidence,legacy_public_action,public_action,public_policy_reason,recommended_stake_units,recommended_stake_band,recommended_stake_label,shadow_action,confidence_reason,team_lineup_status,source,notes
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Sevilla FC,FC Barcelona,1,10334,Kike Salas,Kike Salas,Sevilla,FC Barcelona,DC,DC,12.0,0.083333,goalscorer_v1_incomplete_roster,raw,estimated_roster,1,0.152269,6.5673,0.1652,0.9499,0.1739,0.1652,0.1652,0.0,0.1652,1.0,,0.0,0,0.0,0.0,2.91,recent_long,0.0,11.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Kike Salas,T2,0.0,,90.0,DC,1,1.0,10,DEF,1,4-2-3-1,0,0,90.0,8,0.5588,1.0,0.0698,0.4412,1.711,1.1618,0.679,0.7866,0.9241,0.82723,82.724,model,history,6494.0,medium,surface_with_caveat,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478600;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Athletic Bilbao,Deportivo Alaves,0,14519,Ville Koski,Ville Koski,Alaves,Athletic Bilbao,DC,DC,19.0,0.052632,goalscorer_v1_incomplete_roster,raw,estimated_roster,4,0.090039,11.1063,0.0944,1.3365,0.0706,0.0944,0.0944,0.0,0.0944,1.0,,0.0,0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Ville Koski,T1,0.0,,85.0,DC,1,1.0,9,DEF,1,3-5-2,0,0,85.0,8,0.9356,1.0,0.1181,0.0644,1.2755,1.3551,1.0624,1.1578,1.0303,0.710742,71.073,model,history,814.0,high,surface,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,confirmed_starter,incomplete_prediction_roster",Confirmed Lineup,odds_api_io,event_id=72478586;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Sevilla FC,FC Barcelona,1,9218,Juan Iglesias,Juan Iglesias,Sevilla,FC Barcelona,DR,DR,12.0,0.083333,goalscorer_v1_incomplete_roster,raw,estimated_roster,1,0.135804,7.3635,0.146,0.9499,0.1537,0.146,0.146,0.0,0.146,1.0,,0.0,0,0.0,0.0,2.76,recent_long,0.0,15.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Juan Iglesias,T2,0.0,,89.9,DR,1,0.7,10,DEF,1,4-2-3-1,0,0,89.9,8,0.4503,1.0,0.0563,0.5497,1.711,1.1618,0.679,0.7866,0.9241,0.629651,62.966,model,history,8019.0,medium,surface_with_caveat,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478600;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,RC Celta de Vigo,Racing Santander,0,14459,Yassir Zabiri,Yassir Zabiri,Racing Santander,RC Celta de Vigo,Sub,Sub,3.1,0.322581,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.463632,2.1569,0.6229,1.3013,0.4787,0.6229,0.6229,0.0,0.6229,1.0,,0.0,0,0.0,0.0,1.51,recent_long,0.0,2.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Yassir Zabiri,T2,0.0,,78.0,FW,5,1.0,3,FW,5,4-2-3-1,0,0,78.0,6,3.241,6.0,0.9659,2.759,1.355,1.5506,1.1443,1.0209,1.1377,0.437259,43.726,model,history,302.0,low,suppress,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_lt_500,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478590;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,RC Celta de Vigo,Racing Santander,0,14686,Alvaro Mantilla,Alvaro Mantilla,Racing Santander,RC Celta de Vigo,DR,DR,17.0,0.058824,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.078199,12.7879,0.0814,1.3013,0.0626,0.0814,0.0814,0.0,0.0814,1.0,,0.0,0,0.0,0.0,1.61,recent_long,0.0,2.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Álvaro Mantilla,T2,0.0,,90.0,DR,1,1.0,5,DEF,1,4-2-3-1,0,0,90.0,5,0.4278,0.0,0.0856,-0.4278,1.567,1.5506,0.9895,1.0209,1.1377,0.32938,32.937,model,history,450.0,low,suppress,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_lt_500,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478590;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Athletic Bilbao,Deportivo Alaves,0,1189,Lucas Boye,Lucas Boye,Alaves,Athletic Bilbao,FW,FW,3.5,0.285714,goalscorer_v1_incomplete_roster,raw,estimated_roster,4,0.305266,3.2758,0.3642,1.3365,0.2157,0.2882,0.2882,0.076,0.3642,1.0,,0.2087,0,0.8211,0.9236,1.65,recent_long,3.0,11.0,0.2727,0.0,0.0,,,1,primary,0.8,8.0,0.0313,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Lucas Boyé,T1,0.0,,85.0,FW,5,1.0,8,FW,5,3-5-2,0,0,85.0,8,2.0017,4.0,0.3498,1.9983,1.2755,1.3551,1.0624,1.1578,1.0303,0.06843,6.843,model,history,4990.0,high,monitor,no_action,incomplete_prediction_roster,0.0,,,shadow_track,"history_resolver,confirmed_starter,incomplete_prediction_roster",Confirmed Lineup,odds_api_io,event_id=72478586;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Sevilla FC,FC Barcelona,0,8026,Raphinha,Raphinha,Barcelona,Sevilla FC,FW,FW,1.8,0.555556,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.546541,1.8297,0.7908,1.9141,0.325,0.6221,0.6221,0.1687,0.7908,1.0,,0.2134,0,0.629,0.5708,11.44,recent_long+review_events,9.0,25.0,0.36,0.5,4.0,review_events,,1,primary,0.74,6.0,0.0334,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Raphinha,T2,0.0,,78.0,FW,5,0.6667,9,FW,5,4-2-3-1,0,0,78.0,8,7.0976,8.0,1.0938,0.9024,1.3841,1.1616,0.8393,1.849,0.924,-0.016227,-1.623,model,history,6167.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478600;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Sevilla FC,FC Barcelona,0,11527,Lamine Yamal,Lamine Yamal,Barcelona,Sevilla FC,FWR,FWR,1.952,0.512295,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.48963,2.0424,0.6726,1.9141,0.2857,0.5469,0.5469,0.1257,0.6726,1.0,,0.1869,0,0.459,0.459,12.12,recent_long+review_events,6.0,29.0,0.2069,0.5,4.0,review_events,,1,secondary,0.0,0.0,0.0139,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Lamine Yamal,T2,0.0,,79.7,AMR,4,0.6,10,AM,4,4-2-3-1,0,0,79.7,8,5.7425,7.0,0.8013,1.2575,1.3841,1.1616,0.8393,1.849,0.924,-0.044243,-4.424,model,history,7858.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478600;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,RC Celta de Vigo,Racing Santander,1,8549,Ferran Jutgla,Ferran Jutgla,Celta Vigo,Racing Santander,FW,FW,2.3,0.434783,goalscorer_v1_incomplete_roster,raw,expected_roster,0,0.404251,2.4737,0.5179,1.5024,0.3447,0.5179,0.5179,0.0,0.5179,1.0,,0.0,0,0.0,0.0,1.23,recent_long,0.0,4.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,expected_starter,expected_starter,fotmob_expected,expected_xi,Ferrán Jutglà,T2,0.0,,78.0,FW,5,0.6667,6,FW,5,3-4-3,0,0,78.0,8,0.285,1.0,0.0627,0.715,1.667,2.4931,1.4956,0.9198,1.25,-0.070223,-7.022,model,history,2026.0,medium,monitor,no_action,incomplete_prediction_roster,0.0,,,no_action,"history_resolver,expected_xi,incomplete_prediction_roster,fixture_t2",FotMob Expected XI,odds_api_io,event_id=72478590;market=Anytime Goalscorer
2026-09-19T13:56:21Z,2026-09-19T13:56:19Z,2026-09-19,,Bet365,Spain - LaLiga,Athletic Bilbao,Deportivo Alaves,1,2498,Aymeric Laporte,Aymeric Laporte,Athletic Club,Deportivo Alaves,DC,DC,9.0,0.111111,goalscorer_v1_roster_20260908,raw,confirmed_roster,0,0.102365,9.769,0.108,1.5045,0.0718,0.108,0.108,0.0,0.108,1.0,,0.0,0,0.0,0.0,0.92,recent_long,0.0,3.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,starter,confirmed_starter,fotmob_confirmed,confirmed_xi,Aymeric Laporte,T1,0.0,,85.0,DC,1,1.0,9,DEF,1,4-2-3-1,0,0,85.0,8,0.6303,0.0,0.0919,-0.6303,1.6357,1.2156,0.7432,1.2073,0.9536,-0.078716,-7.871,model,history,2457.0,high,monitor,no_action,,0.0,,,no_action,"history_resolver,confirmed_starter",Confirmed Lineup,odds_api_io,event_id=72478586;market=Anytime Goalscorer
