compared_at,captured_at,match_date,kickoff,bookmaker,competition,home_team,away_team,is_home,player_id,player_name,canonical_player_name,player_team,opponent,position,position_group,odds_decimal,implied_prob,model_p_atgs,model_fair_odds_atgs,model_lambda,team_expected_npxg,team_share,non_pen_lambda,base_non_pen_lambda,penalty_lambda,base_model_lambda,role_adjustment_factor,role_adjustment_reason,penalty_dependency_share,penalty_dependent,penalty_share,baseline_penalty_share,baseline_penalty_sample,baseline_penalty_source,career_player_penalties,career_team_penalties,career_penalty_share,penalty_evidence_share,penalty_evidence_sample,penalty_evidence_source,penalty_evidence_note,is_penalty_taker,penalty_role,penalty_share_prior,penalty_share_prior_weight,penalty_hierarchy_boost_xg,penalty_transfer,penalty_transfer_from,penalty_transfer_level,lineup_state,lineup_status,lineup_source,lineup_input,lineup_match_name,trust_tier,fixture_corruption_score,fixture_corruption_flags,minutes_estimate,usual_position,usual_position_score,usual_position_share_10,usual_position_matches_10,today_position_group,today_position_score,today_formation,position_change_score,position_upgrade,expected_minutes,recent_matches_8,recent_npxg_8,recent_np_goals_8,recent_npxg_per90_8,finishing_luck_8,last_fixture_avg_xga_3,next_opponent_xga,fixture_swing_3,attack_factor,opp_factor,ev,edge_pct,method,resolver_source,historical_minutes,signal_confidence,legacy_public_action,public_action,public_policy_reason,recommended_stake_units,recommended_stake_band,recommended_stake_label,shadow_action,confidence_reason,team_lineup_status,source,notes
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,2278,Jose Maria Gimenez,Jose Maria Gimenez,Atletico Madrid,Villarreal CF,DC,DC,12.0,0.083333,0.056641,17.6551,0.0583,1.4516,0.0402,0.0583,0.0583,0.0,0.0583,1.0,,0.0,0,0.0,0.0,1.52,recent_long,0.0,5.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,68.6,DC,1,1.0,8,,,,,0,68.6,8,0.8221,0.0,0.1386,-0.8221,1.328,1.3,0.9789,1.2956,1.0,-0.32031,-32.031,model,history,4470.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,6531,Alexander Sorloth,Alexander Sorloth,Atletico Madrid,Villarreal CF,Sub,Sub,2.0,0.5,0.272001,3.6765,0.3175,1.4516,0.2172,0.3153,0.3153,0.0022,0.3175,1.0,,0.0068,0,0.0399,0.0,1.51,recent_long,1.0,17.0,0.0588,0.0,0.0,,,1,tertiary,0.06,3.0,0.0022,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,61.9,FW,5,1.0,6,,,,,0,61.9,8,4.4042,3.0,0.8731,-1.4042,1.4338,1.3,0.9067,1.2956,1.0,-0.455997,-45.6,model,history,5928.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,10189,Marc Pubill,Marc Pubill,Atletico Madrid,Villarreal CF,DR,DR,8.5,0.117647,0.053897,18.5538,0.0554,1.4516,0.0382,0.0554,0.0554,0.0,0.0554,1.0,,0.0,0,0.0,0.0,1.17,recent_long,0.0,2.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,81.1,DC,1,0.75,8,,,,,0,81.1,8,0.7435,0.0,0.1036,-0.7435,1.4338,1.3,0.9067,1.2956,1.0,-0.541872,-54.187,model,history,3233.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,7086,David Hancko,David Hancko,Atletico Madrid,Villarreal CF,DC,DC,7.0,0.142857,0.065395,15.2918,0.0676,1.4516,0.0466,0.0676,0.0676,0.0,0.0676,1.0,,0.0,0,0.0,0.0,1.75,recent_long,0.0,4.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,86.9,DC,1,0.8889,9,,,,,0,86.9,8,0.917,0.0,0.1232,-0.917,1.4338,1.3,0.9067,1.2956,1.0,-0.542238,-54.224,model,history,2392.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,5556,Ademola Lookman,Ademola Lookman,Atletico Madrid,Villarreal CF,FW,FW,2.6,0.384615,0.172879,5.7844,0.1898,1.4516,0.0987,0.1432,0.1432,0.0466,0.1898,1.0,,0.2455,0,1.0,1.0,0.94,recent_long,1.0,1.0,1.0,0.0,0.0,,,0,none,0.0,0.0,0.0286,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,53.1,FW,5,0.5714,7,,,,,0,53.1,8,2.7729,2.0,0.6014,-0.7729,1.4338,1.3,0.9067,1.2956,1.0,-0.550515,-55.051,model,history,572.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,7074,Alfonso Gonzalez,Alfonso Gonzalez,Atletico Madrid,Villarreal CF,Sub,Sub,3.1,0.322581,0.119845,8.3441,0.1277,1.4516,0.0879,0.1277,0.1277,0.0,0.1277,1.0,,0.0,0,0.0,0.0,0.92,recent_long,0.0,3.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,56.4,ML,3,0.5,6,,,,,0,56.4,8,2.5736,4.0,0.4766,1.4264,1.6838,1.3,0.7721,1.2956,1.0,-0.628479,-62.848,model,history,1480.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,7074,Nicolas Gonzalez,Nicolas Gonzalez,Atletico Madrid,Villarreal CF,Sub,Sub,3.1,0.322581,0.119845,8.3441,0.1277,1.4516,0.0879,0.1277,0.1277,0.0,0.1277,1.0,,0.0,0,0.0,0.0,0.92,recent_long,0.0,3.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,56.4,ML,3,0.5,6,,,,,0,56.4,8,2.5736,4.0,0.4766,1.4264,1.6838,1.3,0.7721,1.2956,1.0,-0.628479,-62.848,model,history,1480.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,2518,Marcos Llorente,Marcos Llorente,Atletico Madrid,Villarreal CF,DR,DR,8.5,0.117647,0.038366,26.0648,0.0391,1.4516,0.027,0.0391,0.0391,0.0,0.0391,1.0,,0.0,0,0.0,0.0,2.29,recent_long,0.0,16.0,0.0,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,64.3,DR,1,0.6667,6,,,,,0,64.3,8,0.602,0.0,0.1131,-0.602,1.413,1.3,0.92,1.2956,1.0,-0.67389,-67.389,model,history,7195.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,9796,Giuliano Simeone,Giuliano Simeone,Atletico Madrid,Villarreal CF,MR,MR,4.75,0.210526,0.068437,14.612,0.0709,1.4516,0.0488,0.0709,0.0709,0.0,0.0709,1.0,,0.0,0,0.0,0.0,1.06,recent_long,1.0,15.0,0.0667,0.0,0.0,,,0,none,0.0,0.0,0.0,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,62.9,MR,3,0.8571,7,,,,,0,62.9,8,0.4304,1.0,0.0991,0.5696,1.691,1.3,0.7688,1.2956,1.0,-0.674924,-67.492,model,history,4707.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
2026-05-24T17:54:02Z,2026-05-24T17:53:58Z,2026-05-24,,Bet365,Spain - LaLiga,Villarreal CF,Atletico Madrid,0,2270,Antoine Griezmann,Antoine Griezmann,Atletico Madrid,Villarreal CF,FW,FW,2.75,0.363636,0.113318,8.8247,0.1203,1.4516,0.0799,0.116,0.116,0.0043,0.1203,1.0,,0.0355,0,0.0984,0.0,1.57,recent_long,6.0,15.0,0.4,0.0,0.0,,,1,secondary,0.15,3.0,0.0043,0,,,unknown,unknown,none,none,,T2,1.0,no_lineup_payload,49.4,FW,5,1.0,6,,,,,0,49.4,8,2.1184,1.0,0.4056,-1.1184,1.4338,1.3,0.9067,1.2956,1.0,-0.688376,-68.838,model,history,6537.0,medium,monitor,no_action,,0.0,,,no_action,"history_resolver,no_xi_yet,fixture_t2",,odds_api_io,event_id=61624692;market=Anytime Goalscorer
