season,competition,match_date,team,opponent,is_home,player_id,player_name,position,started,minutes,goals,assists,shots,shots_on_target,xg,npxg,xa,big_chances,big_chance_goals,big_chance_misses,big_chance_xg,penalties_scored,penalties_attempted,team_xg,team_xga
2025-2026,Ligue 1,2026-05-17,Marseille,Rennes,1,7490,Mason Greenwood,AMR,,90,0,1,3,,0.157047,0.157047,0.59049,0,0,0,0.0,0,0,3.90151,2.20696
2025-2026,Ligue 1,2026-05-10,Marseille,Le Havre,0,7490,Mason Greenwood,AMR,,88,1,0,2,,0.799291,0.039195,0.028106,0,0,0,0.0,1,1,1.03467,1.23305
2025-2026,Ligue 1,2026-05-03,Marseille,Nantes,0,7490,Mason Greenwood,AMR,,90,0,0,6,,0.353664,0.353664,0.08249,0,0,0,0.0,0,0,1.55164,3.07178
2025-2026,Ligue 1,2026-04-26,Marseille,Nice,1,7490,Mason Greenwood,Sub,,25,0,0,2,,0.035527,0.035527,0.155631,0,0,0,0.0,0,0,2.82843,1.41493
2025-2026,Ligue 1,2026-04-18,Marseille,Lorient,0,7490,Mason Greenwood,AMC,,90,0,0,2,,0.053393,0.053393,0.562104,0,0,0,0.0,0,0,2.13073,1.28628
2025-2026,Ligue 1,2026-04-10,Marseille,Metz,1,7490,Mason Greenwood,AMC,,85,0,2,5,,0.385433,0.385433,0.815412,0,0,0,0.0,0,0,3.31638,0.535052
2025-2026,Ligue 1,2026-03-22,Marseille,Lille,1,7490,Mason Greenwood,AMR,,17,0,0,1,,0.045873,0.045873,0.0,0,0,0,0.0,0,0,1.02929,1.61107
2025-2026,Ligue 1,2026-03-13,Marseille,Auxerre,1,7490,Mason Greenwood,AMR,,90,0,0,6,,0.310313,0.310313,0.102768,0,0,0,0.0,0,0,1.12898,0.293047
2025-2026,Ligue 1,2026-03-07,Marseille,Toulouse,0,7490,Mason Greenwood,FW,,68,1,0,2,,0.108106,0.108106,0.123121,0,0,0,0.0,0,0,1.3226,1.28713
2025-2026,Ligue 1,2026-03-01,Marseille,Lyon,1,7490,Mason Greenwood,AMR,,90,0,0,7,,0.434307,0.434307,0.021182,0,0,0,0.0,0,0,1.78764,1.78524
