date,kickoff,match,competition,player,team,opponent,signal_type,finishing_luck,fixture_swing,penalty_transfer,penalty_transfer_from,position_upgrade,lineup_state,model_p_atgs,model_fair_odds,best_bookmaker,best_bookmaker_odds,ev,confidence,compared_at,fotmob_match_id,player_id,market_player_name,home_team,away_team,position_group,position,historical_minutes,trust_tier,public_action,public_policy_reason,penalty_dependent,penalty_dependency_share,recommended_stake_units,recommended_stake_band,recommended_stake_label,super_sub_eligible_bookmaker,super_sub_checked,super_sub_replacement,super_sub_replacement_goals,settled,goals_scored,bet_outcome,settled_at,pnl_units,settlement_note
2026-04-17,2026-04-17T18:45:00Z,Racing Club De Lens vs Toulouse FC,France - Ligue 1,Emersonn Silva,Toulouse,Racing Club De Lens,public_pick,-0.3166,1.0292,0,,0,starter,0.218074,4.5856,Bet365,5.5000,0.199407,high,2026-04-17T18:33:48Z,,14082,Emersonn Silva,Racing Club De Lens,Toulouse FC,FW,FW,1310.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,,,,,1,0,lost,2026-04-18T00:04:03Z,-0.5000,played_did_not_score
2026-04-24,2026-04-24T18:45:00Z,Stade Brest 29 vs Racing Club De Lens,France - Ligue 1,Eric Ebimbe,Brest,Racing Club De Lens,public_pick,-0.2150,1.0133,0,,0,starter,0.289824,3.4504,Bet365,5.5000,0.594032,high,2026-04-24T18:13:49Z,,7562,Eric Ebimbe,Stade Brest 29,Racing Club De Lens,AMC,AMC,838.0,T1,surface,,0,0.0000,0.50,extended,0.50u Extended,,,,,1,1,won,2026-04-25T00:06:00Z,2.2500,scored_1_goals
2026-04-24,2026-04-24T18:45:00Z,Stade Brest 29 vs Racing Club De Lens,France - Ligue 1,Ludovic Ajorque,Brest,Racing Club De Lens,public_pick,2.3737,0.8980,0,,0,starter,0.374423,2.6708,Bet365,3.4000,0.273038,high,2026-04-24T18:13:49Z,,6905,Ludovic Ajorque,Stade Brest 29,Racing Club De Lens,FW,FW,4827.0,T1,surface,,0,0.0000,1.25,core,1.25u Core,,,,,1,0,lost,2026-04-25T00:06:00Z,-1.2500,played_did_not_score
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Lassine Sinayoko,Auxerre,Angers SCO,public_pick,-2.6762,1.0405,0,,0,starter,0.478429,2.0902,Bet365,2.4000,0.148230,high,2026-05-03T15:04:43Z,,10815,Lassine Sinayoko,AJ Auxerre,Angers SCO,FW,FW,4846.0,T1,surface,,0,0.1082,1.25,core,1.25u Core,,,,,1,1,won,2026-05-04T00:13:02Z,1.7500,scored_1_goals
2026-05-03,2026-05-03T15:15:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Mohamed Amine Sbai,Angers,AJ Auxerre,public_pick,-0.2949,0.9403,0,,0,starter,0.239952,4.1675,Bet365,6.0000,0.439712,high,2026-05-03T15:04:43Z,,14131,Mohamed Amine Sbai,AJ Auxerre,Angers SCO,FW,FW,1729.0,T1,surface,,0,0.2756,0.50,extended,0.50u Extended,,,,,1,0,lost,2026-05-04T00:13:02Z,-0.5000,played_did_not_score
2026-05-03,2026-05-03T15:15:00Z,Paris FC vs Stade Brest 29,France - Ligue 1,Marshall Munetsi,Paris FC,Stade Brest 29,public_pick,0.5523,1.3374,0,,0,starter,0.337446,2.9634,Bet365,3.6000,0.214806,high,2026-05-03T15:04:43Z,,7908,Marshall Munetsi,Paris FC,Stade Brest 29,AMC,AMC,4710.0,T1,surface,,0,0.0000,1.00,standard,1.00u Standard,,,,,1,0,lost,2026-05-04T00:13:02Z,-1.0000,played_did_not_score
2026-05-10,2026-05-10T19:00:00Z,AJ Auxerre vs OGC Nice,France - Ligue 1,Lassine Sinayoko,Auxerre,OGC Nice,public_pick,-2.1867,1.1936,0,,0,starter,0.498216,2.0072,Bet365,2.7500,0.370094,high,2026-05-10T19:07:54Z,,10815,Lassine Sinayoko,AJ Auxerre,OGC Nice,FWR,FWR,4936.0,T1,surface,,0,0.0984,1.25,core,1.25u Core,,,,,1,1,won,2026-05-11T01:24:19Z,2.1875,scored_1_goals
2026-05-17,2026-05-17T19:00:00Z,Stade Brest 29 vs Angers SCO,France - Ligue 1,Mohamed Amine Sbai,Angers,Stade Brest 29,public_pick,-0.3159,1.3568,0,,0,starter,0.239448,4.1763,Bet365,5.0000,0.197240,high,2026-05-17T19:19:46Z,,14131,Mohamed Amine Sbai,Stade Brest 29,Angers SCO,AML,AML,1775.0,T1,surface,,0,0.1646,1.00,standard,1.00u Standard,,,,,1,1,won,2026-05-18T01:42:55Z,4.0000,scored_1_goals
2026-08-22,2026-08-22T15:15:00Z,Racing Club De Lens vs AJ Auxerre,France - Ligue 1,Florian Thauvin,Lens,AJ Auxerre,public_pick,1.2958,0.9919,0,,0,starter,0.425560,2.3498,Bet365,2.6000,0.106456,high,2026-08-22T14:36:56Z,,942,Florian Thauvin,Racing Club De Lens,AJ Auxerre,AMC,AMC,2510.0,T1,surface,,0,0.0844,1.25,core,1.25u Core,,,,,1,2,won,2026-08-23T09:27:41Z,2.0000,scored_2_goals
2026-08-29,2026-08-29T18:45:00Z,AJ Auxerre vs Angers SCO,France - Ligue 1,Amine Sbai,Angers,AJ Auxerre,public_pick,-0.1457,1.3230,0,,0,starter,0.294301,3.3979,Bet365,4.5000,0.324354,high,2026-08-29T18:27:24Z,,14131,Amine Sbai,AJ Auxerre,Angers SCO,AML,AML,1955.0,T1,surface,,0,0.1176,1.00,standard,1.00u Standard,,,,,,,,,,
