team,squad_section,squad_status,squad_count,likely_primary,primary_callup_match,primary_squad_name,likely_secondary,secondary_callup_match,secondary_squad_name,squad_source_urls,squad_note
Algeria,Algeria,final_pending,0,Riyad Mahrez,no,,Mohamed Amoura,no,,https://www.algerie360.com/coupe-du-monde-2026-10-joueurs-locaux-dans-la-liste-elargie-de-petkovic/,Coach: Vladimir Petković Algeria will announce their final squad on May 31.
Argentina,Argentina,final_announced,26,Lionel Messi,yes,Lionel Messi,Julian Alvarez,yes,Julián Alvarez,https://www.afa.com.ar/es/posts/seleccion-mayor-prelista-de-convocados ; https://x.com/Argentina/status/2060120562366648376,Coach: Lionel Scaloni Argentina announced a 55-man preliminary squad on May 11. They announced their final squad on May 28.
Australia,Australia,final_pending,0,Martin Boyle,no,,Kusini Yengi,no,,https://footballaustralia.com.au/news/commbank-socceroos-commence-fifa-world-cup-2026tm-pre-camp-sarasota-florida,Coach: Tony Popovic Australia will announce their final squad on June 1.
Austria,Austria,final_announced,26,Marko Arnautovic,yes,Marko Arnautović,Marcel Sabitzer,yes,Marcel Sabitzer,https://www.oefb.at/oefb/News/Nationalteam-WM-Kader,Coach: Ralf Rangnick Austria announced their final squad on May 18.
Belgium,Belgium,final_announced,26,Kevin De Bruyne,yes,Kevin De Bruyne,Romelu Lukaku,yes,Romelu Lukaku,https://www.rbfa.be/en/news/26-red-devils-world-cup-squad,Coach: Rudi Garcia Belgium announced their final squad on May 15.
Bosnia and Herzegovina,Bosnia and Herzegovina,final_announced,26,Edin Dzeko,yes,Edin Džeko,Haris Tabakovic,yes,Haris Tabaković,https://www.nfsbih.ba/vijesti/nogomet-m/a-reprezentacija-m/sergej-barbarez-odabrao-igrace-za-svjetsko-prvenstvo/ ; https://www.nfsbih.ba/images/2026-D/005_maj/NFSBIH_Spisak_SP.pdf,Coach: Sergej Barbarez Bosnia and Herzegovina announced their final squad on May 11.
Brazil,Brazil,final_announced,26,Neymar,yes,Neymar,Raphinha,yes,Raphinha,https://ge.globo.com/futebol/futebol-internacional/noticia/2026/05/12/copa-do-mundo-veja-os-jogadores-que-estao-na-pre-lista-da-selecao-brasileira.ghtml ; https://www.itatiaia.com.br/esportes/futebol/selecao-brasileira/veja-nomes-na-pre-lista-da-selecao-brasileira-para-a-copa-do-mundo/ ; https://www.cbf.com.br/selecao-brasileira/noticias/selecao-masculina/a/carlo-ancelotti-convoca-os-26-jogadores-que-vao-tentar-o-hexa-na-copa-do-mundo ; https://www.cbf.com.br/selecao-brasileira/noticias/selecao-masculina/a/confira-a-numeracao-do-brasil-para-a-copa-do-mundo-2026,Coach: Carlo Ancelotti Brazil announced a 55-man preliminary squad on May 12. Their final squad was announced on May 18.
Cabo Verde,Cape Verde,final_announced,26,Ryan Mendes,yes,Ryan Mendes,Jovane Cabral,yes,Jovane Cabral,https://fcf.cv/convocados-para-o-mundial-2026/,Coach: Bubista Cape Verde announced their final squad on May 18.
Canada,Canada,final_announced,26,Jonathan David,yes,Jonathan David,Cyle Larin,yes,Cyle Larin,https://news.canadasoccer.com/canmnt-charlotte-training-camp-squad-named-ahead-of-fifa-world-cup-2026 ; https://news.canadasoccer.com/canada-soccer-announces-canmnt-squad-for-fifa-world-cup-2026,Coach: Jesse Marsch Canada announced a 32-man preliminary squad on May 25. Their final squad was announced on May 29.
Colombia,Colombia,final_announced,26,James Rodriguez,yes,James Rodríguez,Luis Diaz,yes,"[[Luis Díaz (footballer, born 1997)",https://www.fcf.com.co/2026/05/14/seleccion-colombia-masculina-de-mayores-lista-previa-de-convocados-para-la-copa-mundial-de-la-fifa-2026/ ; https://www.fcf.com.co/2026/05/25/convocatoria-de-la-seleccion-colombia-masculina-de-mayores-para-la-copa-mundial-de-la-fifa-2026/,Coach: Néstor Lorenzo Colombia announced a 55-man preliminary squad on May 14. Their final squad was announced on May 25.
