scraped_at,date,player_name,player_slug,tournament,reason,source
2026-03-13T11:00:57Z,2026-03-13,Nicod J.,nicod,Futures 2026,walkover,injured
2026-03-13T11:00:57Z,2026-03-13,Cazaux A.,cazaux,Phoenix challenger,walkover,injured
2026-03-13T11:00:57Z,2026-03-12,Kubler J.,kubler-21879,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Vasser O.,vasser,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Rodriguez Taverna S.,rodriguez-taverna,Santiago challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Cigarran T.,cigarran,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Ito A.,ito-dabf4,Monastir 26 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Hobgarski K.,hobgarski,Heraklion 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Dunne K.,dunne-7c15f,Sharm El Sheikh 7 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Cuenin S.,cuenin,Kigali 2 challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Virgili Berini F.,virgili-berini,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Bennani K.,bennani-6d932,Futures 2026,walkover,injured
2026-03-13T11:00:57Z,2026-03-12,Senic N.,senic,Heraklion 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Serafini M.,serafini-1e863,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Kuharenko P.,kuharenko,Maanshan 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Palan D.,palan,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Te R.,te,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-12,Kartal S.,kartal,Indian Wells,retired,injured
2026-03-13T11:00:57Z,2026-03-11,Baadi T.,baadi,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-11,Minighini D.,minighini,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-11,Guo M.,guo-255e4,Maanshan 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-11,Jang S.,jang-11db2,Maanshan 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-11,Wang J.,wang-010e0,Maanshan 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-11,Moriya H.,moriya,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-10,Heide G.,heide-17a3d,Santiago challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-10,Mujakic A.,mujakic,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-10,Zhu L.,zhu-a98e2,Kyoto 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-09,Ymer E.,ymer,Phoenix challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-09,Barrena A.,barrena-f6642,Santiago challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-09,Dalla Valle E.,dalla-valle,Kigali 2 challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-09,Gasanova A.,gasanova,Antalya 3 WTA,retired,injured
2026-03-13T11:00:57Z,2026-03-09,Gauff C.,gauff,Indian Wells,retired,injured
2026-03-13T11:00:57Z,2026-03-08,Vasiliauskas M.,vasiliauskas,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-08,Parrizas-Diaz N.,parrizas-diaz,Antalya 3 WTA,retired,injured
2026-03-13T11:00:57Z,2026-03-08,Gao X.,gao-5c222,Helsinki ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-08,Sun Z.,sun-00a62,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-08,Hurrion M.,hurrion,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-08,Astakhova D.,astakhova,Heraklion ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-08,Cerundolo J.,cerundolo-08df6,Indian Wells,walkover,injured
2026-03-13T11:00:57Z,2026-03-06,Prizmic D.,prizmic,Indian Wells,retired,injured
2026-03-13T11:00:57Z,2026-03-06,Rehberg M.,rehberg-2d8d7,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-06,Korneeva A.,korneeva-a635d,Trnava 2 ITF,walkover,injured
2026-03-13T11:00:57Z,2026-03-06,Sramkova R.,sramkova-86855,Indian Wells,retired,injured
2026-03-13T11:00:57Z,2026-03-05,Kym J.,kym,Kigali challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Altmaier D.,altmaier,Indian Wells,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Zeppieri G.,zeppieri,Thionville challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Bush T.,bush-6e226,Hagetmau ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Mikrut L.,mikrut,Kigali challenger,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Lodikova D.,lodikova,Antalya 8 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Palicova B.,palicova,Trnava 2 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Cretu C.,cretu-93488,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Slump S.,slump,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Wessels L.,wessels-3ac5c,Futures 2026,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Mair L.,mair-38859,Helsinki ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Milic E.,milic-76965,Sharm El Sheikh 6 ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-04,Vickery S.,vickery,Launceston ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-03,Timofeeva M.,timofeeva-3f1c4,Indian Wells,retired,injured
2026-03-13T11:00:57Z,2026-03-03,Poling L.,poling-d9701,Trois-Rivieres ITF,retired,injured
2026-03-13T11:00:57Z,2026-03-03,Grenier H.,grenier-baaf0,Thionville challenger,retired,injured
