venue_key,venue_name,lat,lon,altitude_m,source
am_rothenbaum_hamburg,Am Rothenbaum Hamburg,53.573,9.991,8.0,manual:venue_geo_reference
bastad_tennis_stadium,Bastad Tennis Stadium,56.433,12.837,5.0,manual:venue_geo_reference
buenos_aires_lawn_tennis_club,Buenos Aires Lawn Tennis Club,-34.5697,-58.4358,25.0,manual:venue_geo_reference
club_deportivo_uc_san_carlos,Club Deportivo Universidad Catolica San Carlos,-33.394,-70.504,670.0,manual:venue_geo_reference
clube_tenis_estoril,Clube de Tenis do Estoril,38.707,-9.394,60.0,manual:venue_geo_reference
foro_italico_rome,Foro Italico Rome,41.9299,12.4563,20.0,manual:venue_geo_reference
jockey_club_brasileiro_rio,Jockey Club Brasileiro Rio de Janeiro,-22.971,-43.224,5.0,manual:venue_geo_reference
madrid_caja_magica,Caja Magica Madrid,40.4155,-3.6691,660.0,manual:venue_geo_reference
monte_carlo_country_club,Monte Carlo Country Club,43.7517,7.4408,50.0,manual:venue_geo_reference
mtc_iphitos_munich,MTTC Iphitos Munich,48.18,11.603,520.0,manual:venue_geo_reference
nastase_marica_sports_club_bucharest,Nastase & Marica Sports Club Bucharest,44.452,26.076,85.0,manual:venue_geo_reference
national_tennis_center_banja_luka,National Tennis Center Banja Luka,44.776,17.199,165.0,manual:venue_geo_reference
novak_tennis_center_belgrade,Novak Tennis Center Belgrade,44.823,20.457,90.0,manual:venue_geo_reference
parc_tete_or_lyon,Parc de la Tete d'Or Lyon,45.777,4.852,175.0,manual:venue_geo_reference
polo_deportivo_kempes_cordoba,Polo Deportivo Kempes Cordoba,-31.368,-64.246,430.0,manual:venue_geo_reference
real_club_tenis_barcelona,Real Club de Tenis Barcelona,41.393,2.117,90.0,manual:venue_geo_reference
river_oaks_houston,River Oaks Country Club Houston,29.751,-95.43,20.0,manual:venue_geo_reference
roland_garros_paris,Stade Roland Garros Paris,48.847,2.249,35.0,manual:venue_geo_reference
roy_emerson_arena_gstaad,Roy Emerson Arena Gstaad,46.474,7.286,1050.0,manual:venue_geo_reference
royal_tennis_club_marrakech,Royal Tennis Club de Marrakech,31.634,-8.01,460.0,manual:venue_geo_reference
stella_maris_umag,Stella Maris ATP Stadium Umag,45.447,13.518,5.0,manual:venue_geo_reference
tennis_club_geneve,Tennis Club de Geneve,46.208,6.166,375.0,manual:venue_geo_reference
tennisstadion_kitzbuhel,Tennisstadion Kitzbuhel,47.447,12.392,762.0,manual:venue_geo_reference
