player_id,plays
1,"Right-Handed, One-Handed Backhand"
2,"Right-Handed, Two-Handed Backhand"
3,"Right-Handed, Two-Handed Backhand"
4,"Right-Handed, One-Handed Backhand"
5,"Right-Handed, Two-Handed Backhand"
6,"Right-Handed, Two-Handed Backhand"
7,"Right-Handed, Two-Handed Backhand"
8,"Right-Handed, One-Handed Backhand"
9,"Right-Handed, One-Handed Backhand"
10,"Right-Handed, Two-Handed Backhand"
11,"Right-Handed, One-Handed Backhand"
12,"Right-Handed, Two-Handed Backhand"
13,"Right-Handed, Two-Handed Backhand"
14,"Right-Handed, Two-Handed Backhand"
15,"Right-Handed, Unknown Backhand"
16,"Right-Handed, One-Handed Backhand"
17,"Left-Handed, One-Handed Backhand"
18,"Right-Handed, Two-Handed Backhand"
19,"Right-Handed, One-Handed Backhand"
20,"Right-Handed, Two-Handed Backhand"
21,"Right-Handed, Unknown Backhand"
22,"Right-Handed, One-Handed Backhand"
23,"Right-Handed, Two-Handed Backhand"
24,"Right-Handed, Two-Handed Backhand"
25,"Left-Handed, Two-Handed Backhand"
26,"Right-Handed, Unknown Backhand"
27,"Left-Handed, Unknown Backhand"
28,"Right-Handed, Unknown Backhand"
29,"Right-Handed, One-Handed Backhand"
30,"Right-Handed, Two-Handed Backhand"
31,"Right-Handed, Two-Handed Backhand"
32,"Right-Handed, Two-Handed Backhand"
33,"Left-Handed, Unknown Backhand"
34,"Right-Handed, Unknown Backhand"
35,"Right-Handed, Two-Handed Backhand"
36,"Right-Handed, One-Handed Backhand"
37,"Right-Handed, Two-Handed Backhand"
38,"Right-Handed, Two-Handed Backhand"
39,"Right-Handed, Unknown Backhand"
40,"Right-Handed, One-Handed Backhand"
41,"Right-Handed, One-Handed Backhand"
42,"Right-Handed, One-Handed Backhand"
43,"Right-Handed, One-Handed Backhand"
44,"Right-Handed, Unknown Backhand"
45,"Right-Handed, Two-Handed Backhand"
46,"Right-Handed, Two-Handed Backhand"
47,"Right-Handed, Two-Handed Backhand"
48,"Left-Handed, Unknown Backhand"
49,"Right-Handed, One-Handed Backhand"
50,"Right-Handed, Unknown Backhand"
51,"Left-Handed, Unknown Backhand"
52,"Left-Handed, Unknown Backhand"
53,"Right-Handed, Two-Handed Backhand"
54,"Right-Handed, Two-Handed Backhand"
55,"Right-Handed, Unknown Backhand"
56,"Right-Handed, One-Handed Backhand"
57,"Left-Handed, One-Handed Backhand"
58,"Left-Handed, Unknown Backhand"
59,"Right-Handed, One-Handed Backhand"
60,"Right-Handed, Unknown Backhand"
61,"Right-Handed, Unknown Backhand"
62,"Right-Handed, Unknown Backhand"
63,"Right-Handed, Unknown Backhand"
64,"Left-Handed, One-Handed Backhand"
65,"Right-Handed, Two-Handed Backhand"
66,"Right-Handed, Two-Handed Backhand"
