id,name,birthdate,country,atp_rank,points,hard_points,clay_points,grass_points
1,Gustavo Kuerten,1976-09-10,BRA,,,,,
2,Marat Safin,1980-01-27,RUS,,,,,
3,Andre Agassi,1970-04-29,USA,,,,,
4,Pete Sampras,1971-08-12,USA,,,,,
5,Magnus Norman,1976-05-30,SWE,,,,,
6,Yevgeny Kafelnikov,1974-02-18,RUS,,,,,
7,Lleyton Hewitt,1981-02-24,AUS,,,,,
8,Patrick Rafter,1972-12-28,AUS,,,,,
9,Tim Henman,1974-09-06,GBR,,,,,
10,Juan Carlos Ferrero,1980-02-12,ESP,,,,,
11,Alex Corretja,1974-04-11,ESP,,,,,
12,Arnaud Clement,1977-12-17,FRA,,,,,
13,Sebastien Grosjean,1978-05-29,FRA,,,,,
14,Thomas Enqvist,1974-03-13,SWE,,,,,
15,Jan-Michael Gambill,1977-06-03,USA,,,,,
16,Mark Philippoussis,1976-11-07,AUS,,,,,
17,Franco Squillari,1975-08-22,ARG,,,,,
18,Dominik Hrbaty,1978-01-04,SVK,,,,,
19,Roger Federer,1981-08-08,SUI,,,,,
20,Wayne Ferreira,1971-09-15,RSA,,,,,
21,Andrei Pavel,1974-01-27,ROU,,,,,
22,Tommy Haas,1978-04-03,GER,,,,,
23,Thomas Johansson,1975-03-24,SWE,,,,,
24,Carlos Moya,1976-08-27,ESP,,,,,
25,Marcelo Rios,1975-12-26,CHI,,,,,
26,Vladimir Voltchkov,1978-04-07,BLR,,,,,
27,Hicham Arazi,1973-10-19,MAR,,,,,
28,David Prinosil,1973-03-09,GER,,,,,
29,Sjeng Schalken,1976-09-08,NED,,,,,
30,Guillermo Coria,1982-01-13,ARG,,,,,
31,Todd Martin,1970-07-08,USA,,,,,
32,Michael Chang,1972-02-22,USA,,,,,
33,Francisco Clavet,1968-10-24,ESP,,,,,
34,Nicolas Escude,1976-04-03,FRA,,,,,
35,Jonas Bjorkman,1972-03-23,SWE,,,,,
36,Gaston Gaudio,1978-12-09,ARG,,,,,
37,Nicolas Kiefer,1977-07-05,GER,,,,,
38,Nicolas Lapentti,1976-08-13,ECU,,,,,
39,Cedric Pioline,1969-06-15,FRA,,,,,
40,Albert Costa,1975-06-25,ESP,,,,,
41,Fernando Vicente,1977-03-08,ESP,,,,,
42,Richard Krajicek,1971-12-06,NED,,,,,
43,Max Mirnyi,1977-07-06,BLR,,,,,
44,Bohdan Ulihrach,1975-02-23,CZE,,,,,
45,Fabrice Santoro,1972-12-09,FRA,,,,,
46,Albert Portas,1973-11-15,ESP,,,,,
47,Rainer Schuettler,1976-04-25,GER,,,,,
48,Greg Rusedski,1973-09-06,GBR,,,,,
49,Alex Calatrava,1973-06-14,ESP,,,,,
50,Harel Levy,1978-08-05,ISR,,,,,
51,Gianluca Pozzi,1965-06-17,ITA,,,,,
52,Andreas Vinciguerra,1981-02-19,SWE,,,,,
53,Younes El Aynaoui,1971-09-12,MAR,,,,,
54,Davide Sanguinetti,1972-08-25,ITA,,,,,
55,Andrew Ilie,1976-04-18,AUS,,,,,
56,Alberto Martin,1978-08-20,ESP,,,,,
57,Mariano Puerta,1978-09-19,ARG,,,,,
58,Jerome Golmard,1973-09-09,FRA,,,,,
59,Arnaud Di Pasquale,1979-02-11,FRA,,,,,
60,Andrei Medvedev,1974-08-31,UKR,,,,,
61,Byron Black,1969-10-06,ZIM,,,,,
62,Marc Rosset,1970-11-07,SUI,,,,,
63,Juan-Manuel Balcells,1975-06-20,ESP,,,,,
64,Wayne Arthurs,1971-03-18,AUS,,,,,
65,Michal Tabara,1979-08-11,CZE,,,,,
66,Jiri Novak,1975-03-22,CZE,,,,,
67,Magnus Gustafsson,1967-01-03,SWE,,,,,
68,Nicolas Massu,1979-10-10,CHI,,,,,
69,Galo Blanco,1976-10-08,ESP,,,,,
70,Sergio Bruguera,1971-01-16,ESP,,,,,
71,Ivan Ljubicic,1979-03-19,CRO,,,,,
72,Olivier Rochus,1981-01-18,BEL,,,,,
73,Julien Boutter,1974-04-05,FRA,,,,,
74,Mariano Zabaleta,1978-02-28,ARG,,,,,
75,Mikhail Youzhny,1982-06-25,RUS,,,,,
76,Agustin Calleri,1976-09-14,ARG,,,,,
77,Michel Kratochvil,1979-04-07,SUI,,,,,
78,Xavier Malisse,1980-07-19,BEL,,,,,
79,Hyung-Taik Lee,1976-01-03,KOR,,,,,
80,David Sanchez-Munoz,1978-04-20,ESP,,,,,
81,Jason Stoltenberg,1970-04-04,AUS,,,,,
82,Jan Siemerink,1970-04-14,NED,,,,,
83,Jose Acasuso,1982-10-20,ARG,,,,,
84,Tommy Robredo,1982-05-01,ESP,,,,,
85,Guillermo Canas,1977-11-25,ARG,,,,,
86,Felix Mantilla,1974-09-23,ESP,,,,,
87,Karol Kucera,1974-03-04,SVK,,,,,
88,Markus Hipfl,1978-04-26,AUT,,,,,
89,Andy Roddick,1982-08-30,USA,,,,,
90,Christophe Rochus,1978-12-15,BEL,,,,,
91,Antony Dupuis,1973-02-24,FRA,,,,,
92,Stefan Koubek,1977-01-02,AUT,,,,,
93,Chris Woodruff,1973-01-02,USA,,,,,
94,Andrei Stoliarov,1977-01-09,RUS,,,,,
95,Alexander Popp,1976-11-04,GER,,,,,
96,Jens Knippschild,1975-02-15,GER,,,,,
97,Paul Goldstein,1976-08-04,USA,,,,,
98,Jiri Vanek,1978-04-24,CZE,,,,,
99,Lars Burgsmuller,1975-12-06,GER,,,,,
100,Fernando Meligeni,1971-04-12,BRA,,,,,
101,Juan-Albert Viloca-Puig,1973-01-17,ESP,,,,,
102,Grant Stafford,1971-05-27,RSA,,,,,
103,Alex Radulescu,1974-12-07,GER,,,,,
104,Jim Courier,1970-08-17,USA,,,,,
105,Scott Draper,1974-06-05,AUS,,,,,
106,Sargis Sargsian,1973-06-03,ARM,,,,,
107,Brett Steven,1969-04-27,NZL,,,,,
108,Martin Damm (1972),1972-08-01,CZE,,,,,
109,Lionel Roux,1973-04-12,FRA,,,,,
110,Kenneth Carlsen,1973-04-17,DEN,,,,,
111,Juan-Antonio Marin,1975-03-02,CRC,,,,,
112,Christian Ruud,1972-08-24,NOR,,,,,
113,Dirk Dier,1972-02-16,GER,,,,,
114,Richard Fromberg,1970-04-28,AUS,,,,,
115,Todd Woodbridge,1971-04-02,AUS,,,,,
116,Vince Spadea,1974-07-19,USA,,,,,
117,Slava Dosedel,1970-08-14,CZE,,,,,
118,Andrea Gaudenzi,1973-07-30,ITA,,,,,
119,Mark Woodforde,1965-09-23,AUS,,,,,
120,Bernd Karbacher,1968-04-03,GER,,,,,
121,Tomas Nydahl,1968-03-21,SWE,,,,,
122,Julian Alonso-Pintor,1977-08-02,ESP,,,,,
123,Oscar Burrieza-Lopez,1975-07-22,ESP,,,,,
124,Martin Sinner,1968-02-07,GER,,,,,
125,Sultan Khalfan Al Alawi,1977-03-16,QAT,,,,,
126,Petr Korda,1968-01-23,CZE,,,,,
127,Daniel Vacek,1971-04-01,CZE,,,,,
128,Olivier Delaitre,1967-06-01,FRA,,,,,
129,Richey Reneberg,1965-10-05,USA,,,,,
130,Guillaume Raoux,1970-02-14,FRA,,,,,
131,Javier Sanchez,1968-02-01,ESP,,,,,
132,Magnus Larsson,1970-03-25,SWE,,,,,
133,Jan Kroslak,1974-10-17,SVK,,,,,
134,Carlos Costa,1968-04-22,ESP,,,,,
135,Filip De Wulf,1972-03-15,BEL,,,,,
136,Jeff Tarango,1968-11-20,USA,,,,,
137,Marc-Kevin Goellner,1970-09-22,GER,,,,,
138,Karim Alami,1973-05-24,MAR,,,,,
139,Goran Ivanisevic,1971-09-13,CRO,,,,,
140,Johan Van Herck,1974-05-24,BEL,,,,,
141,Mikael Tillstrom,1972-03-05,SWE,,,,,
142,Michael Sell,1972-08-23,USA,,,,,
143,Teo Susnjak,1977-07-23,NZL,,,,,
144,Brian MacPhie,1972-05-11,USA,,,,,
145,Glenn Weiner,1976-04-27,USA,,,,,
146,Christian Vinck,1975-09-03,GER,,,,,
147,MaliVai Washington,1969-06-20,USA,,,,,
148,Marcelo Filippini,1967-08-04,URU,,,,,
149,Alistair Hunt,1972-11-11,NZL,,,,,
150,Mark Nielsen,1977-10-08,NZL,,,,,
151,Michael Tebbutt,1970-12-22,AUS,,,,,
152,Dick Norman,1971-03-01,BEL,,,,,
153,Hendrik Dreekmann,1975-01-29,GER,,,,,
154,Alberto Berasategui,1973-06-28,ESP,,,,,
155,Allen Belobrajdic,1976-09-18,AUS,,,,,
156,Peter Tramacchi,1970-11-08,AUS,,,,,
157,Todd Larkham,1974-10-13,AUS,,,,,
158,Leander Paes,1973-06-17,IND,,,,,
159,Daniel Nestor,1972-09-04,CAN,,,,,
160,Gilbert Schaller,1969-03-17,AUT,,,,,
161,Radomir Vasek,1972-09-23,CZE,,,,,
162,Arnaud Boetsch,1969-04-01,FRA,,,,,
163,Dennis Van Scheppingen,1975-07-05,NED,,,,,
164,David Wheaton,1969-06-02,USA,,,,,
165,Marcello Craca,1974-10-27,GER,,,,,
166,Jacobo Diaz-Ruiz,1976-07-11,ESP,,,,,
167,Marcos Ondruska,1972-12-18,RSA,,,,,
168,Christophe Van Garsse,1974-06-21,BEL,,,,,
169,David Witt,1973-06-02,USA,,,,,
170,Jonathan Stark,1971-04-03,USA,,,,,
171,Jurek Stasiak,1978-04-23,AUS,,,,,
172,Jordi Burillo,1972-12-07,ESP,,,,,
173,Lucas Arnold-Ker,1974-10-12,ARG,,,,,
174,Alex O'Brien,1970-03-07,USA,,,,,
175,Steve Campbell,1970-10-22,USA,,,,,
176,Justin Gimelstob,1977-01-26,USA,,,,,
177,Emilio Benfele-Alvarez,1972-11-15,ESP,,,,,
178,Sandon Stolle,1970-07-13,AUS,,,,,
179,Thomas Muster,1967-10-02,AUT,,,,,
180,Jan Apell,1969-11-04,SWE,,,,,
181,Renzo Furlan,1970-05-17,ITA,,,,,
182,Marzio Martelli,1971-12-14,ITA,,,,,
183,Dinu-Mihai Pescariu,1974-04-12,ROU,,,,,
184,Karsten Braasch,1967-07-14,GER,,,,,
185,Luke Smith,1976-10-25,AUS,,,,,
186,Mark Knowles,1971-09-04,BAH,,,,,
187,Grant Doyle,1974-01-09,AUS,,,,,
188,Jaime Oncins,1970-06-16,BRA,,,,,
189,Adrian Voinea,1974-08-06,ROU,,,,,
190,Andrei Chesnokov,1966-02-02,RUS,,,,,
191,Gerard Solves,1968-04-07,FRA,,,,,
192,Patrick Baur,1965-05-03,GER,,,,,
193,Joaquin Munoz-Hernandez,1975-01-04,ESP,,,,,
194,Ionut Moldovan,1978-01-17,ROU,,,,,
195,Steve Bryan,1970-08-10,USA,,,,,
196,Hernan Gumy,1972-03-05,ARG,,,,,
197,Julien Chauvin,1975-04-17,FRA,,,,,
198,Gaston Etlis,1974-11-04,ARG,,,,,
200,Mounir El Aarej,1977-06-16,MAR,,,,,
201,Lars Jonsson,1970-06-27,SWE,,,,,
202,Patrick McEnroe,1966-07-01,USA,,,,,
203,Tomas Carbonell,1968-08-07,ESP,,,,,
204,Jozsef Krocsko,1968-04-20,HUN,,,,,
205,David Skoch,1976-11-06,CZE,,,,,
206,Bernardo Mota,1971-06-14,POR,,,,,
207,Marcos-Aurelio Gorriz-Bonhora,1964-03-04,ESP,,,,,
208,Omar Camporese,1968-05-08,ITA,,,,,
209,Oliver Gross,1973-06-17,GER,,,,,
211,Gerald Mandl,1970-11-12,AUT,,,,,
212,Ramon Delgado,1976-11-14,PAR,,,,,
213,Daniel Orsanic,1968-06-11,ARG,,,,,
214,Carsten Arriens,1969-04-11,GER,,,,,
215,Andrei Olhovskiy,1966-04-15,RUS,,,,,
216,Yasufumi Yamamoto,1971-05-03,JPN,,,,,
217,Jeff Salzenstein,1973-10-14,USA,,,,,
218,Boris Becker,1967-11-22,GER,,,,,
219,Sebastien Lareau,1973-04-27,CAN,,,,,
220,Mark Petchey,1970-08-01,GBR,,,,,
221,Tomas Behrend,1974-12-12,GER,,,,,
222,Roberto Carretero-Diaz,1975-08-30,ESP,,,,,
223,Nicklas Kulti,1971-04-22,SWE,,,,,
224,Paul Haarhuis,1966-02-19,NED,,,,,
225,Diego Nargiso,1970-03-15,ITA,,,,,
226,Mahesh Bhupathi,1974-06-07,IND,,,,,
227,Javier Frana,1966-12-25,ARG,,,,,
228,Pat Cash,1965-05-27,AUS,,,,,
229,Luke Jensen,1966-06-18,USA,,,,,
230,Luis-Enrique Herrera,1971-08-27,MEX,,,,,
231,Stephane Simian,1967-06-08,FRA,,,,,
232,Fernon Wibier,1971-02-25,NED,,,,,
233,Bobby Kokavec,1976-05-17,CAN,,,,,
234,Doug Flach,1970-08-10,USA,,,,,
235,Tommy Ho,1973-06-17,USA,,,,,
236,Nuno Marques,1970-04-09,POR,,,,,
237,Danny Sapsford,1969-04-03,GBR,,,,,
238,Petr Luxa,1972-03-03,CZE,,,,,
239,Wayne Black,1973-11-14,ZIM,,,,,
240,Orlin Stanoytchev,1971-09-24,BUL,,,,,
241,Neville Godwin,1975-01-31,RSA,,,,,
242,Diego Lozano-Villalba,1973-05-21,ESP,,,,,
243,Francisco Roig,1968-04-01,ESP,,,,,
244,Frederic Fontang,1970-03-18,FRA,,,,,
245,David Caldwell,1974-06-13,USA,,,,,
246,Michael Stich,1968-10-18,GER,,,,,
247,Gabriel Silberstein,1974-10-17,CHI,,,,,
248,Andrey Merinov,1971-06-23,RUS,,,,,
249,Kevin Ullyett,1972-05-23,ZIM,,,,,
250,Emilio Sanchez,1965-05-29,ESP,,,,,
251,Davide Scala,1972-01-02,ITA,,,,,
252,Alejandro Hernandez,1977-10-01,MEX,,,,,
253,David Caballero-Garcia,1974-11-14,ESP,,,,,
254,Francisco Cabello,1972-12-06,ARG,,,,,
255,Ben Ellwood,1976-03-12,AUS,,,,,
256,Cecil Mamiit,1976-06-27,PHI,,,,,
257,Cristiano Caratti,1970-05-24,ITA,,,,,
258,Eyal Erlich,1977-01-01,ISR,,,,,
259,Jacco Eltingh,1970-08-29,NED,,,,,
260,Thomas Larsen,1975-07-15,DEN,,,,,
261,Roberto Jabali,1970-05-16,BRA,,,,,
262,Albert Chang,1971-02-27,CAN,,,,,
263,Tuomas Ketola,1975-02-21,FIN,,,,,
264,Thierry Champion,1966-08-31,FRA,,,,,
265,Stephane Huet,1971-04-25,FRA,,,,,
266,Marcelo Charpentier,1973-07-11,ARG,,,,,
267,Mike Bryan,1978-04-29,USA,,,,,
268,Kris Goossens,1974-02-20,BEL,,,,,
269,Mashiska Washington,1974-12-19,USA,,,,,
270,Mark Merklein,1972-06-28,BAH,,,,,
271,Melvin Tong,1975-02-19,HKG,,,,,
272,Rodolphe Gilbert,1968-12-12,FRA,,,,,
273,Michael Joyce,1973-02-01,USA,,,,,
274,Patrik Fredriksson,1973-05-16,SWE,,,,,
275,Andrei Cherkasov,1970-07-04,RUS,,,,,
276,Oren Motevassel,1967-08-26,USA,,,,,
277,Libor Nemecek,1968-10-26,CZE,,,,,
278,Andre Sa,1977-05-06,BRA,,,,,
279,Luke Milligan,1976-08-06,GBR,,,,,
280,Martin Lee,1978-01-13,GBR,,,,,
