tour_id,player1_id,player2_id,round_id,draw,result
21509,126711,126712,4,1,6-0 7-6(4)
21509,49311,88519,4,2,6-4 6-3
21509,39803,126871,4,3,7-6(5) 6-4
21509,126872,123804,4,4,6-3 3-6 10-7
21509,121056,79668,4,5,7-5 6-1
21509,126717,126873,4,6,6-4 6-2
21509,126715,90999,4,7,6-2 6-2
21509,126874,126714,4,8,1-6 6-3 10-5
21509,126711,49311,9,1,6-4 6-2
21509,126872,39803,9,2,6-2 6-7(4) 10-8
21509,121056,126717,9,3,3-6 6-2 10-4
21509,126715,126874,9,4,6-3 6-4
21509,126711,126872,10,1,
21509,121056,126715,10,2,
21509,3699,3699,12,1,
21507,126875,89135,4,1,1-6 2-5 ret.
21507,126876,123528,4,2,7-6(4) 6-2
21507,95320,126877,4,3,7-6(6) 6-4
21507,83392,121014,4,4,6-3 6-3
21507,126879,126878,4,5,2-6 6-3 10-7
21507,124187,126880,4,6,6-4 6-4
21507,99065,124309,4,7,7-6(4) 7-6(8)
21507,126882,74296,4,8,7-5 5-7 11-9
21507,126875,126876,9,1,6-3 4-6 10-7
21507,83392,95320,9,2,6-1 6-2
21507,126879,124187,9,3,6-3 6-4
21507,99065,126882,9,4,7-5 2-6 10-7
21507,126875,83392,10,1,
21507,126879,99065,10,2,
21507,3699,3699,12,1,
21538,14745,126883,4,1,6-1 6-0
21538,8089,27218,4,2,6-2 6-4
21538,112846,108598,4,3,7-6(11) 6-3
21538,109465,36211,4,4,7-5 0-6 6-4
21538,26965,92334,4,5,7-5 6-2
21538,115923,126884,4,6,6-4 6-3
21538,57772,91178,4,7,6-3 3-6 6-2
21538,68624,38846,4,8,6-4 7-6(3)
21538,26960,117348,4,9,6-0 6-0
21538,102670,92460,4,10,6-3 6-3
21538,95868,122941,4,11,1-6 6-2 7-5
21538,50146,30211,4,12,6-2 2-6 7-6(3)
21538,35979,11521,4,13,7-5 4-6 5-1 ret.
21538,27478,116565,4,14,6-4 6-4
21538,126844,114361,4,15,6-0 6-3
21538,45979,99748,4,16,6-3 6-1
21538,14745,8089,5,1,6-2 6-1
21538,112846,109465,5,2,6-7(5) 6-1 6-3
21538,26965,115923,5,3,6-4 6-2
21544,69574,108311,4,1,6-2 6-0
21544,95901,61094,4,2,6-4 6-2
21544,111612,99304,4,3,6-1 6-3
21544,44538,103365,4,4,6-3 6-0
21544,64915,126807,4,5,6-3 6-2
21544,40177,82984,4,6,6-4 6-4
21544,31320,79440,4,7,7-6(4) 4-6 7-6(4)
21544,64258,40369,4,8,7-6(2) 6-3
21544,29800,99285,4,9,3-6 6-3 6-3
21544,95691,33367,4,10,7-6(4) 4-2 ret.
21544,107067,69687,4,11,6-3 3-6 7-6(6)
21544,96765,59003,4,12,6-0 6-0
21544,80203,51046,4,13,6-3 2-0 ret.
21544,95331,30894,4,14,6-3 7-6(3)
21544,102640,108622,4,15,6-4 6-4
21544,50848,99126,4,16,6-2 6-4
21544,69574,95901,5,1,1-0 ret.
21544,44538,111612,5,2,6-3 6-4
21544,64915,40177,5,3,6-4 6-4
21544,64258,31320,5,4,1-6 6-3 7-5
21544,29800,95691,5,5,6-1 6-2
21544,96765,107067,5,6,6-3 6-4
21544,95331,80203,5,7,6-1 7-6(3)
21544,50848,102640,5,8,6-2 6-3
21544,69574,44538,9,1,
21544,64915,64258,9,2,
21544,29800,96765,9,3,
21544,95331,50848,9,4,
21544,3700,3700,10,1,
