id,name,court_id,date,rank,country
1,Australian Men's Hardcourt Championships - Adelaide,1,1997-01-01,2,AUS
2,Qatar Mobil Open - Doha,1,1997-01-01,2,QAT
3,BellSouth Open - Auckland,1,1997-01-06,2,NZL
4,Sydney International - Sydney,1,1997-01-06,2,AUS
5,Australian Open - Melbourne,1,1997-01-13,4,AUS
6,Shanghai Open '97 - Shanghai,4,1997-01-27,2,CHN
7,Croatian Indoors - Zagreb,4,1997-01-27,2,CRO
8,Dubai Tennis Open - Dubai,1,1997-02-10,2,UAE
9,Open 13 - Marseille,4,1997-02-10,2,FRA
10,Sybase Open - San Jose,3,1997-02-10,2,USA
11,European Community Championships - Antwerp,4,1997-02-17,2,BEL
12,Kroger / St. Jude International - Memphis,3,1997-02-17,2,USA
13,Italian Indoors - Milan,4,1997-02-24,2,ITA
14,Advanta Championships - Philadelphia,3,1997-02-24,2,USA
15,ABN/AMRO World Tennis Tournament - Rotterdam,4,1997-03-03,2,NED
16,Franklin Templeton Tennis Classic - Scottsdale,1,1997-03-03,2,USA
17,Copenhagen Open - Copenhagen,4,1997-03-10,2,DEN
18,Newsweek Champions Cup - Indian Wells,1,1997-03-10,3,USA
19,The Lipton Championships - Key Biscayne,1,1997-03-17,3,USA
20,St. Petersburg Open - St. Petersburg,4,1997-03-17,2,RUS
21,Grand Prix Hassan II - Casablanca,2,1997-03-24,2,MAR
22,Gold Flake Open - Chennai,1,1997-04-07,2,IND
23,Estoril Open - Estoril,2,1997-04-07,2,POR
24,Salem Open - Hong Kong,1,1997-04-07,2,CHN
25,Open Seat-Godo '97 - Barcelona,2,1997-04-14,2,ESP
26,Japan Open - Tokyo,1,1997-04-14,2,JPN
27,Eutelsat Monte Carlo Open - Monte Carlo,2,1997-04-21,3,MON
28,U.S. Men's Clay Court Championship - Orlando,2,1997-04-21,2,USA
29,AT&T Challenge - Atlanta,2,1997-04-28,2,USA
30,BMW Open - Munich,2,1997-04-28,2,GER
31,Paegas Czech Open - Prague,2,1997-04-28,2,CZE
32,America's Red Clay Tennis Championship - Coral Springs,2,1997-05-05,2,USA
33,German Open - Hamburg,2,1997-05-05,3,GER
34,Italian Open - Rome,2,1997-05-12,3,ITA
35,Internationaler Raiffeisen Grand Prix - St. Polten,2,1997-05-19,2,AUT
37,French Open - Paris,2,1997-05-26,4,FRA
38,XII Internazionali di Tennis CARISBO - Bologna,2,1997-06-09,2,ITA
39,Gerry Weber Open - Halle,5,1997-06-09,2,GER
40,The Stella Artois Grass Court Championships - London,5,1997-06-09,2,GBR
41,The Nottingham Open - Nottingham,5,1997-06-16,2,GBR
42,Heineken Trophy - Rosmalen,5,1997-06-16,2,NED
43,Wimbledon - London,5,1997-06-23,4,GBR
44,Investor Swedish Open - Bastad,2,1997-07-07,2,SWE
45,Rado Swiss Open - Gstaad,2,1997-07-07,2,SUI
46,Miller Lite Hall of Fame Tennis Championships - Newport,5,1997-07-07,2,USA
47,1997 Mercedes Cup - Stuttgart,2,1997-07-14,2,GER
48,Legg Mason Tennis Classic - Washington D.C.,1,1997-07-14,2,USA
49,Generali Open 1997 - Kitzbuhel,2,1997-07-21,2,AUT
50,Infiniti Open - Los Angeles,1,1997-07-21,2,USA
51,International Championship of Croatia - Umag,2,1997-07-21,2,CRO
52,Grolsch Open 1997 - Amsterdam,2,1997-07-28,2,NED
53,du Maurier Open - Montreal,1,1997-07-28,3,CAN
54,Great American Insurance ATP Championship - Cincinnati,1,1997-08-04,3,USA
55,Internazionali di Tennis di San Marino - San Marino,2,1997-08-04,2,SMR
56,RCA Championships - Indianapolis,1,1997-08-11,2,USA
57,Pilot Pen International - New Haven,1,1997-08-11,2,USA
58,U.S. Pro Tennis Championships - Boston,1,1997-08-18,2,USA
59,Waldbaum's Hamlet Cup - Long Island,1,1997-08-18,2,USA
60,U.S. Open - New York,1,1997-08-25,4,USA
61,The Samsung Open - Bournemouth,2,1997-09-08,2,GBR
62,Marbella Open - Marbella,2,1997-09-08,2,ESP
63,President's Cup 1997 - Tashkent,1,1997-09-08,2,UZB
64,Romanian Open - Bucharest,2,1997-09-22,2,ROU
66,Grand Prix de Tennis de Toulouse - Toulouse,3,1997-09-22,2,FRA
67,Davidoff Swiss Indoors - Basel,4,1997-09-29,2,SUI
68,Beijing Open - Beijing,3,1997-09-29,2,CHN
69,International Championships of Sicily - Palermo,2,1997-09-29,2,ITA
70,Heineken Open - Singapore,4,1997-10-06,2,SIN
71,CA Tennis Trophy - Vienna,4,1997-10-06,2,AUT
72,Grand Prix de Tennis de Lyon - Lyon,4,1997-10-13,2,FRA
73,IPB Czech Indoor - Ostrava,4,1997-10-13,2,CZE
74,Abierto Mexicano de Tenis - Mexico City,2,1997-10-20,2,MEX
75,Eurocard Open - Stuttgart,4,1997-10-20,3,GER
76,Cerveza Club Columbia Open - Bogota,2,1997-10-27,2,COL
77,12th Paris Open - Paris,4,1997-10-27,3,FRA
78,Kremlin Cup - Moscow,4,1997-11-03,2,RUS
79,Hellmann's Cup - Santiago,2,1997-11-03,2,CHI
80,Stockholm Open - Stockholm,3,1997-11-03,2,SWE
81,ATP Tour World Championship - Hannover,3,1997-11-10,3,GER
82,Australian Men's Hardcourt Championships - Adelaide,1,1998-01-05,2,AUS
83,Qatar Mobil Open '98 - Doha,1,1998-01-05,2,QAT
84,BellSouth Open - Auckland,1,1998-01-12,2,NZL
85,Adidas International - Sydney,1,1998-01-12,2,AUS
86,Australian Open - Melbourne,1,1998-01-19,4,AUS
87,Open 13 - Marseille,4,1998-02-02,2,FRA
88,Croatian Indoors - Split,3,1998-02-02,2,CRO
89,Dubai Tennis Open - Dubai,1,1998-02-09,2,UAE
90,Sybase Open - San Jose,3,1998-02-09,2,USA
91,St. Petersburg Open - St. Petersburg,4,1998-02-09,2,RUS
92,European Community Championships - Antwerp,3,1998-02-16,2,BEL
93,Kroger / St. Jude International - Memphis,3,1998-02-16,2,USA
94,Guardian Direct Cup - London,4,1998-02-23,2,GBR
95,Advanta Championships - Philadelphia,3,1998-02-23,2,USA
96,ABN/AMRO World Tennis Tournament - Rotterdam,4,1998-03-02,2,NED
97,Franklin Templeton Tennis Classic - Scottsdale,1,1998-03-02,2,USA
98,Copenhagen Open - Copenhagen,4,1998-03-09,2,DEN
99,Newsweek Champions Cup - Indian Wells,1,1998-03-09,3,USA
100,The Lipton Championships - Key Biscayne,1,1998-03-16,3,USA
101,Grand Prix Hassan II - Casablanca,2,1998-03-23,2,MAR
102,Gold Flake Open - Chennai,1,1998-04-06,2,IND
103,Estoril Open - Estoril,2,1998-04-06,2,POR
104,Salem Open - Hong Kong,1,1998-04-06,2,CHN
105,Open Seat-Godo '98 - Barcelona,2,1998-04-13,2,ESP
106,Japan Open - Tokyo,1,1998-04-13,2,JPN
107,Monte Carlo Open - Monte Carlo,2,1998-04-20,3,MON
108,U.S. Men's Clay Court Championship - Orlando,2,1998-04-20,2,USA
109,AT&T Challenge - Atlanta,2,1998-04-27,2,USA
110,BMW Open - Munich,2,1998-04-27,2,GER
111,Paegas Czech Open - Prague,2,1998-04-27,2,CZE
112,America's Red Clay Tennis Championship - Coral Springs,2,1998-05-04,2,USA
113,Licher German Open - Hamburg,2,1998-05-04,3,GER
114,Italian Open - Rome,2,1998-05-11,3,ITA
115,Internationaler Raiffeisen Grand Prix - St. Polten,2,1998-05-18,2,AUT
116,"Davis Cup, Group I, 1R, SCG-LAT 5-0",4,2004-04-05,5,SCG
117,French Open - Paris,2,1998-05-25,4,FRA
118,XII Internazionali di Tennis CARISBO - Bologna,2,1998-06-08,2,ITA
119,Gerry Weber Open - Halle,5,1998-06-08,2,GER
120,The Stella Artois Grass Court Championships - London,5,1998-06-08,2,GBR
121,The Nottingham Open - Nottingham,5,1998-06-15,2,GBR
122,Heineken Trophy - 's-Hertogenbosch,5,1998-06-15,2,NED
123,Wimbledon - London,5,1998-06-22,4,GBR
124,Investor Swedish Open - Bastad,2,1998-07-06,2,SWE
125,Rado Swiss Open - Gstaad,2,1998-07-06,2,SUI
126,Miller Lite Hall of Fame Tennis Championships - Newport,5,1998-07-06,2,USA
127,1998 Mercedes Cup - Stuttgart,2,1998-07-20,2,GER
128,Legg Mason Tennis Classic - Washington D.C.,1,1998-07-20,2,USA
129,Generali Open 1998 - Kitzbuhel,2,1998-07-27,2,AUT
130,Infiniti Open - Los Angeles,1,1998-07-27,2,USA
131,International Championship of Croatia - Umag,2,1998-07-27,2,CRO
132,Grolsch Open - Amsterdam,2,1998-08-03,2,NED
133,du Maurier Open - Toronto,1,1998-08-03,3,CAN
134,Great American Insurance ATP Championship - Cincinnati,1,1998-08-10,3,USA
135,Internazionali di Tennis di San Marino - San Marino,2,1998-08-10,2,SMR
136,RCA Championships - Indianapolis,1,1998-08-17,2,USA
137,Pilot Pen International - New Haven,1,1998-08-17,2,USA
138,MFS Pro Tennis Championships - Boston,1,1998-08-24,2,USA
139,Waldbaum's Hamlet Cup - Long Island,1,1998-08-24,2,USA
140,U.S. Open - New York,1,1998-08-31,4,USA
141,The Samsung Open - Bournemouth,2,1998-09-14,2,GBR
142,Connex Open Romania - Bucharest,2,1998-09-14,2,ROU
143,President's Cup 1998 - Tashkent,1,1998-09-14,2,UZB
144,Mallorca Open - Mallorca,2,1998-09-28,2,ESP
146,Grand Prix de Tennis de Toulouse - Toulouse,1,1998-09-28,2,FRA
147,Davidoff Swiss Indoors - Basel,4,1998-10-05,2,SUI
148,International Championships of Sicily - Palermo,2,1998-10-05,2,ITA
149,Shanghai Open '98 - Shanghai,1,1998-10-05,2,CHN
150,Heineken Open - Singapore,4,1998-10-12,2,SIN
151,CA Tennis Trophy - Vienna,4,1998-10-12,2,AUT
152,Grand Prix de Tennis de Lyon - Lyon,4,1998-10-19,2,FRA
153,IPB Czech Indoor - Ostrava,4,1998-10-19,2,CZE
154,Abierto Mexicano de Tenis - Mexico City,2,1998-10-26,2,MEX
155,Eurocard Open - Stuttgart,4,1998-10-26,3,GER
156,Cerveza Club Columbia Open - Bogota,2,1998-11-02,2,COL
157,13th Paris Open - Paris,4,1998-11-02,3,FRA
158,Kremlin Cup - Moscow,4,1998-11-09,2,RUS
159,Hellmann's Cup - Santiago,2,1998-11-09,2,CHI
160,Scania Stockholm Open - Stockholm,3,1998-11-09,2,SWE
161,ATP Tour World Championship - Hannover,3,1998-11-23,3,GER
162,AAPT Championships - Adelaide,1,1999-01-04,2,AUS
163,Qatar Mobil Open '99 - Doha,1,1999-01-04,2,QAT
164,Heineken Open - Auckland,1,1999-01-11,2,NZL
165,Adidas International - Sydney,1,1999-01-11,2,AUS
166,Australian Open - Melbourne,1,1999-01-18,4,AUS
167,Open 13 - Marseille,3,1999-02-01,2,FRA
168,Dubai Tennis Open - Dubai,1,1999-02-08,2,UAE
169,Sybase Open - San Jose,3,1999-02-08,2,USA
170,St. Petersburg Open - St. Petersburg,4,1999-02-08,2,RUS
171,Kroger / St. Jude International - Memphis,3,1999-02-15,2,USA
172,ABN/AMRO World Tennis Tournament - Rotterdam,4,1999-02-15,2,NED
173,Guardian Direct Cup - London,4,1999-02-22,2,GBR
174,Copenhagen Open - Copenhagen,4,1999-03-01,2,DEN
175,Franklin Templeton Tennis Classic - Scottsdale,1,1999-03-01,2,USA
176,Newsweek Champions Cup - Indian Wells,1,1999-03-08,3,USA
177,The Lipton Championships - Key Biscayne,1,1999-03-15,3,USA
178,Grand Prix Hassan II - Casablanca,2,1999-03-22,2,MAR
179,Gold Flake Open - Chennai,1,1999-04-05,2,IND
180,Estoril Open - Estoril,2,1999-04-05,2,POR
181,Salem Open - Hong Kong,1,1999-04-05,2,CHN
182,Open Seat-Godo '99 - Barcelona,2,1999-04-12,2,ESP
183,Japan Open - Tokyo,1,1999-04-12,2,JPN
184,Republic National Bank Monte Carlo Open - Monte Carlo,2,1999-04-19,3,MON
185,ERA Real Estate Clay Court Championships - Orlando,2,1999-04-19,2,USA
186,AT&T Challenge - Atlanta,2,1999-04-26,2,USA
187,BMW Open - Munich,2,1999-04-26,2,GER
188,Tento Czech Open - Prague,2,1999-04-26,2,CZE
