player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,league
Madison Brengle,Talia Gibson,2.93,1.432,3.96,,,,ATP
Martina Trevisan,Darja Vidmanova,4.03,1.265,3.87,,,,ATP
Yuliia Starodubtseva,Elvina Kalieva,1.584,2.45,3.95,,,,ATP
Viktorija Golubic,Marina Stakusic,2.04,1.826,3.78,,,,ATP
Yannick Hanfmann,Luciano Darderi,2.75,1.512,2.5,,,,ATP
Cristina Bucsa,Magdalena Frech,1.657,2.37,2.54,,,,ATP
Darja Semenistaja,Whitney Osuigwe,1.97,1.884,3.84,,,,ATP
Mary Stoiana,Leolia Jeanjean,1.775,2.1,3.96,,,,ATP
Julieta Pareja,Lanlana Tararudee,3.1,1.396,3.89,,,,ATP
Kayla Day,Aliaksandra Sasnovich,4.18,1.251,3.86,,,,ATP
