player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,league,league_name
Ben Shelton,Reilly Opelka,1.276,4.0,3.37,25.0,1.917,1.935,ATP,ATP Indian Wells - R2
Brandon Nakashima,Camilo Ugo Carabelli,1.204,4.92,3.38,21.0,1.87,1.99,ATP,ATP Indian Wells - R2
Flavio Cobolli,Miomir Kecmanovic,2.11,1.787,3.35,23.0,1.943,1.909,ATP,ATP Indian Wells - R2
Marcos Giron,Jakub Mensik,3.36,1.358,3.4,22.5,1.935,1.917,ATP,ATP Indian Wells - R2
Tomas Martin Etcheverry,Denis Shapovalov,2.56,1.556,3.33,23.0,1.917,1.935,ATP,ATP Indian Wells - R2
Lorenzo Musetti,Marton Fucsovics,1.362,3.33,3.45,21.5,1.862,1.99,ATP,ATP Indian Wells - R2
Matteo Berrettini,Alexander Zverev,4.27,1.251,3.36,22.5,1.926,1.926,ATP,ATP Indian Wells - R2
Jenson Brooksby,Frances Tiafoe,2.13,1.769,3.48,22.5,1.926,1.926,ATP,ATP Indian Wells - R2
Karen Khachanov,Joao Fonseca,2.35,1.645,3.34,23.0,1.877,1.98,ATP,ATP Indian Wells - R2
Adam Walton,Learner Tien,5.35,1.182,3.29,21.0,1.877,1.98,ATP,ATP Indian Wells - R2
Andrey Rublev,Gabriel Diallo,1.34,3.48,3.36,22.5,1.926,1.926,ATP,ATP Indian Wells - R2
Gael Monfils,Felix Auger-Aliassime,6.16,1.149,3.27,21.0,1.909,1.943,ATP,ATP Indian Wells - R2
Dino Prizmic,Arthur Fils,2.81,1.476,3.34,22.0,1.885,1.962,ATP,ATP Indian Wells - R2
Alejandro Davidovich Fokina,Zachary Svajda,1.538,2.61,3.33,22.5,1.952,1.901,ATP,ATP Indian Wells - R2
Zizou Bergs,Tommy Paul,4.03,1.272,3.43,22.0,1.99,1.87,ATP,ATP Indian Wells - R2
Hubert Hurkacz,Aleksandar Kovacevic,1.448,2.95,2.96,24.5,1.926,1.943,ATP,ATP Indian Wells - R1
Francesco Maestrelli,Rinky Hijikata,2.29,1.69,2.84,22.5,1.909,1.962,ATP,ATP Indian Wells - R1
Fabian Marozsan,Roberto Bautista Agut,1.296,3.89,2.87,21.0,1.935,1.935,ATP,ATP Indian Wells - R1
Alejandro Tabilo,Rafael Jodar,2.17,1.763,2.8,22.5,2.01,1.87,ATP,ATP Indian Wells - R1
Sebastian Korda,Francisco Comesana,1.19,5.32,2.83,21.0,1.935,1.935,ATP,ATP Indian Wells - R1
Daniel Merida Aguilar,Alex Michelsen,3.34,1.37,2.93,22.0,1.962,1.909,ATP,ATP Indian Wells - R1
Juan Manuel Cerundolo,Botic Van de Zandschulp,3.07,1.422,2.9,21.5,1.87,2.0,ATP,ATP Indian Wells - R1
Jacob Fearnley,Damir Dzumhur,1.775,2.15,2.85,22.0,1.962,1.909,ATP,ATP Indian Wells - R1
Nuno Borges,Emilio Nava,1.629,2.41,2.88,23.0,1.87,2.0,ATP,ATP Indian Wells - R1
Valentin Royer,Benjamin Bonzi,2.05,1.847,2.92,23.0,1.943,1.926,ATP,ATP Indian Wells - R1
Chun Hsin Tseng,Sebastian Baez,3.4,1.361,2.89,21.0,1.893,1.98,ATP,ATP Indian Wells - R1
Matteo Arnaldi,Mackenzie McDonald,2.37,1.649,2.84,22.5,1.943,1.926,ATP,ATP Indian Wells - R1
Michael Zheng,Vit Kopriva,1.833,2.05,3.34,22.5,1.98,1.87,ATP,ATP Indian Wells - R1
Eduardo Ribeiro,Gustavo Heide,3.91,1.285,3.4,21.0,1.917,1.935,Challenger,ATP Challenger Brasilia - QF
Henrique Rocha,Juan Carlos Prado Angelo,1.442,2.94,3.36,21.5,1.943,1.909,Challenger,ATP Challenger Brasilia - QF
Joel Josef Schwaerzler,Marco Cecchinato,1.585,2.48,3.41,22.5,1.971,1.885,Challenger,ATP Challenger Kigali - SF
Stefano Napolitano,Arthur Gea,3.09,1.408,3.39,22.0,1.87,1.99,Challenger,ATP Challenger Kigali - SF
Nicolai Budkov Kjaer,Jan Choinski,1.483,2.78,3.4,22.5,2.0,1.862,Challenger,ATP Challenger Thionville - QF
Ugo Blanchet,Otto Virtanen,3.29,1.37,3.39,22.5,2.0,1.855,Challenger,ATP Challenger Thionville - QF
Facundo Diaz Acosta,Luiz Guto Miguel,1.207,4.88,3.34,20.0,1.909,1.943,Challenger,ATP Challenger Brasilia - R16
Lukas Neumayer,Harry Wendelken,1.69,2.24,3.81,22.0,1.926,1.926,Challenger,ATP Challenger Hersonissos - QF
Lorenzo Giustino,Dimitar Kuzmanov,2.5,1.568,3.78,22.0,1.901,1.952,Challenger,ATP Challenger Hersonissos - QF
Ioannis Xilas,Stefanos Sakellaridis,3.01,1.417,3.79,21.5,1.952,1.893,Challenger,ATP Challenger Hersonissos - QF
Toby Samuel,Abedallah Shelbayh,1.302,3.7,3.83,21.0,1.943,1.909,Challenger,ATP Challenger Hersonissos - QF
