player1_name,player2_name,odds1,odds2,pinnacle_margin,ou_line,ou_over,ou_under,spread_line,spread_odds1,spread_odds2,league,league_name
Petros Tsitsipas,Max Wiskandt,2.73,1.45,5.6,22.0,1.98,1.885,3.5,1.855,1.917,Challenger,ATP Challenger Hersonissos - Qualifiers
Javier Barranco Cosano,Luca Staeheli,1.433,2.78,5.75,21.0,1.87,1.917,3.5,1.82,1.962,Challenger,ATP Challenger Hersonissos - Qualifiers
Benjamin Hassan,Luca Castagnola,1.229,4.11,5.7,21.0,1.901,1.885,4.5,1.862,1.909,Challenger,ATP Challenger Hersonissos - Qualifiers
Ioannis Kountourakis,Oleksandr Ovcharenko,5.63,1.14,5.48,19.5,1.901,1.885,5.5,1.877,1.893,Challenger,ATP Challenger Hersonissos - Qualifiers
Buvaysar Gadamauri,Oskari Paldanius,1.379,3.01,5.74,21.0,1.901,1.885,4.0,1.909,1.862,Challenger,ATP Challenger Hersonissos - Qualifiers
Constantin Bittoun Kouzmine,Petr Nesterov,3.99,1.24,5.71,20.0,1.862,1.926,5.0,1.8,1.98,Challenger,ATP Challenger Hersonissos - Qualifiers
Lui Maxted,Michalis Sakellaridis,1.008,30.59,2.48,15.0,1.855,1.926,9.0,1.909,1.862,Challenger,ATP Challenger Hersonissos - Qualifiers
Sebastian Ofner,Nicolai Budkov Kjaer,1.84,2.06,2.89,23.0,1.943,1.926,0.5,1.917,1.952,Challenger,ATP Challenger Thionville - Final
Allan Gatoto,Nicholas David Ionel,19.61,1.025,2.66,16.5,2.14,1.725,8.0,1.704,2.17,Challenger,ATP Challenger Kigali - Qualifiers
Eero Vasa,Siddhant Banthia,1.102,7.59,3.92,19.5,1.862,1.962,5.0,1.833,1.99,Challenger,ATP Challenger Kigali - Qualifiers
Samuele Pieri,Alexander Donski,1.662,2.26,4.42,22.5,1.962,1.82,1.5,1.794,1.99,Challenger,ATP Challenger Kigali - Qualifiers
Alec Beckley,Gabriele Pennaforti,2.86,1.442,4.31,21.5,1.917,1.901,3.5,1.943,1.877,Challenger,ATP Challenger Kigali - Qualifiers
Enrico Dalla Valle,Patricio Alvarado,1.024,20.33,2.58,17.5,1.943,1.877,7.0,1.935,1.885,Challenger,ATP Challenger Kigali - Qualifiers
Nino Serdarusic,Daniel Antonio Nunez,1.467,2.73,4.8,21.5,1.862,1.943,3.5,1.885,1.917,Challenger,ATP Challenger Santiago - Qualifiers
Juan Bautista Torres,Joao Vitor Scramin Do Lago,1.011,31.14,2.12,15.5,1.917,1.885,8.5,1.855,1.952,Challenger,ATP Challenger Santiago - Qualifiers
Franco Roncadelli,Valentin Basel,1.024,18.96,2.93,16.5,1.935,1.87,7.5,1.787,2.03,Challenger,ATP Challenger Santiago - Qualifiers
