tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-9900,United Cup,Hard,18,A,20260105,400,128034,9,,Hubert Hurkacz,R,196,POL,28.8,104527,16,,Stan Wawrinka,R,183,SUI,40.7,6-3 3-6 6-3,3,F,114,18,0,90,63,52,9,14,8,9,10,1,78,49,38,15,13,5,7,83,710,156,397
2026-9900,United Cup,Hard,18,A,20260105,399,128034,9,,Hubert Hurkacz,R,196,POL,28.8,126203,1,,Taylor Fritz,R,196,USA,28.1,7-6(1) 7-6(2),3,SF,94,16,3,76,59,50,7,12,2,2,12,0,73,47,37,13,12,1,1,83,710,9,3840
2026-9900,United Cup,Hard,18,A,20260105,398,200267,7,,Zizou Bergs,R,185,BEL,26.5,104527,16,,Stan Wawrinka,R,183,SUI,40.7,6-3 6-7(4) 6-3,3,SF,150,7,4,100,59,42,29,16,2,2,8,1,104,59,40,26,14,4,6,42,1193,156,397
2026-9900,United Cup,Hard,18,A,20260105,397,126774,12,,Stefanos Tsitsipas,R,193,GRE,27.4,126203,1,,Taylor Fritz,R,196,USA,28.1,6-4 7-5,3,QF,81,5,2,63,44,35,11,11,2,2,6,0,53,32,26,13,11,1,3,34,1380,9,3840
2026-9900,United Cup,Hard,18,A,20260105,396,200282,4,,Alex De Minaur,R,183,AUS,26.8,128034,9,,Hubert Hurkacz,R,196,POL,28.8,6-4 4-6 6-4,3,QF,138,6,1,104,57,47,25,15,10,11,19,0,85,63,47,12,15,2,4,6,4080,83,710
2026-9900,United Cup,Hard,18,A,20260105,395,202104,14,,Sebastian Baez,R,170,ARG,25.0,104527,16,,Stan Wawrinka,R,183,SUI,40.7,7-5 6-4,3,QF,98,3,1,73,57,41,9,11,5,5,11,2,66,36,29,14,11,2,4,43,1145,156,397
2026-9900,United Cup,Hard,18,A,20260105,394,200267,7,,Zizou Bergs,R,185,BEL,26.5,210150,11,,Jakub Mensik,R,193,CZE,20.3,6-2 7-6(4),3,QF,100,7,2,79,43,31,20,10,3,5,6,5,59,33,22,13,10,3,7,42,1193,18,2130
2026-9900,United Cup,Hard,18,A,20260105,393,126203,1,,Taylor Fritz,R,196,USA,28.1,144719,10,,Jaume Munar,R,183,ESP,28.6,7-6(4) 3-6 7-6(6),3,RR,193,16,7,112,75,60,18,16,5,6,14,5,122,72,62,24,17,2,2,9,3840,38,1295
2026-9900,United Cup,Hard,18,A,20260105,392,202104,14,,Sebastian Baez,R,170,ARG,25.0,126203,1,,Taylor Fritz,R,196,USA,28.1,4-6 7-5 6-4,3,RR,153,4,0,107,80,51,16,16,8,11,23,2,102,56,43,21,16,4,8,43,1145,9,3840
2026-9900,United Cup,Hard,18,A,20260105,391,202104,14,,Sebastian Baez,R,170,ARG,25.0,144719,10,,Jaume Munar,R,183,ESP,28.6,6-4 6-4,3,RR,103,0,2,71,46,27,15,10,4,6,7,0,52,39,25,6,10,2,6,43,1145,38,1295
2026-9900,United Cup,Hard,18,A,20260105,390,200267,7,,Zizou Bergs,R,185,BEL,26.5,200000,2,,Felix Auger Aliassime,R,193,CAN,25.4,6-4 6-2,3,RR,88,4,0,50,30,22,16,9,5,5,8,5,62,38,28,6,9,7,10,42,1193,5,4190
2026-9900,United Cup,Hard,18,A,20260105,389,200000,2,,Felix Auger Aliassime,R,193,CAN,25.4,111190,18,,Zhizhen Zhang,R,193,CHN,29.2,6-4 6-4,3,RR,87,6,0,55,37,32,10,10,1,1,2,2,55,34,23,12,10,0,2,5,4190,464,95
2026-9900,United Cup,Hard,18,A,20260105,388,111190,18,,Zhizhen Zhang,R,193,CHN,29.2,200267,7,,Zizou Bergs,R,185,BEL,26.5,6-7(2) 7-6(3) 7-5,3,RR,173,12,0,108,71,59,21,18,0,0,18,5,126,75,58,29,18,9,10,464,95,42,1193
2026-9900,United Cup,Hard,18,A,20260105,387,126239,8,,Arthur Rinderknech,R,196,FRA,30.4,207925,3,,Flavio Cobolli,R,183,ITA,23.6,6-7(4) 7-6(5) 7-5,3,RR,201,13,3,123,65,49,29,18,7,11,5,5,123,58,40,35,18,8,13,27,1527,22,1955
2026-9900,United Cup,Hard,18,A,20260105,386,207925,3,,Flavio Cobolli,R,183,ITA,23.6,104527,16,,Stan Wawrinka,R,183,SUI,40.7,6-4 6-7(2) 7-6(4),3,RR,175,8,1,101,55,41,33,17,0,0,8,3,104,61,49,27,17,3,4,22,1955,156,397
2026-9900,United Cup,Hard,18,A,20260105,385,104527,16,,Stan Wawrinka,R,183,SUI,40.7,126239,8,,Arthur Rinderknech,R,196,FRA,30.4,5-7 7-6(5) 7-6(5),3,RR,198,6,2,120,68,53,31,18,2,4,17,5,111,61,50,32,18,6,7,156,397,27,1527
2026-9900,United Cup,Hard,18,A,20260105,384,200282,4,,Alex De Minaur,R,183,AUS,26.8,210150,11,,Jakub Mensik,R,193,CZE,20.3,6-4 6-1,3,RR,91,4,0,62,38,26,14,8,4,4,3,3,58,34,23,8,9,2,6,6,4080,18,2130
2026-9900,United Cup,Hard,18,A,20260105,383,134770,17,,Casper Ruud,R,183,NOR,27.0,200282,4,,Alex De Minaur,R,183,AUS,26.8,6-3 6-3,3,RR,93,6,3,66,47,37,8,9,5,5,2,8,66,36,23,14,9,7,10,12,2750,6,4080
2026-9900,United Cup,Hard,18,A,20260105,382,210150,11,,Jakub Mensik,R,193,CZE,20.3,134770,17,,Casper Ruud,R,183,NOR,27.0,7-5 7-6(6),3,RR,128,16,3,83,51,40,13,12,5,7,1,1,79,45,25,22,12,3,6,18,2130,12,2750
2026-9900,United Cup,Hard,18,A,20260105,381,126774,12,,Stefanos Tsitsipas,R,193,GRE,27.4,126129,5,,Billy Harris,R,193,GBR,30.9,4-6 6-1 7-6(4),3,RR,136,5,2,84,54,46,18,15,1,2,4,3,83,51,40,17,14,4,6,34,1380,127,482
2026-9900,United Cup,Hard,18,A,20260105,380,126129,5,,Billy Harris,R,193,GBR,30.9,208278,13,,Shintaro Mochizuki,R,175,JPN,22.5,7-6(4) 6-3,3,RR,110,4,3,70,41,30,16,11,4,6,4,6,68,27,21,18,10,1,4,127,482,110,547
2026-9900,United Cup,Hard,18,A,20260105,379,126774,12,,Stefanos Tsitsipas,R,193,GRE,27.4,208278,13,,Shintaro Mochizuki,R,175,JPN,22.5,6-3 6-4,3,RR,82,8,2,61,42,28,11,10,1,2,1,3,57,30,22,11,9,5,8,34,1380,110,547
2026-9900,United Cup,Hard,18,A,20260105,378,128034,9,,Hubert Hurkacz,R,196,POL,28.8,100644,6,,Alexander Zverev,R,198,GER,28.7,6-3 6-4,3,RR,82,21,0,63,41,35,9,10,1,1,7,0,46,40,25,6,9,1,3,83,710,3,5105
2026-9900,United Cup,Hard,18,A,20260105,377,100644,6,,Alexander Zverev,R,198,GER,28.7,134868,15,,Tallon Griekspoor,R,188,NED,29.5,7-5 6-0,3,RR,69,15,0,48,36,32,6,9,2,2,3,3,43,30,19,3,9,0,4,3,5105,25,1565
2026-9900,United Cup,Hard,18,A,20260105,376,128034,9,,Hubert Hurkacz,R,196,POL,28.8,134868,15,,Tallon Griekspoor,R,188,NED,29.5,6-3 7-6(4),3,RR,82,21,0,55,41,37,11,11,0,0,4,0,59,39,26,13,10,0,1,83,710,25,1565
2026-0339,Brisbane,Hard,32,A,20260104,377,106421,1,,Daniil Medvedev,R,198,RUS,29.9,206909,,,Brandon Nakashima,R,188,USA,24.4,6-2 7-6(1),3,F,95,10,4,73,51,36,13,10,3,4,3,0,53,33,26,8,10,2,5,13,2710,33,1380
2026-0339,Brisbane,Hard,32,A,20260104,376,106421,1,,Daniil Medvedev,R,198,RUS,29.9,210506,,,Alex Michelsen,R,193,USA,21.3,6-4 6-2,3,SF,102,9,7,75,46,32,14,9,7,8,4,1,65,42,22,12,9,4,8,13,2710,37,1300
2026-0339,Brisbane,Hard,32,A,20260104,375,206909,,,Brandon Nakashima,R,188,USA,24.4,206499,,,Aleksandar Kovacevic,R,183,USA,27.3,7-6(4) 6-4,3,SF,104,15,1,73,51,38,12,11,2,2,14,4,77,49,38,12,11,2,3,33,1380,58,877
2026-0339,Brisbane,Hard,32,A,20260104,374,106421,1,,Daniil Medvedev,R,198,RUS,29.9,111794,,LL,Kamil Majchrzak,R,180,POL,29.9,6-7(4) 6-3 6-2,3,QF,132,16,4,93,61,48,14,15,5,6,4,0,90,54,34,18,14,5,9,13,2710,59,861
2026-0339,Brisbane,Hard,32,A,20260104,373,210506,,,Alex Michelsen,R,193,USA,21.3,200624,,,Sebastian Korda,R,196,USA,25.5,6-3 7-6(7),3,QF,99,3,3,76,49,34,19,11,1,1,8,1,67,38,31,13,10,1,2,37,1300,46,1090
2026-0339,Brisbane,Hard,32,A,20260104,372,206499,,,Aleksandar Kovacevic,R,183,USA,27.3,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,22.4,7-6(3) 4-6 6-3,3,QF,107,13,3,81,52,45,21,16,0,1,24,1,87,61,50,15,15,4,5,58,877,67,825
2026-0339,Brisbane,Hard,32,A,20260104,371,206909,,,Brandon Nakashima,R,188,USA,24.4,209920,,Q,Raphael Collignon,R,191,BEL,23.9,6-3 6-3,3,QF,82,7,0,63,49,39,6,9,6,6,3,1,50,29,21,10,9,2,5,33,1380,84,704
