tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-0339,Brisbane,Hard,32,A,20241230,347,106415,1,,Yoshihito Nishioka,L,170,JPN,29.2,111454,,,Li Tu,R,183,AUS,28.5,6-3 2-6 6-4,3,Q2,124,6,0,88,56,35,23,14,1,4,7,4,79,42,30,20,13,2,5,69,776,174,329
2025-0339,Brisbane,Hard,32,A,20241230,346,126127,2,,Benjamin Bonzi,R,183,FRA,28.5,202090,,,Adrian Andreev,R,175,BUL,23.6,3-1 RET,3,Q2,20,1,2,11,5,5,4,2,0,0,1,0,18,7,4,5,2,1,2,75,730,217,261
2025-0339,Brisbane,Hard,32,A,20241230,345,144870,11,,Federico Agustin Gomez,R,191,ARG,28.0,105583,3,,Dusan Lajovic,R,183,SRB,34.5,6-1 7-6(4),3,Q2,69,9,2,60,40,34,14,10,3,3,3,1,55,45,29,6,9,1,3,137,442,81,710
2025-0339,Brisbane,Hard,32,A,20241230,344,105062,7,,Mikhail Kukushkin,R,183,KAZ,37.0,209262,,,Tristan Schoolkate,R,183,AUS,23.8,6-4 6-4,3,Q2,96,6,0,55,34,27,10,10,0,2,5,2,57,30,19,13,10,1,5,113,542,168,345
2025-0339,Brisbane,Hard,32,A,20241230,343,105870,5,,Yannick Hanfmann,R,193,GER,33.1,104755,9,,Richard Gasquet,R,183,FRA,38.5,7-6(4) 6-3,3,Q2,97,6,0,72,53,41,8,11,4,5,7,2,72,45,31,12,10,5,7,96,627,129,470
2025-0339,Brisbane,Hard,32,A,20241230,342,210460,12,,Nishesh Basavareddy,R,180,USA,19.6,106298,6,,Lucas Pouille,R,185,FRA,30.8,6-4 6-4,3,Q2,76,7,2,50,36,28,10,10,1,2,10,6,63,37,28,9,10,4,7,138,440,101,616
2025-0339,Brisbane,Hard,32,A,20241230,341,106415,1,,Yoshihito Nishioka,L,170,JPN,29.2,106109,,,Alex Bolt,L,183,AUS,31.9,6-2 7-6(4),3,Q1,99,6,0,59,36,29,16,10,2,2,9,3,89,51,33,19,10,10,12,69,776,157,377
2025-0339,Brisbane,Hard,32,A,20241230,340,111454,,,Li Tu,R,183,AUS,28.5,127760,10,,Lukas Klein,R,193,SVK,26.7,6-4 6-4,3,Q1,77,6,2,71,42,30,17,10,4,4,3,2,54,35,26,9,10,1,3,174,329,136,443
2025-0339,Brisbane,Hard,32,A,20241230,339,126127,2,,Benjamin Bonzi,R,183,FRA,28.5,210317,,WC,James Mccabe,R,188,AUS,21.4,6-3 6-2,3,Q1,70,2,1,50,28,23,14,9,0,0,2,0,48,30,20,6,8,4,7,75,730,256,216
2025-0339,Brisbane,Hard,32,A,20241230,338,202090,,,Adrian Andreev,R,175,BUL,23.6,202358,8,,Chun Hsin Tseng,R,175,TPE,23.3,6-4 3-6 7-6(5),3,Q1,172,10,0,106,77,55,15,15,6,8,5,5,108,55,42,32,16,4,6,217,261,119,509
2025-0339,Brisbane,Hard,32,A,20241230,337,105583,3,,Dusan Lajovic,R,183,SRB,34.5,211315,,WC,Casey Hoole,U,,AUS,21.8,5-7 7-5 2-0 RET,3,Q1,119,6,1,68,52,41,11,13,3,4,7,6,88,60,42,13,13,5,7,81,710,1165,8
2025-0339,Brisbane,Hard,32,A,20241230,336,144870,11,,Federico Agustin Gomez,R,191,ARG,28.0,200259,,,Ugo Blanchet,R,175,FRA,25.9,3-6 6-3 7-5,3,Q1,110,8,6,82,51,39,20,15,1,2,8,0,82,48,39,20,15,5,7,137,442,222,258
2025-0339,Brisbane,Hard,32,A,20241230,335,209262,,,Tristan Schoolkate,R,183,AUS,23.8,105902,4,,James Duckworth,R,183,AUS,32.9,6-4 6-4,3,Q1,81,14,1,58,42,33,9,10,0,0,5,3,56,35,25,12,10,2,4,168,345,82,687
2025-0339,Brisbane,Hard,32,A,20241230,334,105062,7,,Mikhail Kukushkin,R,183,KAZ,37.0,105911,,,Andrea Collarini,L,183,ARG,32.9,6-2 6-4,3,Q1,94,3,0,60,41,30,10,9,6,7,2,3,58,35,23,10,9,6,10,113,542,204,280
2025-0339,Brisbane,Hard,32,A,20241230,333,105870,5,,Yannick Hanfmann,R,193,GER,33.1,210553,,WC,Jacob Bradshaw,R,188,AUS,22.1,6-4 6-2,3,Q1,79,1,0,50,29,21,16,9,1,1,2,3,58,36,20,13,9,2,5,96,627,576,60
2025-0339,Brisbane,Hard,32,A,20241230,332,104755,9,,Richard Gasquet,R,183,FRA,38.5,210613,,WC,Derek Pham,R,180,AUS,20.7,6-1 6-2,3,Q1,57,3,2,35,19,18,7,7,0,1,2,3,44,22,15,2,8,3,9,129,470,977,15
2025-0339,Brisbane,Hard,32,A,20241230,331,106298,6,,Lucas Pouille,R,185,FRA,30.8,106186,,PR,Jason Kubler,R,178,AUS,31.6,4-6 6-3 7-6(6),3,Q1,149,16,3,100,54,40,28,16,1,2,14,3,103,64,50,20,15,2,3,101,616,638,49
2025-0339,Brisbane,Hard,32,A,20241230,330,210460,12,,Nishesh Basavareddy,R,180,USA,19.6,127339,,PR,Borna Gojo,R,196,CRO,26.8,4-6 7-6(4) 6-4,3,Q1,146,10,4,90,55,45,20,16,1,3,16,7,105,65,47,23,16,5,7,138,440,447,95
2025-0336,Hong Kong,Hard,28,A,20241230,359,144817,,,Marc Andrea Huesler,L,196,SUI,28.5,200303,1,,Pavel Kotov,R,191,RUS,26.1,7-6(7) 6-4,3,Q2,104,9,2,67,49,39,9,11,0,1,4,2,80,51,33,17,11,6,8,159,376,86,655
