date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-04-12,2026-04-13T19:00:00Z,epl,Manchester United,Leeds United,6.72,4.021,10.741,449,145,0.7442,1.344,3.909,0.6307,1.586,2.708,0.5088,1.965,2.036,0.3898,2.565,1.639
2026-04-12,2026-04-18T11:30:00Z,epl,Brentford,Fulham,4.448,5.115,9.564,183,221,0.616,1.623,2.604,0.4864,2.056,1.947,0.3625,2.758,1.569,0.2548,3.924,1.342
2026-04-12,2026-04-18T14:00:00Z,epl,Newcastle United,Bournemouth,6.015,4.779,10.794,411,335,0.7492,1.335,3.987,0.6367,1.571,2.752,0.5153,1.941,2.063,0.3961,2.525,1.656
2026-04-12,2026-04-18T14:00:00Z,epl,Leeds United,Wolverhampton Wanderers,4.694,4.902,9.596,145,297,0.6199,1.613,2.631,0.4906,2.038,1.963,0.3666,2.728,1.579,0.2583,3.871,1.348
2026-04-12,2026-04-18T16:30:00Z,epl,Tottenham Hotspur,Brighton and Hove Albion,5.183,4.496,9.679,449,335,0.6299,1.587,2.702,0.5014,1.995,2.006,0.3769,2.653,1.605,0.2674,3.74,1.365
2026-04-12,2026-04-18T19:00:00Z,epl,Chelsea,Manchester United,4.857,3.648,8.505,449,449,0.4775,2.094,1.914,0.3476,2.877,1.533,0.2371,4.217,1.311,0.1517,6.591,1.179
2026-04-12,2026-04-19T13:00:00Z,epl,Aston Villa,Sunderland,5.716,3.586,9.302,335,145,0.5834,1.714,2.401,0.4523,2.211,1.826,0.3304,3.027,1.493,0.2273,4.4,1.294
2026-04-12,2026-04-19T13:00:00Z,epl,Nottingham Forest,Burnley,5.07,4.46,9.53,145,335,0.6119,1.634,2.577,0.4821,2.074,1.931,0.3584,2.79,1.559,0.2513,3.98,1.336
2026-04-12,2026-04-19T13:00:00Z,epl,Everton,Liverpool,3.523,6.131,9.654,449,449,0.6269,1.595,2.68,0.4981,2.008,1.993,0.3738,2.675,1.597,0.2646,3.779,1.36
2026-04-12,2026-04-19T15:30:00Z,epl,Manchester City,Arsenal,8.077,3.108,11.184,448,449,0.784,1.276,4.629,0.6792,1.472,3.117,0.5619,1.78,2.283,0.4427,2.259,1.794
