date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-04-26,2026-04-27T19:00:00Z,epl,Manchester United,Brentford,6.099,3.412,9.511,6.423,2.273,0.0857,aligned,V3.1,451,185,0.6095,1.641,2.561,0.4796,2.085,1.922,0.356,2.809,1.553,0.2492,4.013,1.332
2026-04-26,2026-04-26T10:30:00Z,serie-a,Fiorentina,Sassuolo,6.281,4.405,10.686,6.177,3.466,0.0977,aligned,V3.1,451,413,0.739,1.353,3.831,0.6245,1.601,2.663,0.5022,1.991,2.009,0.3834,2.609,1.622
2026-04-26,2026-04-26T13:00:00Z,serie-a,Genoa,Como,4.438,4.098,8.536,5.181,4.663,0.1532,divergent,V3.1,413,71,0.4818,2.075,1.93,0.3517,2.843,1.543,0.2406,4.156,1.317,0.1544,6.476,1.183
2026-04-26,2026-04-26T16:00:00Z,serie-a,Torino,Internazionale,4.459,6.486,10.945,4.175,7.741,0.0888,aligned,V3.1,451,451,0.7631,1.311,4.22,0.6534,1.53,2.886,0.5335,1.875,2.144,0.4141,2.415,1.707
2026-04-26,2026-04-26T18:45:00Z,serie-a,AC Milan,Juventus,4.208,4.312,8.521,3.669,3.573,0.15,divergent,V3.1,451,451,0.4797,2.084,1.922,0.3497,2.859,1.538,0.2389,4.185,1.314,0.1531,6.531,1.181
2026-04-26,2026-04-27T16:30:00Z,serie-a,Cagliari,Atalanta,3.389,5.655,9.044,3.312,5.577,0.0172,aligned,V3.1,375,451,0.5502,1.818,2.223,0.4184,2.39,1.719,0.2993,3.342,1.427,0.2013,4.968,1.252
2026-04-26,2026-04-27T18:45:00Z,serie-a,Lazio,Udinese,6.765,3.004,9.768,9.585,2.149,0.2012,divergent,V3.1,451,451,0.6405,1.561,2.782,0.5128,1.95,2.053,0.388,2.577,1.634,0.2772,3.607,1.384
2026-04-26,2026-04-26T12:00:00Z,la-liga,Rayo Vallecano,Real Sociedad,6.035,3.834,9.869,6.324,2.436,0.1124,aligned,V3.1,298,450,0.6523,1.533,2.876,0.5256,1.902,2.108,0.4006,2.496,1.668,0.2885,3.466,1.405
2026-04-26,2026-04-26T16:30:00Z,la-liga,Osasuna,Sevilla,4.866,3.689,8.555,4.626,2.564,0.1595,divergent,V3.1,298,450,0.4845,2.064,1.94,0.3542,2.823,1.549,0.2428,4.119,1.321,0.1561,6.406,1.185
2026-04-26,2026-04-26T19:00:00Z,la-liga,Villarreal,Celta Vigo,4.31,4.787,9.097,4.495,4.647,0.0049,aligned,V3.1,450,450,0.5571,1.795,2.258,0.4254,2.351,1.74,0.3056,3.272,1.44,0.2065,4.842,1.26
2026-04-26,2026-04-27T19:00:00Z,la-liga,Espanyol,Levante,4.679,6.36,11.039,5.952,7.505,0.219,divergent,V3.1,374,298,0.7715,1.296,4.376,0.6638,1.507,2.974,0.5448,1.836,2.197,0.4254,2.351,1.74
2026-04-26,2026-04-26T13:30:00Z,bundesliga,Stuttgart,Werder Bremen,6.834,5.762,12.596,7.363,5.344,0.0088,aligned,V3.1,336,370,0.8803,1.136,8.354,0.8058,1.241,5.15,0.7121,1.404,3.473,0.6047,1.654,2.529
2026-04-26,2026-04-26T15:30:00Z,bundesliga,Borussia Dortmund,Freiburg,5.765,2.825,8.59,6.212,3.359,0.1142,aligned,V3.1,404,370,0.4892,2.044,1.958,0.3587,2.787,1.559,0.2467,4.054,1.327,0.1591,6.285,1.189
2026-04-26,2026-04-26T13:00:00Z,ligue-1,Lorient,Strasbourg,4.346,3.665,8.012,3.675,4.499,0.0203,aligned,V3.1,292,314,0.4091,2.445,1.692,0.2848,3.511,1.398,0.1853,5.397,1.227,0.1128,8.868,1.127
2026-04-26,2026-04-26T15:15:00Z,ligue-1,Le Havre,Metz,4.687,4.395,9.082,5.169,2.965,0.1044,aligned,V3.1,98,282,0.5551,1.801,2.248,0.4234,2.362,1.734,0.3038,3.292,1.436,0.205,4.877,1.258
2026-04-26,2026-04-26T15:15:00Z,ligue-1,Paris FC,Lille,4.893,4.544,9.437,6.468,3.631,0.0702,aligned,V3.1,30,430,0.6003,1.666,2.502,0.4699,2.128,1.887,0.3469,2.883,1.531,0.2413,4.144,1.318
2026-04-26,2026-04-26T15:15:00Z,ligue-1,Rennes,Nantes,7.1,2.631,9.731,8.348,2.501,0.1149,aligned,V3.1,430,430,0.6361,1.572,2.748,0.508,1.969,2.033,0.3833,2.609,1.622,0.2731,3.662,1.376
2026-04-26,2026-04-26T18:45:00Z,ligue-1,Marseille,Nice,4.566,4.432,8.998,3.943,4.337,0.0799,aligned,V3.1,430,430,0.5441,1.838,2.194,0.4124,2.425,1.702,0.2938,3.403,1.416,0.1968,5.08,1.245
