date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-05-15,2026-05-15T19:00:00Z,epl,Aston Villa,Liverpool,4.492,4.707,9.199,3.427,5.507,0.0287,aligned,V3,340,454,0.5702,1.754,2.327,0.4387,2.279,1.782,0.3178,3.147,1.466,0.2167,4.615,1.277
2026-05-15,2026-05-17T11:30:00Z,epl,Manchester United,Nottingham Forest,6.444,4.623,11.066,5.231,5.267,0.0513,aligned,V3,454,150,0.7739,1.292,4.422,0.6667,1.5,3.0,0.548,1.825,2.212,0.4287,2.333,1.75
2026-05-15,2026-05-17T14:00:00Z,epl,Brentford,Crystal Palace,4.34,5.505,9.845,2.976,7.1,0.0234,aligned,V3,188,454,0.6494,1.54,2.853,0.5225,1.914,2.094,0.3976,2.515,1.66,0.2857,3.5,1.4
2026-05-15,2026-05-17T14:00:00Z,epl,Everton,Sunderland,4.483,4.671,9.154,3.798,4.56,0.087,aligned,V3,454,150,0.5645,1.771,2.296,0.4329,2.31,1.763,0.3125,3.2,1.454,0.2122,4.712,1.269
2026-05-15,2026-05-17T14:00:00Z,epl,Leeds United,Brighton,4.57,4.857,9.428,3.232,5.877,0.0338,aligned,V3,150,340,0.5992,1.669,2.495,0.4688,2.133,1.882,0.3458,2.892,1.529,0.2404,4.16,1.316
2026-05-15,2026-05-17T14:00:00Z,epl,Wolverhampton,Fulham,5.052,4.458,9.51,5.221,4.089,0.021,aligned,V3,302,226,0.6095,1.641,2.561,0.4795,2.085,1.921,0.356,2.809,1.553,0.2491,4.014,1.332
2026-05-15,2026-05-17T16:30:00Z,epl,Newcastle United,West Ham United,6.435,4.793,11.227,8.485,4.724,0.1765,divergent,V3,416,454,0.7876,1.27,4.708,0.6836,1.463,3.161,0.5669,1.764,2.309,0.4478,2.233,1.811
2026-05-15,2026-05-18T19:00:00Z,epl,Arsenal,Burnley,5.799,3.901,9.7,3.55,4.102,0.2112,divergent,V3,454,340,0.6324,1.581,2.72,0.504,1.984,2.016,0.3795,2.635,1.612,0.2697,3.708,1.369
2026-05-15,2026-05-17T10:30:00Z,serie-a,Como,Parma,6.632,2.762,9.394,8.443,3.249,0.2447,divergent,V3,74,226,0.5951,1.681,2.469,0.4644,2.153,1.867,0.3417,2.927,1.519,0.2368,4.222,1.31
2026-05-15,2026-05-17T10:30:00Z,serie-a,Genoa,AC Milan,5.64,4.589,10.23,5.409,5.199,0.0369,aligned,V3,416,454,0.6924,1.444,3.251,0.5704,1.753,2.328,0.4457,2.244,1.804,0.3296,3.034,1.492
