date,kick_off,league,home_team,away_team,lambda_home,lambda_away,lambda_total,lambda_home_recent,lambda_away_recent,divergence,consensus,policy_version,home_matches,away_matches,p_over_8.5,fair_over_8.5,fair_under_8.5,p_over_9.5,fair_over_9.5,fair_under_9.5,p_over_10.5,fair_over_10.5,fair_under_10.5,p_over_11.5,fair_over_11.5,fair_under_11.5
2026-05-09,2026-05-10T13:00:00Z,epl,Burnley,Aston Villa,4.199,3.854,8.052,5.565,2.736,0.0308,aligned,V3,339,339,0.4148,2.411,1.709,0.2899,3.449,1.408,0.1894,5.281,1.234,0.1157,8.639,1.131
2026-05-09,2026-05-10T13:00:00Z,epl,Crystal Palace,Everton,7.131,3.506,10.637,8.617,2.916,0.0843,aligned,V3,452,453,0.7342,1.362,3.762,0.6188,1.616,2.623,0.4961,2.016,1.985,0.3775,2.649,1.606
2026-05-09,2026-05-10T13:00:00Z,epl,Nottingham Forest,Newcastle United,6.119,5.562,11.68,7.793,5.972,0.1785,divergent,V3,149,415,0.8229,1.215,5.646,0.7286,1.373,3.684,0.6184,1.617,2.621,0.5014,1.994,2.006
2026-05-09,2026-05-10T15:30:00Z,epl,West Ham United,Arsenal,5.227,6.363,11.59,4.955,5.184,0.1251,aligned,V3,453,453,0.8162,1.225,5.441,0.7199,1.389,3.57,0.6083,1.644,2.553,0.4907,2.038,1.964
2026-05-09,2026-05-11T19:00:00Z,epl,Tottenham Hotspur,Leeds United,6.729,4.709,11.438,6.136,4.488,0.0711,aligned,V3,453,149,0.8046,1.243,5.117,0.7051,1.418,3.391,0.5912,1.691,2.446,0.4729,2.115,1.897
2026-05-09,2026-05-09T18:45:00Z,serie-a,Lecce,Juventus,3.394,5.939,9.333,3.026,4.834,0.1578,divergent,V3,187,453,0.5874,1.702,2.424,0.4564,2.191,1.84,0.3342,2.992,1.502,0.2305,4.339,1.3
2026-05-09,2026-05-10T10:30:00Z,serie-a,Hellas Verona,Como,3.265,4.626,7.891,3.35,5.689,0.1455,aligned,V3,377,73,0.3922,2.55,1.645,0.2699,3.705,1.37,0.1734,5.766,1.21,0.1042,9.597,1.116
2026-05-09,2026-05-10T13:00:00Z,serie-a,Cremonese,Pisa,4.682,3.417,8.099,5.073,2.898,0.0159,aligned,V3,73,35,0.4213,2.374,1.728,0.2957,3.382,1.42,0.194,5.153,1.241,0.1192,8.39,1.135
2026-05-09,2026-05-10T13:00:00Z,serie-a,Fiorentina,Genoa,4.968,4.988,9.956,5.313,4.69,0.0047,aligned,V3,453,415,0.6622,1.51,2.96,0.5366,1.864,2.158,0.4115,2.43,1.699,0.2982,3.353,1.425
2026-05-09,2026-05-10T16:00:00Z,serie-a,Parma,Roma,3.623,6.175,9.798,3.885,6.233,0.0327,aligned,V3,225,453,0.644,1.553,2.809,0.5165,1.936,2.068,0.3917,2.553,1.644,0.2805,3.565,1.39
2026-05-09,2026-05-10T18:45:00Z,serie-a,AC Milan,Atalanta,4.191,4.066,8.257,4.212,4.224,0.0216,aligned,V3,453,453,0.4433,2.256,1.796,0.3158,3.167,1.462,0.2105,4.752,1.267,0.1314,7.611,1.151
2026-05-09,2026-05-11T18:45:00Z,serie-a,Napoli,Bologna,5.12,3.943,9.063,5.075,3.995,0.0007,aligned,V3,453,415,0.5527,1.809,2.236,0.421,2.376,1.727,0.3016,3.316,1.432,0.2032,4.921,1.255
2026-05-09,2026-05-09T19:00:00Z,la-liga,Real Sociedad,Real Betis,6.652,4.083,10.735,7.902,3.717,0.0824,aligned,V3,452,414,0.7436,1.345,3.9,0.63,1.587,2.703,0.5081,1.968,2.033,0.3891,2.57,1.637
2026-05-09,2026-05-10T12:00:00Z,la-liga,Mallorca,Villarreal,4.397,3.933,8.33,5.034,3.086,0.0253,aligned,V3,224,452,0.4534,2.205,1.83,0.3251,3.076,1.482,0.2182,4.583,1.279,0.1372,7.287,1.159
2026-05-09,2026-05-10T14:15:00Z,la-liga,Athletic Bilbao,Valencia,5.387,4.001,9.388,5.52,3.468,0.0426,aligned,V3,452,452,0.5942,1.683,2.464,0.4635,2.157,1.864,0.3408,2.934,1.517,0.2361,4.235,1.309
2026-05-09,2026-05-10T19:00:00Z,la-liga,Barcelona,Real Madrid,6.864,3.277,10.141,8.732,3.157,0.1724,divergent,V3,452,452,0.6829,1.464,3.153,0.5596,1.787,2.271,0.4346,2.301,1.769,0.3194,3.131,1.469
2026-05-09,2026-05-11T19:00:00Z,la-liga,Rayo Vallecano,Girona,6.693,2.841,9.534,8.373,1.953,0.083,aligned,V3,300,224,0.6124,1.633,2.58,0.4826,2.072,1.933,0.3589,2.786,1.56,0.2517,3.974,1.336
2026-05-09,2026-05-12T17:00:00Z,la-liga,Celta Vigo,Levante,5.024,5.254,10.278,5.488,5.408,0.0601,aligned,V3,452,300,0.6976,1.434,3.307,0.5763,1.735,2.36,0.4517,2.214,1.824,0.3352,2.983,1.504
2026-05-09,2026-05-12T19:30:00Z,la-liga,Osasuna,Atletico Madrid,2.95,4.167,7.116,1.935,3.201,0.2782,divergent,V3,300,452,0.2862,3.494,1.401,0.1815,5.51,1.222,0.107,9.347,1.12,0.0588,17.012,1.062
2026-05-09,2026-05-10T13:30:00Z,bundesliga,Hamburger SV,Freiburg,5.319,4.392,9.711,4.361,5.303,0.0048,aligned,V3,168,372,0.6337,1.578,2.73,0.5054,1.979,2.022,0.3808,2.626,1.615,0.2709,3.692,1.371
2026-05-09,2026-05-10T15:30:00Z,bundesliga,FC Koln,Heidenheim,5.69,4.867,10.556,6.493,4.825,0.0721,aligned,V3,338,100,0.7262,1.377,3.653,0.6095,1.641,2.561,0.4862,2.057,1.946,0.3679,2.718,1.582
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Angers,Strasbourg,4.085,4.105,8.19,2.823,5.45,0.0102,aligned,V3,360,316,0.4339,2.305,1.766,0.3072,3.256,1.443,0.2034,4.917,1.255,0.1261,7.93,1.144
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Auxerre,Nice,5.305,6.068,11.373,5.535,7.478,0.1442,aligned,V3,104,432,0.7995,1.251,4.987,0.6986,1.431,3.318,0.5838,1.713,2.403,0.4652,2.15,1.87
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Le Havre,Marseille,3.526,3.727,7.253,3.244,2.702,0.1802,divergent,V3,100,432,0.3044,3.285,1.438,0.196,5.101,1.244,0.1174,8.515,1.133,0.0656,15.242,1.07
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Metz,Lorient,4.755,4.853,9.608,4.617,4.819,0.0179,aligned,V3,284,294,0.6214,1.609,2.641,0.4922,2.032,1.969,0.3681,2.717,1.583,0.2597,3.851,1.351
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Monaco,Lille,5.505,3.873,9.377,7.756,3.4,0.1897,divergent,V3,432,432,0.5929,1.687,2.456,0.4622,2.164,1.859,0.3396,2.945,1.514,0.235,4.255,1.307
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Paris Saint-Germain,Brest,7.208,3.428,10.636,7.749,2.905,0.0016,aligned,V3,430,241,0.7341,1.362,3.761,0.6187,1.616,2.623,0.496,2.016,1.984,0.3774,2.65,1.606
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Rennes,Paris FC,6.282,3.492,9.773,6.389,3.958,0.0587,aligned,V3,432,32,0.6411,1.56,2.786,0.5134,1.948,2.055,0.3886,2.573,1.636,0.2778,3.6,1.385
2026-05-09,2026-05-10T19:00:00Z,ligue-1,Toulouse,Lyon,3.402,7.031,10.433,3.346,10.046,0.2836,divergent,V3,356,431,0.7138,1.401,3.494,0.5949,1.681,2.469,0.471,2.123,1.89,0.3534,2.83,1.547
