league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
bundesliga,2025-2026,22/08/2025,Bayern Munich,RB Leipzig,6,0,19,12,10,1,5,5,13,13,4,1,0,0,H,3,0,H,1.22,7,9,1.23,7,10.5,1.25,4,1.93,1.93,1.22,7,11,1.25,7,9.75,1.25,4,1.98,1.88
bundesliga,2025-2026,23/08/2025,Ein Frankfurt,Werder Bremen,4,1,18,10,5,5,7,1,9,9,1,3,0,0,H,2,0,H,1.7,4.1,4.5,1.71,4,4.5,1.57,2.38,1.88,1.98,1.53,4.75,5.25,1.53,4.6,5.25,1.4,3,1.83,2.03
bundesliga,2025-2026,23/08/2025,Freiburg,Augsburg,1,3,16,14,4,5,5,5,14,18,4,5,0,0,A,0,3,A,1.85,3.6,4.33,1.8,3.7,4.33,1.93,1.93,1.85,2,1.91,3.6,3.9,1.95,3.5,3.9,1.95,1.9,1.93,1.93
bundesliga,2025-2026,23/08/2025,Heidenheim,Wolfsburg,1,3,7,15,2,5,2,5,12,12,2,3,0,0,A,1,1,D,3.2,3.5,2.2,3,3.6,2.25,1.67,2.2,1.93,1.93,2.8,3.3,2.55,2.8,3.3,2.45,1.9,1.95,2.03,1.83
bundesliga,2025-2026,23/08/2025,Leverkusen,Hoffenheim,1,2,7,10,2,5,6,4,9,17,0,4,0,0,A,1,1,D,1.53,4.75,5.25,1.51,4.6,5.75,1.5,2.63,2.08,1.73,1.73,4.2,4.1,1.73,4.1,4.2,1.57,2.38,1.98,1.88
bundesliga,2025-2026,23/08/2025,Union Berlin,Stuttgart,2,1,8,21,2,6,5,11,21,13,4,4,0,0,H,2,0,H,3.4,3.7,2.05,3.25,3.6,2.1,1.67,2.2,2.05,1.8,4.1,3.75,1.83,3.8,3.75,1.88,1.62,2.3,2.03,1.83
bundesliga,2025-2026,23/08/2025,St Pauli,Dortmund,3,3,11,8,7,7,5,2,13,12,2,3,0,1,D,0,1,A,4.5,3.9,1.75,4.5,3.9,1.73,1.83,2.03,1.88,1.98,4.2,3.7,1.9,4.2,3.7,1.83,1.8,2,1.98,1.88
bundesliga,2025-2026,24/08/2025,Mainz,FC Koln,0,1,19,12,2,2,8,3,7,9,0,2,1,0,A,0,0,D,1.9,3.7,4,1.85,3.7,4.1,1.83,2.03,1.88,1.98,1.95,3.6,3.7,1.95,3.6,3.75,1.83,2.03,1.98,1.88
bundesliga,2025-2026,24/08/2025,M'gladbach,Hamburg,0,0,17,7,4,2,7,6,10,10,2,1,0,0,D,0,0,D,1.85,3.9,3.9,1.87,3.9,3.75,1.53,2.5,1.85,2,1.95,3.8,3.5,1.95,3.8,3.5,1.53,2.5,2,1.85
bundesliga,2025-2026,29/08/2025,Hamburg,St Pauli,0,2,5,17,2,6,2,5,13,19,3,3,1,0,A,0,1,A,2.4,3.3,3,2.37,3.3,3,2,1.8,2.05,1.8,2.45,3.2,3,2.45,3.2,2.95,2.2,1.67,2.1,1.78
bundesliga,2025-2026,30/08/2025,Hoffenheim,Ein Frankfurt,1,3,17,9,5,6,4,5,14,10,2,3,0,0,A,0,2,A,2.88,3.75,2.25,2.85,3.8,2.25,1.5,2.63,1.85,2,2.6,3.8,2.45,2.65,3.8,2.37,1.44,2.75,2.03,1.83
