league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,Referee,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
epl,2026-2027,21/08/2026,Arsenal,Coventry,3,0,20,4,6,1,8,2,10,13,1,1,0,0,H,2,0,H,T Bramall,1.2,7,13,1.2,6.5,12,1.57,2.38,2.03,1.78,1.18,7.5,13,1.2,6.5,11.5,1.57,2.38,2.05,1.75
epl,2026-2027,22/08/2026,Hull,Man United,2,0,8,21,4,5,1,6,10,9,2,1,0,0,H,2,0,H,D England,8.5,5,1.36,7.5,4.6,1.38,1.67,2.2,1.78,2.03,9,5,1.33,7.25,4.8,1.36,1.57,2.38,1.88,1.98
epl,2026-2027,22/08/2026,Everton,Crystal Palace,2,0,16,11,5,4,4,0,5,15,0,1,0,0,H,1,0,H,P Tierney,2.15,3.5,3.3,2.1,3.3,3.2,1.95,1.9,1.88,1.98,2.38,3.4,3,2.25,3.25,3,1.98,1.88,2.05,1.8
epl,2026-2027,22/08/2026,Ipswich,Sunderland,2,1,10,11,3,4,3,5,12,14,0,3,0,0,H,1,1,D,F Hallam,2.7,3.3,2.63,2.65,3.25,2.5,1.98,1.88,1.95,1.9,3,3.3,2.5,2.7,3.1,2.5,2.2,1.67,2.1,1.78
epl,2026-2027,22/08/2026,Nott'm Forest,Leeds,0,1,12,11,2,3,3,2,15,14,2,1,0,0,A,0,0,D,R Jones,2.3,3.4,3.1,2.25,3.3,2.95,1.98,1.88,1.98,1.88,2.5,3.2,2.9,2.37,3.1,2.9,2.2,1.67,2.1,1.7
epl,2026-2027,22/08/2026,Brentford,Tottenham,3,0,26,9,8,4,7,3,17,14,1,1,0,0,H,2,0,H,M Oliver,2.4,3.7,2.75,2.37,3.4,2.7,1.67,2.2,1.8,2.05,1.95,3.9,3.5,1.95,3.6,3.4,1.67,2.2,1.98,1.88
epl,2026-2027,23/08/2026,Brighton,Aston Villa,4,0,21,6,6,0,5,2,12,11,2,3,0,1,H,4,0,H,P Bankes,2.15,3.6,3,2.15,3.5,3.1,1.73,2.1,1.93,1.93,2.05,3.5,3.5,2,3.3,3.4,2.03,1.83,1.75,2.05
epl,2026-2027,23/08/2026,Man City,Bournemouth,2,1,13,5,6,4,8,3,11,11,1,2,0,0,H,0,1,A,J Gillett,1.48,4.5,6.25,1.46,4.75,5.75,1.44,2.75,1.98,1.88,1.45,4.5,7,1.43,4.75,6,1.57,2.38,1.95,1.9
epl,2026-2027,23/08/2026,Newcastle,Liverpool,2,2,13,27,4,7,2,6,16,15,5,3,0,0,D,1,0,H,S Attwell,4,3.8,1.9,3.5,3.8,1.87,1.5,2.63,1.98,1.88,3.9,3.9,1.85,3.6,3.7,1.88,1.44,2.75,1.98,1.88
epl,2026-2027,24/08/2026,Fulham,Chelsea,2,3,14,18,6,6,6,4,12,7,2,3,0,0,A,1,2,A,J Brooks,3.6,3.8,1.9,3.5,3.5,1.93,1.67,2.2,1.98,1.88,3.6,3.5,2.05,3.4,3.4,2,1.91,1.91,1.83,2.03
epl,2026-2027,28/08/2026,Crystal Palace,Man City,1,4,9,18,1,9,2,6,8,11,1,2,0,0,A,0,1,A,A Madley,5,3.9,1.67,4.6,3.9,1.7,1.73,2.1,2,1.85,5,4.2,1.62,4.75,4.1,1.65,1.67,2.2,2.05,1.75
