league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
la-liga,2026-2027,15/08/2026,Alaves,Getafe,3,0,18,6,8,2,5,3,16,13,4,3,0,1,H,0,0,D,2.35,2.8,3.75,2.3,2.9,3.5,3.2,1.36,1.98,1.88,2.35,2.7,3.8,2.25,2.75,3.9,3.75,1.29,1.98,1.88
la-liga,2026-2027,15/08/2026,Sevilla,Vallecano,2,1,13,6,4,3,1,2,18,18,4,4,1,0,H,0,1,A,2.3,3.1,3.4,2.25,3.2,3.25,2.3,1.62,1.98,1.88,2.4,2.9,3.4,2.45,2.95,3.25,2.75,1.44,1.6,2.3
la-liga,2026-2027,16/08/2026,Santander,Villarreal,2,2,17,12,3,7,6,10,14,14,2,4,0,0,D,2,2,D,3.2,3.6,2.15,3.1,3.5,2.2,1.8,2,1.98,1.88,3.9,3.75,1.9,3.6,3.8,1.9,1.57,2.38,1.93,1.93
la-liga,2026-2027,16/08/2026,Espanol,Levante,3,0,16,4,6,0,0,1,17,7,3,0,0,0,H,2,0,H,2,3.25,4,2.1,3.25,3.6,2.2,1.67,1.7,2.1,2.1,3.2,3.8,2.1,3.25,3.6,2.2,1.67,2.08,1.73
la-liga,2026-2027,17/08/2026,La Coruna,Elche,1,1,8,11,3,6,2,6,17,12,2,2,0,0,D,1,0,H,2.3,3,3.5,2.37,3.1,3.1,2.3,1.62,2.03,1.83,2.15,3.2,3.6,2.2,3.1,3.7,2.3,1.62,2.03,1.83
la-liga,2026-2027,19/08/2026,Ath Madrid,Malaga,2,0,15,5,6,1,6,1,17,11,2,3,0,0,H,0,0,D,1.33,5.25,9.5,1.31,5.25,10.5,1.73,2.1,1.98,1.88,1.45,4.6,7,1.46,4.6,6.5,1.67,2.2,2.03,1.83
la-liga,2026-2027,20/08/2026,Vallecano,Alaves,1,1,8,15,3,3,9,7,14,13,1,2,0,0,D,0,0,D,2.25,3,3.6,2.25,3,3.5,2.75,1.44,1.93,1.93,2.45,3.2,3.1,2.45,2.95,3.1,2.3,1.62,2.1,1.78
la-liga,2026-2027,21/08/2026,Betis,Sociedad,1,0,18,9,7,3,4,5,9,12,3,3,0,0,H,0,0,D,2.05,3.5,3.5,2.05,3.6,3.5,1.8,2,2.05,1.75,2.1,3.4,3.5,2.1,3.4,3.4,1.8,2,1.85,2
la-liga,2026-2027,22/08/2026,Ath Bilbao,Sevilla,1,3,18,7,8,4,10,3,11,16,2,5,1,0,A,0,1,A,1.7,3.6,5.25,1.71,3.6,5.25,2.2,1.67,1.98,1.88,1.75,3.6,5,1.75,3.6,4.8,2.1,1.73,1.98,1.88
la-liga,2026-2027,22/08/2026,Valencia,Celta,0,0,8,7,2,3,1,2,17,17,2,3,0,0,D,0,0,D,2.35,3.2,3.2,2.35,3.2,3.1,2.2,1.67,2.03,1.83,2.45,3.1,3,2.4,3.1,3.1,2.38,1.57,2.1,1.78
