league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
ligue-1,2025-2026,15/08/2025,Rennes,Marseille,1,0,12,24,5,2,1,12,8,11,2,3,1,0,H,0,0,D,3.5,3.6,2.05,3.4,3.5,2.05,1.88,1.98,1.8,2.05,3.9,3.6,1.91,3.8,3.6,1.95,1.8,2,1.95,1.9
ligue-1,2025-2026,16/08/2025,Lens,Lyon,0,1,18,11,5,3,13,8,13,20,2,3,0,0,A,0,1,A,2.3,3.6,2.9,2.25,3.6,2.95,1.67,2.2,2,1.85,2.5,3.4,2.75,2.45,3.5,2.7,1.73,2.1,1.8,2.05
ligue-1,2025-2026,16/08/2025,Monaco,Le Havre,3,1,13,9,3,4,5,4,5,14,0,1,0,0,H,1,0,H,1.33,5.25,8,1.36,5.25,7.75,1.53,2.5,1.95,1.9,1.22,7,11,1.22,6.5,12.5,1.4,3,2,1.85
ligue-1,2025-2026,16/08/2025,Nice,Toulouse,0,1,13,10,2,2,9,4,12,13,2,3,0,0,A,0,0,D,2.1,3.3,3.6,2.15,3.4,3.3,2,1.85,1.8,2.05,1.91,3.4,4.1,1.98,3.4,3.9,2,1.85,1.98,1.88
ligue-1,2025-2026,17/08/2025,Brest,Lille,3,3,18,10,5,6,2,2,11,13,2,1,0,0,D,1,2,A,3.3,3.4,2.2,3.2,3.5,2.15,1.9,1.95,1.93,1.93,2.45,3.2,3,2.45,3.25,2.9,2.05,1.8,2.1,1.78
ligue-1,2025-2026,17/08/2025,Angers,Paris FC,1,0,8,17,2,7,3,7,14,10,2,1,1,0,H,1,0,H,2.63,3.2,2.8,2.6,3.2,2.75,2.2,1.67,1.88,1.98,3.1,3.25,2.35,3,3.3,2.35,2,1.85,1.83,2.03
ligue-1,2025-2026,17/08/2025,Auxerre,Lorient,1,0,7,14,3,3,4,5,18,14,3,2,0,0,H,0,0,D,2.38,3.3,3,2.35,3.4,2.9,1.9,1.95,2.05,1.8,2.55,3.2,2.88,2.5,3.2,2.85,2.1,1.73,1.8,2.05
ligue-1,2025-2026,17/08/2025,Metz,Strasbourg,0,1,2,9,0,4,3,3,16,13,2,2,0,0,A,0,0,D,3.2,3.4,2.25,2.95,3.4,2.3,1.88,1.98,1.88,1.98,3.75,3.5,2,3.6,3.4,2.05,1.88,1.98,1.83,2.03
ligue-1,2025-2026,17/08/2025,Nantes,Paris SG,0,1,6,18,0,4,2,7,6,6,1,1,0,0,A,0,0,D,7.5,5.5,1.36,7.75,5.75,1.34,1.44,2.75,1.88,1.98,13,7,1.2,13,6.75,1.21,1.44,2.75,1.8,2.05
ligue-1,2025-2026,22/08/2025,Paris SG,Angers,1,0,21,3,4,0,12,0,3,9,0,0,0,0,H,0,0,D,1.08,12,21,1.1,11.5,26,1.25,4,1.93,1.93,1.06,13,23,1.08,12.5,31,1.25,4,1.75,2.05
ligue-1,2025-2026,23/08/2025,Marseille,Paris FC,5,2,12,8,7,4,5,2,9,12,1,0,0,0,H,2,1,H,1.38,5,7.5,1.39,5,7.5,1.65,2.2,2.05,1.75,1.42,5,6.25,1.41,5,7,1.53,2.4,1.93,1.93
ligue-1,2025-2026,23/08/2025,Nice,Auxerre,3,1,16,12,6,8,5,4,10,15,2,2,0,1,H,2,1,H,1.62,4.2,5,1.62,4.2,5,1.73,2.08,1.83,2.03,1.85,3.7,4.1,1.83,3.6,4.33,2,1.85,1.85,2
ligue-1,2025-2026,23/08/2025,Lyon,Metz,3,0,13,11,8,2,4,3,13,15,0,2,0,0,H,2,0,H,1.4,5,7,1.41,5,7,1.53,2.5,1.85,2,1.4,5,7,1.41,5,7,1.53,2.5,1.83,2.03
ligue-1,2025-2026,24/08/2025,Lorient,Rennes,4,0,22,5,7,1,3,2,18,7,6,0,0,2,H,1,0,H,2.8,3.3,2.55,2.75,3.3,2.5,1.98,1.88,2,1.85,2.75,3.3,2.55,2.7,3.3,2.55,2,1.85,1.97,1.77
ligue-1,2025-2026,24/08/2025,Le Havre,Lens,1,2,18,6,6,3,7,0,17,16,3,1,0,0,A,1,2,A,3.75,3.6,1.95,3.7,3.7,1.93,1.85,2,1.9,1.95,4.2,3.6,1.85,4,3.7,1.85,1.83,2.03,2.03,1.83
ligue-1,2025-2026,24/08/2025,Strasbourg,Nantes,1,0,15,9,4,2,7,6,11,9,2,2,0,0,H,0,0,D,1.75,3.5,5,1.8,3.7,4.33,1.93,1.93,2,1.85,1.75,3.5,5,1.77,3.6,4.6,2.05,1.8,2.03,1.83
ligue-1,2025-2026,24/08/2025,Toulouse,Brest,2,0,6,16,3,2,3,9,14,10,0,1,0,0,H,0,0,D,2.1,3.6,3.3,2.1,3.5,3.4,1.93,1.93,1.83,2.03,2.2,3.4,3.25,2.2,3.4,3.2,2.03,1.83,1.93,1.93
ligue-1,2025-2026,24/08/2025,Lille,Monaco,1,0,18,6,1,1,8,3,7,14,1,2,0,0,H,0,0,D,3.1,3.6,2.2,2.85,3.6,2.3,1.67,2.15,1.9,1.95,3.2,3.7,2.15,3.2,3.6,2.15,1.67,2.15,1.98,1.88
ligue-1,2025-2026,29/08/2025,Lens,Brest,3,1,30,9,10,2,15,1,7,12,1,3,0,1,H,0,1,A,1.85,3.75,4,1.87,3.7,4,1.8,2,1.85,2,1.91,3.6,3.75,1.93,3.7,3.7,1.73,2.1,1.95,1.9
ligue-1,2025-2026,30/08/2025,Lorient,Lille,1,7,6,20,2,11,3,8,14,18,3,3,0,0,A,0,0,D,3.4,3.5,2.1,3.3,3.5,2.1,1.88,1.98,2,1.85,3.3,3.4,2.15,3.3,3.4,2.15,1.9,1.95,1.92,1.82
ligue-1,2025-2026,30/08/2025,Nantes,Auxerre,1,0,4,14,3,4,3,9,13,11,1,3,0,0,H,1,0,H,2.2,3.4,3.25,2.3,3.2,3.2,2.2,1.67,1.93,1.93,2.5,3.3,2.75,2.45,3.25,2.87,2.05,1.8,1.83,2.03
ligue-1,2025-2026,30/08/2025,Toulouse,Paris SG,3,6,14,13,6,8,5,7,7,11,1,0,0,0,A,1,4,A,8.5,5.25,1.33,8.75,5.25,1.34,1.57,2.38,1.88,1.98,8.5,5.25,1.33,8.5,5.25,1.34,1.53,2.5,1.93,1.93
ligue-1,2025-2026,31/08/2025,Angers,Rennes,1,1,10,15,7,7,1,7,9,11,2,2,0,0,D,0,1,A,3.4,3.5,2.1,3.25,3.4,2.15,2.05,1.8,2.03,1.83,4.75,3.5,1.77,4.2,3.6,1.83,1.93,1.93,1.8,2.05
ligue-1,2025-2026,31/08/2025,Le Havre,Nice,3,1,12,7,8,3,0,5,13,16,1,4,0,0,H,1,0,H,3.6,3.5,2.05,3.5,3.4,2.1,1.88,1.98,1.8,2.05,3.1,3.3,2.3,3.25,3.4,2.2,1.95,1.9,1.88,1.98
ligue-1,2025-2026,31/08/2025,Monaco,Strasbourg,3,2,12,12,4,4,6,5,13,12,2,1,0,1,H,1,0,H,1.55,4.33,5.5,1.55,4.33,5.5,1.62,2.3,1.9,1.95,1.42,5.25,6.25,1.42,4.8,7,1.44,2.75,1.9,1.95
ligue-1,2025-2026,31/08/2025,Paris FC,Metz,3,2,24,14,9,2,14,6,4,8,1,1,0,1,H,1,1,D,1.8,3.7,4.33,1.85,3.6,4.2,1.98,1.88,1.8,2.05,1.73,4,4.5,1.77,3.7,4.5,1.85,2,1.98,1.88
ligue-1,2025-2026,31/08/2025,Lyon,Marseille,1,0,17,5,5,2,9,4,16,11,2,2,0,1,H,0,0,D,2.63,3.6,2.5,2.7,3.7,2.4,1.53,2.4,2.03,1.83,2.8,3.4,2.45,2.87,3.5,2.35,1.75,2.05,1.73,2.08
ligue-1,2025-2026,12/09/2025,Marseille,Lorient,4,0,15,4,8,1,10,0,18,5,3,2,0,1,H,3,0,H,1.38,5,7.5,1.36,5.25,7.5,1.5,2.63,2.03,1.83,1.36,5,8.5,1.36,5.25,8.25,1.67,2.2,2.03,1.83
