league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,B365>2.5,B365<2.5,B365AHH,B365AHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,B365C>2.5,B365C<2.5,B365CAHH,B365CAHA
serie-a,2025-2026,23/08/2025,Genoa,Lecce,0,0,5,7,2,0,3,7,16,13,2,3,0,0,D,0,0,D,1.9,3.3,4.5,1.95,3.25,4.2,2.38,1.57,1.9,1.95,1.75,3.4,5.25,1.78,3.4,5,2.5,1.53,2.03,1.83
serie-a,2025-2026,23/08/2025,Sassuolo,Napoli,0,2,7,13,2,4,1,2,17,17,3,1,1,0,A,0,1,A,6,4,1.57,5.75,4,1.57,1.98,1.88,1.85,2,5.75,3.7,1.65,5.5,3.75,1.65,2.03,1.83,2.03,1.83
serie-a,2025-2026,23/08/2025,Milan,Cremonese,1,2,24,4,6,3,9,2,10,14,1,4,0,0,A,1,1,D,1.33,5.25,9,1.36,5,8.25,1.67,2.2,2,1.85,1.3,5.5,9.5,1.35,5,9,1.73,2.1,1.93,1.93
serie-a,2025-2026,23/08/2025,Roma,Bologna,1,0,14,10,4,2,2,4,15,13,1,1,0,0,H,0,0,D,2.1,3.3,3.5,2.1,3.3,3.5,2.1,1.73,1.8,2.05,2.2,3.2,3.5,2.1,3.2,3.6,2.2,1.67,1.88,1.98
serie-a,2025-2026,24/08/2025,Cagliari,Fiorentina,1,1,14,4,6,1,3,2,18,14,4,2,0,0,D,0,0,D,3.25,3.3,2.25,3,3.3,2.3,2.1,1.73,1.93,1.93,3,3,2.55,3,3.1,2.45,2.3,1.62,1.7,2.1
serie-a,2025-2026,24/08/2025,Como,Lazio,2,0,19,5,6,1,6,0,15,12,2,3,0,0,H,0,0,D,2.4,3.25,3,2.5,3.3,2.8,2.03,1.83,2.1,1.78,2.3,3.3,3.1,2.35,3.3,3,1.93,1.93,1.98,1.88
serie-a,2025-2026,24/08/2025,Atalanta,Pisa,1,1,21,11,6,2,10,4,9,10,2,0,0,0,D,0,1,A,1.4,5,7,1.4,4.8,7.5,1.67,2.2,2.08,1.73,1.48,4.5,6.5,1.47,4.5,6.5,1.8,2,2.08,1.73
serie-a,2025-2026,24/08/2025,Juventus,Parma,2,0,25,8,8,2,6,6,9,13,1,2,1,0,H,0,0,D,1.42,4.75,7.5,1.43,4.6,7,1.73,2.1,1.98,1.88,1.42,4.5,8,1.42,4.5,7.75,2.1,1.73,2,1.85
serie-a,2025-2026,25/08/2025,Udinese,Verona,1,1,14,9,4,3,5,1,14,14,3,2,0,0,D,0,0,D,1.95,3.3,4.1,1.98,3.3,4,2.2,1.67,1.98,1.88,1.95,3.2,4.33,1.93,3.2,4.4,2.63,1.5,1.98,1.88
serie-a,2025-2026,25/08/2025,Inter,Torino,5,0,20,12,9,4,6,5,14,6,0,0,0,0,H,2,0,H,1.42,4.75,7.5,1.43,4.6,7.25,1.73,2.1,1.93,1.93,1.36,5,8.5,1.36,5,8.5,1.67,2.2,2.03,1.83
serie-a,2025-2026,29/08/2025,Cremonese,Sassuolo,3,2,11,9,6,6,5,4,12,17,2,2,0,0,H,2,0,H,2.6,3.2,2.75,2.5,3.25,2.85,2.1,1.73,1.85,2,2.8,3.1,2.6,2.8,3.1,2.6,2.2,1.67,2.03,1.83
serie-a,2025-2026,29/08/2025,Lecce,Milan,0,2,7,14,2,6,4,5,10,8,1,0,0,0,A,0,0,D,6,3.9,1.57,5.75,4,1.58,2,1.85,1.8,2.05,7,3.7,1.53,6.25,3.75,1.58,2.1,1.73,1.85,2
serie-a,2025-2026,30/08/2025,Bologna,Como,1,0,15,13,2,2,7,4,13,19,4,3,0,0,H,0,0,D,2.45,3.1,3.1,2.45,3.1,3,2.3,1.62,2.1,1.78,2.88,3.1,2.63,2.75,3,2.7,2.2,1.67,2.03,1.83
serie-a,2025-2026,30/08/2025,Parma,Atalanta,1,1,7,11,3,3,1,2,8,15,2,2,0,0,D,0,0,D,4.1,3.5,1.91,3.8,3.5,1.98,1.93,1.93,1.9,1.95,4.33,3.75,1.8,4.5,3.7,1.77,1.73,2.1,1.83,2.03
serie-a,2025-2026,30/08/2025,Napoli,Cagliari,1,0,20,10,6,1,13,0,16,12,2,1,0,0,H,0,0,D,1.3,5,11,1.31,5.25,10.5,1.85,2,1.98,1.88,1.4,4.33,9,1.42,4.33,8.5,2.2,1.67,2,1.85
serie-a,2025-2026,30/08/2025,Pisa,Roma,0,1,7,10,3,5,1,7,14,10,2,1,0,0,A,0,0,D,5.25,3.6,1.7,4.75,3.7,1.73,2.03,1.83,1.9,1.95,5.25,3.5,1.73,5.25,3.5,1.72,2.1,1.73,1.9,1.95
serie-a,2025-2026,31/08/2025,Genoa,Juventus,0,1,10,13,1,3,3,4,14,15,1,2,0,0,A,0,0,D,4.5,3.4,1.85,4.4,3.3,1.87,2.3,1.62,2,1.85,5.25,3.2,1.83,4.8,3.2,1.87,2.75,1.44,2.03,1.83
serie-a,2025-2026,31/08/2025,Torino,Fiorentina,0,0,7,16,4,4,7,3,21,13,2,2,0,0,D,0,0,D,3.2,3.1,2.4,3.1,3.2,2.4,2.3,1.62,1.8,2.05,3.2,3,2.4,3.1,3,2.45,2.2,1.67,1.83,2.03
serie-a,2025-2026,31/08/2025,Inter,Udinese,1,2,16,10,4,5,13,2,17,5,1,3,0,0,A,1,2,A,1.3,5.25,9.5,1.32,5.5,9.25,1.62,2.3,1.93,1.93,1.24,6,10,1.28,5.75,10,1.53,2.5,1.78,2.03
serie-a,2025-2026,31/08/2025,Lazio,Verona,4,0,22,12,6,4,8,1,8,19,0,0,0,0,H,3,0,H,1.48,4.33,7,1.46,4.4,7,1.93,1.93,2.05,1.75,1.52,3.9,6.5,1.57,3.9,6.25,2.1,1.73,2.03,1.83
serie-a,2025-2026,13/09/2025,Cagliari,Parma,2,0,12,17,5,5,4,5,15,18,3,1,0,0,H,1,0,H,2.15,3.2,3.6,2.15,3.2,3.5,2.2,1.67,1.85,2,2.2,3.1,3.5,2.25,3.1,3.3,2.1,1.73,1.95,1.9
serie-a,2025-2026,13/09/2025,Juventus,Inter,4,3,12,18,4,4,5,9,14,10,2,1,0,0,H,2,1,H,2.75,3,2.75,2.7,3,2.75,2.2,1.67,1.93,1.93,2.7,2.88,2.8,2.75,3,2.8,2.3,1.62,1.9,1.95
serie-a,2025-2026,13/09/2025,Fiorentina,Napoli,1,3,19,14,3,9,8,5,14,14,0,0,0,0,A,0,2,A,3.5,3.1,2.25,3.4,3.1,2.25,2.38,1.57,1.93,1.93,4.33,3.2,1.95,3.9,3.2,2.05,2.2,1.67,1.88,1.98
serie-a,2025-2026,14/09/2025,Roma,Torino,0,1,22,8,5,4,7,4,11,17,2,3,0,0,A,0,0,D,1.5,4.1,7,1.52,4.1,6.5,2.05,1.8,1.88,1.98,1.53,4.1,6.5,1.51,4.1,6.75,2.1,1.73,1.93,1.93
serie-a,2025-2026,14/09/2025,Atalanta,Lecce,4,1,19,12,8,3,8,2,12,7,0,0,0,0,H,1,0,H,1.4,4.5,8.5,1.41,4.75,7.75,1.8,2,1.9,1.95,1.4,4.5,8.5,1.38,4.75,8.5,1.8,2,1.88,1.98
