captured_at,match_date,event_id,kickoff_at,snapshot_kind,bookmaker,competition,home_team,away_team,team,market,line,side,odds_decimal,source,notes
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Bologna FC,TEAM_SHOTS,10.5,over,1.9090,odds_api_io,market=Total Shots Away
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Bologna FC,TEAM_SHOTS,10.5,under,1.8000,odds_api_io,market=Total Shots Away
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Atalanta BC,TEAM_SHOTS,15.5,over,2.0000,odds_api_io,market=Total Shots Home
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Atalanta BC,TEAM_SHOTS,15.5,under,1.7270,odds_api_io,market=Total Shots Home
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Atalanta BC,TEAM_SHOTS,15.5,over,2.0000,odds_api_io,market=Team Shots Home
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Atalanta BC,TEAM_SHOTS,15.5,under,1.7270,odds_api_io,market=Team Shots Home
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Bologna FC,TEAM_SHOTS,10.5,over,1.9090,odds_api_io,market=Team Shots Away
2026-08-28T20:48:39Z,2026-08-31,71945206,2026-08-31T18:45:00Z,live_capture,Bet365,Serie A,Atalanta BC,Bologna FC,Bologna FC,TEAM_SHOTS,10.5,under,1.8000,odds_api_io,market=Team Shots Away
2026-08-28T20:48:39Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,over,2.1000,odds_api_io,market=Team Shots Away
2026-08-28T20:48:39Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,under,1.6660,odds_api_io,market=Team Shots Away
2026-08-28T20:48:39Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Juventus Turin,TEAM_SHOTS,19.5,over,1.9090,odds_api_io,market=Total Shots Home
2026-08-28T20:48:39Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Juventus Turin,TEAM_SHOTS,19.5,under,1.8000,odds_api_io,market=Total Shots Home
2026-08-28T20:48:39Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,over,2.1000,odds_api_io,market=Total Shots Away
2026-08-28T20:48:39Z,2026-08-29,71945212,2026-08-29T18:45:00Z,live_capture,Bet365,Serie A,Juventus Turin,Parma Calcio,Parma Calcio,TEAM_SHOTS,8.5,under,1.6660,odds_api_io,market=Total Shots Away
