date,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_fair_odds,edge,stake_units,actual_shots,result,pnl,pnl_staked,closing_odds,clv,logged_at
2026-04-11,bundesliga,Borussia Dortmund,Bayer Leverkusen,Bayer Leverkusen,away,Bet365,10.5,over,1.909,0.6237,1.603,0.1906,,11,won,0.909,0.909,1.909,0.0,2026-04-09T11:46:22Z
2026-04-12,epl,Sunderland AFC,Tottenham Hotspur,Tottenham Hotspur,away,Bet365,11.5,over,1.909,0.5993,1.537,0.144,,,pending,,,,,2026-04-09T12:08:20Z
2026-04-12,epl,Nottingham Forest,Aston Villa,Aston Villa,away,Bet365,11.5,over,1.8,0.6193,1.45,0.1147,,12,won,0.8,0.8,1.8,0.0,2026-04-09T12:08:20Z
2026-04-10,serie-a,AS Roma,Pisa SC,Pisa SC,away,Bet365,8.5,under,1.727,0.6675,1.498,0.1527,,9,lost,-1.0,-1.0,1.727,0.0,2026-04-09T23:41:43Z
2026-04-10,serie-a,AS Roma,Pisa SC,AS Roma,home,Bet365,17.5,under,1.8,0.6216,1.609,0.1189,,8,won,0.8,0.8,1.909,-0.0571,2026-04-09T23:41:43Z
2026-04-10,la-liga,Real Madrid,Girona FC,Girona FC,away,Bet365,8.5,under,2.0,0.5452,1.834,0.0904,,10,lost,-1.0,-1.0,2.0,0.0,2026-04-09T23:41:43Z
2026-04-10,la-liga,Real Madrid,Girona FC,Real Madrid,home,Bet365,20.5,under,1.833,0.6981,1.432,0.2797,,22,lost,-1.0,-1.0,1.833,0.0,2026-04-09T23:41:43Z
2026-04-11,bundesliga,RB Leipzig,Borussia Monchengladbach,RB Leipzig,home,Bet365,16.5,under,2.0,0.6145,1.627,0.2289,,24,lost,-1.0,-1.0,1.909,0.0477,2026-04-09T23:41:43Z
2026-04-12,epl,Nottingham Forest,Aston Villa,Nottingham Forest,home,Bet365,14.5,under,1.833,0.6535,1.53,0.1979,,15,lost,-1.0,-1.0,1.833,0.0,2026-04-09T23:41:43Z
2026-04-12,serie-a,Bologna FC,US Lecce,Bologna FC,home,Bet365,14.5,over,2.0,0.5506,1.816,0.1013,,,pending,,,,,2026-04-09T23:41:43Z
2026-04-10,bundesliga,FC Augsburg,TSG Hoffenheim,TSG Hoffenheim,away,Bet365,13.5,over,1.727,0.6234,1.604,0.0766,,13,lost,-1.0,-1.0,1.8,-0.0406,2026-04-10T12:56:05Z
2026-04-10,bundesliga,FC Augsburg,TSG Hoffenheim,FC Augsburg,home,Bet365,13.5,under,1.727,0.6297,1.588,0.0875,,17,lost,-1.0,-1.0,1.727,0.0,2026-04-10T12:56:05Z
2026-04-10,la-liga,Real Madrid,Girona FC,Girona FC,away,Bet365,9.5,under,1.8,0.6736,1.485,0.2125,,10,lost,-1.0,-1.0,1.8,0.0,2026-04-10T12:56:05Z
2026-04-11,bundesliga,Borussia Dortmund,Bayer Leverkusen,Borussia Dortmund,home,Bet365,13.5,under,1.8,0.6077,1.646,0.0939,,14,lost,-1.0,-1.0,1.8,0.0,2026-04-10T12:56:05Z
2026-04-11,bundesliga,RB Leipzig,Borussia Monchengladbach,Borussia Monchengladbach,away,Bet365,10.5,under,1.833,0.7033,1.422,0.2891,,15,lost,-1.0,-1.0,1.833,0.0,2026-04-10T12:56:05Z
2026-04-12,epl,Crystal Palace,Newcastle United,Newcastle United,away,Bet365,13.5,under,1.909,0.5995,1.668,0.1444,,7,won,0.909,0.909,1.909,0.0,2026-04-10T12:56:05Z
2026-04-12,epl,Crystal Palace,Newcastle United,Crystal Palace,home,Bet365,12.5,over,1.727,0.6123,1.633,0.0574,,11,lost,-1.0,-1.0,2.0,-0.1365,2026-04-10T12:56:05Z
2026-04-12,la-liga,CA Osasuna,Real Betis Seville,CA Osasuna,home,Bet365,13.5,under,1.727,0.7095,1.409,0.2253,,,pending,,,,,2026-04-10T12:56:05Z
2026-04-12,la-liga,Athletic Bilbao,Villarreal CF,Villarreal CF,away,Bet365,10.5,under,1.8,0.7062,1.416,0.2712,,,pending,,,,,2026-04-10T12:56:05Z
2026-04-12,la-liga,Athletic Bilbao,Villarreal CF,Athletic Bilbao,home,Bet365,14.5,under,1.8,0.6618,1.511,0.1912,,,pending,,,,,2026-04-10T12:56:05Z
2026-04-12,la-liga,RCD Mallorca,Rayo Vallecano,Rayo Vallecano,away,Bet365,11.5,over,1.727,0.7824,1.278,0.3512,,,pending,,,,,2026-04-10T12:56:05Z
2026-04-12,la-liga,RC Celta de Vigo,Real Oviedo,RC Celta de Vigo,home,Bet365,14.5,under,1.909,0.6317,1.583,0.2058,,,pending,,,,,2026-04-10T12:56:05Z
2026-04-12,bundesliga,1. FC Cologne,Werder Bremen,Werder Bremen,away,Bet365,12.5,under,1.909,0.5591,1.789,0.0673,,,pending,,,,,2026-04-10T12:56:05Z
2026-04-12,bundesliga,VfB Stuttgart,Hamburger SV,Hamburger SV,away,Bet365,10.5,under,1.727,0.6424,1.557,0.1094,,,pending,,,,,2026-04-10T12:56:05Z
2026-04-12,la-liga,Athletic Bilbao,Villarreal CF,Villarreal CF,away,Bet365,9.5,under,1.909,0.5876,1.702,0.1217,,,pending,,,,,2026-04-10T17:51:37Z
2026-04-13,la-liga,Levante UD,Getafe CF,Getafe CF,away,Bet365,12.5,under,1.727,0.7247,1.38,0.2516,2.0,,pending,,,,,2026-04-12T08:54:09Z
