date,fixture_date,kickoff_iso,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_fair_odds,edge,stake_units,actual_shots,result,pnl,pnl_staked,settled_at,closing_odds,clv,logged_at,policy_version
2026-04-10,2026-04-10,,serie-a,AS Roma,Pisa SC,AS Roma,home,Bet365,17.5,under,1.909,0.6695,1.494,0.2781,2.0,8,won,0.909,1.818,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-10,2026-04-10,,epl,West Ham United,Wolverhampton Wanderers,West Ham United,home,Bet365,13.5,under,1.8,0.6408,1.561,0.1534,0.5,18,lost,-1.0,-0.5,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-10,2026-04-10,,la-liga,Real Madrid,Girona FC,Real Madrid,home,Bet365,18.5,over,1.833,0.6809,1.469,0.248,1.5,22,won,0.833,1.249,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,epl,Brentford FC,Everton FC,Brentford FC,home,Bet365,13.5,under,1.833,0.6433,1.554,0.1792,1.0,17,lost,-1.0,-1.0,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,epl,Burnley FC,Brighton & Hove Albion,Burnley FC,home,Bet365,11.5,under,1.833,0.6168,1.621,0.1306,0.5,10,won,0.833,0.416,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,serie-a,Cagliari Calcio,US Cremonese,US Cremonese,away,Bet365,10.5,under,1.909,0.6166,1.622,0.1771,1.0,5,won,0.909,0.909,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,la-liga,Elche CF,Valencia CF,Elche CF,home,Bet365,12.5,under,1.909,0.7082,1.412,0.352,2.0,8,won,0.909,1.818,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,la-liga,Sevilla FC,Atletico Madrid,Atletico Madrid,away,Bet365,12.5,under,1.909,0.6962,1.436,0.329,2.0,13,lost,-1.0,-2.0,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,bundesliga,RB Leipzig,Borussia Monchengladbach,Borussia Monchengladbach,away,Bet365,10.5,under,1.833,0.646,1.548,0.1841,1.0,15,lost,-1.0,-1.0,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,bundesliga,VFL Wolfsburg,Eintracht Frankfurt,VFL Wolfsburg,home,Bet365,12.5,under,1.727,0.7117,1.405,0.2291,1.5,22,lost,-1.0,-1.5,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,bundesliga,1. FC Heidenheim,Union Berlin,Union Berlin,away,Bet365,13.5,under,1.8,0.6378,1.568,0.148,0.5,10,won,0.8,0.4,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,la-liga,FC Barcelona,Espanyol Barcelona,FC Barcelona,home,Bet365,18.5,over,1.833,0.6731,1.486,0.2338,1.5,20,won,0.833,1.249,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,la-liga,Real Sociedad San Sebastian,Deportivo Alaves,Deportivo Alaves,away,Bet365,9.5,over,1.727,0.6546,1.528,0.1305,0.5,12,won,0.727,0.363,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-11,2026-04-11,,serie-a,Atalanta BC,Juventus Turin,Juventus Turin,away,Bet365,12.5,over,1.833,0.6201,1.613,0.1366,0.5,7,lost,-1.0,-0.5,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,serie-a,Genoa CFC,Sassuolo Calcio,Sassuolo Calcio,away,Bet365,10.5,under,1.909,0.5917,1.69,0.1296,0.5,15,lost,-1.0,-0.5,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,epl,Crystal Palace,Newcastle United,Newcastle United,away,Bet365,13.5,under,1.909,0.6244,1.602,0.192,1.0,7,won,0.909,0.909,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,epl,Chelsea FC,Manchester City,Chelsea FC,home,Bet365,12.5,under,1.833,0.6125,1.633,0.1227,0.5,12,won,0.833,0.416,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,serie-a,Parma Calcio,SSC Napoli,SSC Napoli,away,Bet365,13.5,under,2.0,0.6112,1.636,0.2224,1.5,20,lost,-1.0,-1.5,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,serie-a,Bologna FC,US Lecce,US Lecce,away,Bet365,9.5,under,1.833,0.7071,1.414,0.2961,2.0,6,won,0.833,1.666,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,serie-a,Como 1907,Inter Milano,Inter Milano,away,Bet365,12.5,under,1.909,0.6619,1.511,0.2636,2.0,7,won,0.909,1.818,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,la-liga,Athletic Bilbao,Villarreal CF,Villarreal CF,away,Bet365,10.5,under,1.8,0.7039,1.421,0.267,2.0,12,lost,-1.0,-2.0,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,la-liga,RCD Mallorca,Rayo Vallecano,RCD Mallorca,home,Bet365,12.5,under,1.727,0.6745,1.483,0.1649,1.0,12,won,0.727,0.727,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,la-liga,RC Celta de Vigo,Real Oviedo,RC Celta de Vigo,home,Bet365,14.5,under,1.833,0.6213,1.61,0.1388,0.5,9,won,0.833,0.416,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,bundesliga,FSV Mainz,SC Freiburg,FSV Mainz,home,Bet365,14.5,under,1.909,0.6224,1.607,0.1882,1.0,10,won,0.909,0.909,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-12,2026-04-12,,bundesliga,1. FC Cologne,Werder Bremen,1. FC Cologne,home,Bet365,14.5,under,1.8,0.7532,1.328,0.3558,2.0,25,lost,-1.0,-2.0,2026-04-24T10:42:24Z,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T14:00:00Z,epl,Liverpool FC,Crystal Palace,Crystal Palace,away,Bet365,8.5,over,1.727,0.7044,1.42,0.2165,1.5,,pending,,,,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T16:00:00Z,serie-a,Bologna FC,AS Roma,AS Roma,away,Bet365,11.5,under,1.8,0.6788,1.473,0.2218,1.5,,pending,,,,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T14:15:00Z,la-liga,Getafe CF,FC Barcelona,Getafe CF,home,Bet365,10.5,under,1.727,0.7147,1.399,0.2343,1.5,,pending,,,,,,2026-04-24T10:42:24Z,lambda-shots-nb-v2-raw
