date,fixture_date,kickoff_iso,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_fair_odds,edge,stake_units,actual_shots,result,pnl,pnl_staked,settled_at,closing_odds,clv,logged_at,policy_version
2026-04-25,2026-04-25,2026-04-25T14:15:00Z,la-liga,Getafe CF,FC Barcelona,Getafe CF,home,Bet365,10.5,under,1.727,0.8071,1.239,0.3939,2.0,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T13:30:00Z,bundesliga,1. FC Heidenheim,FC St. Pauli,FC St. Pauli,away,Bet365,12.5,under,1.833,0.7359,1.359,0.3489,2.0,11,won,0.833,1.666,2026-04-26T17:57:45Z,1.833,0.0,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-26,2026-04-26,2026-04-26T13:00:00Z,serie-a,Genoa CFC,Como 1907,Genoa CFC,home,Bet365,10.5,under,1.833,0.7204,1.388,0.3205,2.0,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T13:30:00Z,bundesliga,FSV Mainz,Bayern Munich,FSV Mainz,home,Bet365,11.5,under,1.833,0.6845,1.461,0.2547,2.0,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-24,2026-04-24,2026-04-24T18:45:00Z,serie-a,SSC Napoli,US Cremonese,US Cremonese,away,Bet365,8.5,under,1.727,0.72,1.389,0.2434,1.5,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T16:30:00Z,la-liga,Valencia CF,Girona FC,Girona FC,away,Bet365,9.5,under,2.0,0.6194,1.614,0.2388,1.5,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T13:30:00Z,bundesliga,VFL Wolfsburg,Borussia Monchengladbach,VFL Wolfsburg,home,Bet365,14.5,under,2.0,0.6188,1.616,0.2376,1.5,12,won,1.0,1.5,2026-04-26T17:57:45Z,2.0,0.0,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T13:00:00Z,serie-a,Parma Calcio,Pisa SC,Parma Calcio,home,Bet365,13.5,under,1.909,0.6341,1.577,0.2105,1.5,15,lost,-1.0,-1.5,2026-04-26T17:57:45Z,1.909,0.0,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T16:30:00Z,epl,Arsenal FC,Newcastle United,Newcastle United,away,Bet365,9.5,under,1.833,0.65,1.538,0.1915,1.0,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-26,2026-04-26,2026-04-26T13:30:00Z,bundesliga,VfB Stuttgart,Werder Bremen,VfB Stuttgart,home,Bet365,16.5,under,1.8,0.6467,1.546,0.1641,1.0,,pending,,,,,,2026-04-26T17:57:44Z,lambda-shots-nb-v2-raw
2026-04-27,2026-04-27,2026-04-27T19:00:00Z,epl,Manchester United,Brentford FC,Brentford FC,away,Bet365,9.5,under,2.0,0.5791,1.727,0.1582,0.5,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T18:45:00Z,serie-a,Hellas Verona,US Lecce,US Lecce,away,Bet365,10.5,under,1.8,0.6417,1.558,0.1551,0.5,12,lost,-1.0,-0.5,2026-04-26T17:57:45Z,1.8,0.0,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-25,2026-04-25,2026-04-25T19:00:00Z,la-liga,Atletico Madrid,Athletic Bilbao,Atletico Madrid,home,Bet365,11.5,under,2.0,0.5694,1.756,0.1388,0.5,,pending,,,,,,2026-04-24T10:42:44Z,lambda-shots-nb-v2-raw
2026-04-26,2026-04-26,2026-04-26T16:30:00Z,la-liga,CA Osasuna,Sevilla FC,Sevilla FC,away,Bet365,11.5,under,1.727,0.7469,1.339,0.2899,2.0,,pending,,,,,,2026-04-26T17:57:44Z,lambda-shots-nb-v2-raw
2026-04-26,2026-04-26,2026-04-26T19:00:00Z,la-liga,Villarreal CF,RC Celta de Vigo,Villarreal CF,home,Bet365,13.5,under,1.833,0.6916,1.446,0.2677,2.0,,pending,,,,,,2026-04-26T17:57:44Z,lambda-shots-nb-v2-raw
2026-04-27,2026-04-27,2026-04-27T19:00:00Z,la-liga,Espanyol Barcelona,Levante UD,Espanyol Barcelona,home,Bet365,15.5,under,2.0,0.604,1.656,0.208,1.5,,pending,,,,,,2026-04-26T17:57:44Z,lambda-shots-nb-v2-raw
