date,league,home_team,away_team,team_side,football_data_sot,fotmob_sot,delta,absolute_delta,exact_match,within_one,fotmob_match_id
2026-05-09,bundesliga,Augsburg,M'gladbach,home,10,10,0,0,True,True,4829603
2026-05-09,bundesliga,Augsburg,M'gladbach,away,4,4,0,0,True,True,4829603
2026-05-09,bundesliga,Hoffenheim,Werder Bremen,home,4,4,0,0,True,True,4829607
2026-05-09,bundesliga,Hoffenheim,Werder Bremen,away,2,2,0,0,True,True,4829607
2026-05-09,bundesliga,RB Leipzig,St Pauli,home,5,5,0,0,True,True,4829609
2026-05-09,bundesliga,RB Leipzig,St Pauli,away,3,3,0,0,True,True,4829609
2026-05-09,bundesliga,Wolfsburg,Bayern Munich,home,5,5,0,0,True,True,4829611
2026-05-09,bundesliga,Wolfsburg,Bayern Munich,away,9,9,0,0,True,True,4829611
2026-05-10,bundesliga,Hamburg,Freiburg,home,5,5,0,0,True,True,4829606
2026-05-10,bundesliga,Hamburg,Freiburg,away,3,3,0,0,True,True,4829606
2026-05-10,bundesliga,FC Koln,Heidenheim,home,7,7,0,0,True,True,4829605
2026-05-10,bundesliga,FC Koln,Heidenheim,away,5,5,0,0,True,True,4829605
2026-05-10,bundesliga,Mainz,Union Berlin,home,3,4,1,1,False,True,4829608
2026-05-10,bundesliga,Mainz,Union Berlin,away,9,9,0,0,True,True,4829608
2026-05-10,ligue-1,Angers,Strasbourg,home,4,4,0,0,True,True,4830746
2026-05-10,ligue-1,Angers,Strasbourg,away,6,6,0,0,True,True,4830746
2026-05-10,ligue-1,Le Havre,Marseille,home,2,2,0,0,True,True,4830748
2026-05-10,ligue-1,Le Havre,Marseille,away,3,3,0,0,True,True,4830748
2026-05-10,ligue-1,Metz,Lorient,home,2,2,0,0,True,True,4830750
2026-05-10,ligue-1,Metz,Lorient,away,7,7,0,0,True,True,4830750
2026-05-10,ligue-1,Monaco,Lille,home,3,3,0,0,True,True,4830751
2026-05-10,ligue-1,Monaco,Lille,away,2,2,0,0,True,True,4830751
2026-05-10,ligue-1,Rennes,Paris FC,home,5,4,-1,1,False,True,4830753
2026-05-10,ligue-1,Rennes,Paris FC,away,1,1,0,0,True,True,4830753
2026-05-13,ligue-1,Brest,Strasbourg,home,6,6,0,0,True,True,4830711
2026-05-13,ligue-1,Brest,Strasbourg,away,5,5,0,0,True,True,4830711
2026-05-16,bundesliga,Bayern Munich,FC Koln,home,7,7,0,0,True,True,4829613
2026-05-16,bundesliga,Bayern Munich,FC Koln,away,2,2,0,0,True,True,4829613
2026-05-16,bundesliga,Freiburg,RB Leipzig,home,5,5,0,0,True,True,4829616
2026-05-16,bundesliga,Freiburg,RB Leipzig,away,6,6,0,0,True,True,4829616
2026-05-16,bundesliga,Heidenheim,Mainz,home,5,5,0,0,True,True,4829617
2026-05-16,bundesliga,Heidenheim,Mainz,away,9,9,0,0,True,True,4829617
2026-05-16,bundesliga,M'gladbach,Hoffenheim,home,6,6,0,0,True,True,4829614
2026-05-16,bundesliga,M'gladbach,Hoffenheim,away,3,3,0,0,True,True,4829614
2026-05-16,bundesliga,St Pauli,Wolfsburg,home,2,2,0,0,True,True,4829618
2026-05-16,bundesliga,St Pauli,Wolfsburg,away,10,10,0,0,True,True,4829618
2026-05-16,bundesliga,Union Berlin,Augsburg,home,9,9,0,0,True,True,4829619
2026-05-16,bundesliga,Union Berlin,Augsburg,away,1,1,0,0,True,True,4829619
2026-05-17,la-liga,Ath Madrid,Girona,home,4,4,0,0,True,True,4837471
2026-05-17,la-liga,Ath Madrid,Girona,away,11,11,0,0,True,True,4837471
2026-05-17,la-liga,Elche,Getafe,home,3,3,0,0,True,True,4837473
2026-05-17,la-liga,Levante,Mallorca,home,3,3,0,0,True,True,4837474
2026-05-17,la-liga,Levante,Mallorca,away,3,3,0,0,True,True,4837474
2026-05-17,la-liga,Osasuna,Espanol,home,8,8,0,0,True,True,4837478
2026-05-17,la-liga,Osasuna,Espanol,away,3,3,0,0,True,True,4837478
2026-05-17,la-liga,Sevilla,Real Madrid,home,6,6,0,0,True,True,4837479
2026-05-17,la-liga,Sevilla,Real Madrid,away,1,1,0,0,True,True,4837479
2026-05-17,la-liga,Sociedad,Valencia,home,3,3,0,0,True,True,4837476
2026-05-17,la-liga,Sociedad,Valencia,away,6,6,0,0,True,True,4837476
2026-05-17,la-liga,Vallecano,Villarreal,home,7,7,0,0,True,True,4837475
2026-05-17,la-liga,Vallecano,Villarreal,away,2,2,0,0,True,True,4837475
2026-05-17,la-liga,Barcelona,Betis,home,9,9,0,0,True,True,4837472
2026-05-17,la-liga,Barcelona,Betis,away,2,2,0,0,True,True,4837472
2026-05-17,ligue-1,Brest,Angers,home,5,5,0,0,True,True,4830755
2026-05-17,ligue-1,Brest,Angers,away,2,2,0,0,True,True,4830755
2026-05-17,ligue-1,Lille,Auxerre,home,3,3,0,0,True,True,4830756
2026-05-17,ligue-1,Lille,Auxerre,away,4,4,0,0,True,True,4830756
2026-05-17,ligue-1,Lorient,Le Havre,home,2,2,0,0,True,True,4830757
2026-05-17,ligue-1,Lorient,Le Havre,away,4,4,0,0,True,True,4830757
