date,league,home_team,away_team,team,venue,bookmaker,line,side,book_odds,model_prob,model_prob_raw,model_fair_odds,edge,ev,actual_shots,won,pnl,kickoff_iso,note,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence
2026-04-10,serie-a,AS Roma,Pisa SC,Pisa SC,away,Bet365,8.5,over,2.0,0.5071,0.3372,1.972,0.0143,0.0143,9,True,1.0,,,,,,,,,,,,
2026-04-10,serie-a,AS Roma,Pisa SC,AS Roma,home,Bet365,17.5,under,1.909,0.7441,0.6695,1.344,0.4205,0.4205,8,True,0.909,,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona FC,Girona FC,away,Bet365,8.5,over,1.727,0.6026,0.4349,1.659,0.0408,0.0408,10,True,0.727,,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona FC,Real Madrid,home,Bet365,20.5,under,1.833,0.7351,0.5982,1.36,0.3474,0.3474,22,False,-1.0,,,,,,,,,,,,
2026-04-10,bundesliga,FC Augsburg,TSG Hoffenheim,TSG Hoffenheim,away,Bet365,13.5,over,1.8,0.5641,0.502,1.773,0.0154,0.0154,13,False,-1.0,,,,,,,,,,,,
2026-04-10,epl,West Ham United,Wolverhampton Wanderers,West Ham United,home,Bet365,13.5,under,1.8,0.5885,0.6408,1.699,0.0593,0.0593,18,False,-1.0,,,,,,,,,,,,
2026-04-10,serie-a,AS Roma,Pisa SC,AS Roma,home,Bet365,16.5,under,1.833,0.6724,0.6291,1.487,0.2326,0.2326,8,True,0.833,,,,,,,,,,,,
2026-04-10,la-liga,Real Madrid,Girona FC,Real Madrid,home,Bet365,18.5,over,1.833,0.6809,0.6809,1.469,0.248,0.248,22,True,0.833,,,,,,,,,,,,
2026-04-10,bundesliga,FC Augsburg,TSG Hoffenheim,FC Augsburg,home,Bet365,12.5,over,2.0,0.5556,0.4763,1.8,0.1112,0.1112,17,True,1.0,,,,,,,,,,,,
2026-04-11,epl,Liverpool FC,Fulham FC,Liverpool FC,home,Bet365,16.5,under,1.8,0.6142,0.5723,1.628,0.1055,0.1055,18,False,-1.0,,,,,,,,,,,,
