kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-05-24T15:00:00Z,epl,West Ham United,Leeds United,West Ham United,home,16.5,under,0.831,1.203,1.8,Bet365,0.4958,2026-05-21T19:16:38Z,11.6,11.63,0.0025,aligned,2.0,True
2026-05-23T19:00:00Z,la-liga,Getafe CF,CA Osasuna,Getafe CF,home,11.5,under,0.6724,1.487,1.909,Bet365,0.2836,2026-05-21T19:16:40Z,8.43,7.88,0.0655,aligned,2.0,True
2026-05-24T18:45:00Z,serie-a,US Lecce,Genoa CFC,US Lecce,home,13.5,under,0.6866,1.456,1.833,Bet365,0.2585,2026-05-21T19:16:39Z,10.41,10.5,0.0083,aligned,2.0,True
2026-05-23T19:00:00Z,la-liga,Girona FC,Elche CF,Girona FC,home,16.5,under,0.6939,1.441,1.8,Bet365,0.249,2026-05-21T19:16:40Z,14.78,16.69,0.1294,aligned,1.5,True
2026-05-23T19:00:00Z,la-liga,Real Betis Seville,Levante UD,Real Betis Seville,home,16.5,under,0.6754,1.481,1.833,Bet365,0.238,2026-05-21T19:16:40Z,15.2,15.58,0.0246,aligned,1.5,True
2026-05-24T15:00:00Z,epl,Manchester City,Aston Villa,Manchester City,home,17.5,under,0.6489,1.541,1.833,Bet365,0.1894,2026-05-21T19:16:38Z,17.73,18.2,0.0266,aligned,1.0,True
2026-05-23T19:00:00Z,la-liga,Real Madrid,Athletic Bilbao,Real Madrid,home,15.5,under,0.6878,1.454,1.727,Bet365,0.1878,2026-05-21T19:16:40Z,13.55,13.5,0.0039,aligned,1.0,True
2026-05-24T16:00:00Z,serie-a,SSC Napoli,Udinese Calcio,SSC Napoli,home,15.5,under,0.6144,1.628,1.909,Bet365,0.1729,2026-05-21T19:16:39Z,15.21,16.49,0.0843,aligned,1.0,True
2026-05-24T15:00:00Z,epl,Fulham FC,Newcastle United,Fulham FC,home,11.5,over,0.6889,1.452,1.833,Bet365,0.2628,2026-05-21T11:42:01Z,15.43,17.2,0.1147,aligned,2.0,False
2026-05-24T15:00:00Z,epl,West Ham United,Leeds United,Leeds United,away,9.5,over,0.7204,1.388,1.727,Bet365,0.2441,2026-05-21T19:16:38Z,12.87,12.66,0.0167,aligned,1.5,False
2026-05-23T19:00:00Z,la-liga,Espanyol Barcelona,Real Sociedad San Sebastian,Real Sociedad San Sebastian,away,10.5,over,0.6761,1.479,1.8,Bet365,0.217,2026-05-21T19:16:40Z,13.7,11.02,0.196,divergent,1.0,False
2026-05-24T15:00:00Z,epl,Nottingham Forest,AFC Bournemouth,Nottingham Forest,home,12.5,over,0.6079,1.645,2.0,Bet365,0.2158,2026-05-21T19:16:38Z,14.76,17.49,0.1846,divergent,1.0,False
2026-05-24T18:45:00Z,serie-a,US Lecce,Genoa CFC,Genoa CFC,away,9.5,over,0.6828,1.465,1.727,Bet365,0.1792,2026-05-21T19:16:39Z,12.0,10.14,0.1553,divergent,0.5,False
2026-05-24T15:00:00Z,epl,Fulham FC,Newcastle United,Fulham FC,home,12.5,over,0.6382,1.567,1.833,Bet365,0.1698,2026-05-21T19:16:38Z,15.43,17.2,0.1147,aligned,1.0,False
2026-05-23T19:00:00Z,la-liga,RC Celta de Vigo,Sevilla FC,Sevilla FC,away,9.5,over,0.6455,1.549,1.8,Bet365,0.1619,2026-05-21T19:16:40Z,11.2,11.0,0.0176,aligned,1.0,False
2026-05-23T19:00:00Z,la-liga,Espanyol Barcelona,Real Sociedad San Sebastian,Espanyol Barcelona,home,13.5,over,0.6388,1.565,1.8,Bet365,0.1498,2026-05-21T19:16:40Z,17.02,18.63,0.0946,aligned,0.5,False
2026-05-24T18:45:00Z,serie-a,AC Milan,Cagliari Calcio,Cagliari Calcio,away,9.5,over,0.5633,1.775,2.0,Bet365,0.1266,2026-05-21T19:16:39Z,9.6,8.97,0.0658,aligned,0.5,False
2026-05-23T19:00:00Z,la-liga,RC Celta de Vigo,Sevilla FC,RC Celta de Vigo,home,15.5,under,0.8627,1.159,1.727,Bet365,0.4899,2026-05-21T11:45:11Z,9.65,8.49,0.1204,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,RC Celta de Vigo,Sevilla FC,RC Celta de Vigo,home,14.5,under,0.7971,1.255,1.727,Bet365,0.3766,2026-05-21T19:16:40Z,9.65,8.49,0.1204,aligned,0.0,False
2026-05-24T19:00:00Z,la-liga,Villarreal CF,Atletico Madrid,Villarreal CF,home,12.5,over,0.6145,1.627,1.8,Bet365,0.1061,2026-05-21T19:16:40Z,14.91,15.63,0.0487,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Tottenham Hotspur,Everton FC,Tottenham Hotspur,home,14.5,under,0.5754,1.738,1.909,Bet365,0.0984,2026-05-21T19:16:38Z,14.28,15.03,0.0528,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Manchester City,Aston Villa,Aston Villa,away,9.5,over,0.549,1.821,2.0,Bet365,0.098,2026-05-21T19:16:38Z,9.35,9.12,0.0241,aligned,0.0,False
2026-05-22T18:45:00Z,serie-a,ACF Fiorentina,Atalanta BC,ACF Fiorentina,home,13.5,over,0.5477,1.826,2.0,Bet365,0.0954,2026-05-21T19:16:39Z,14.98,14.6,0.0251,aligned,0.0,False
2026-05-24T18:45:00Z,serie-a,AC Milan,Cagliari Calcio,AC Milan,home,15.5,under,0.6072,1.647,1.8,Bet365,0.093,2026-05-21T19:16:39Z,15.37,15.56,0.0123,aligned,0.0,False
2026-05-24T13:00:00Z,serie-a,Parma Calcio,Sassuolo Calcio,Parma Calcio,home,13.5,over,0.5446,1.836,1.909,Bet365,0.0396,2026-05-21T19:16:39Z,14.91,15.85,0.0633,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Tottenham Hotspur,Everton FC,Everton FC,away,10.5,over,0.5422,1.844,1.909,Bet365,0.0351,2026-05-21T11:42:01Z,10.7,11.83,0.1059,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Crystal Palace,Arsenal FC,Arsenal FC,away,13.5,under,0.539,1.855,1.909,Bet365,0.029,2026-05-21T19:16:38Z,13.17,11.07,0.1591,divergent,0.0,False
2026-05-24T15:00:00Z,epl,Crystal Palace,Arsenal FC,Crystal Palace,home,11.5,under,0.5939,1.684,1.727,Bet365,0.0257,2026-05-21T19:16:38Z,9.69,10.56,0.0895,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Valencia CF,FC Barcelona,Valencia CF,home,10.5,under,0.537,1.862,1.909,Bet365,0.0251,2026-05-21T19:16:40Z,9.19,8.85,0.0367,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Chelsea FC,away,13.5,under,0.5353,1.868,1.909,Bet365,0.0219,2026-05-21T19:16:38Z,13.25,11.34,0.1439,aligned,0.0,False
2026-05-22T18:45:00Z,serie-a,ACF Fiorentina,Atalanta BC,Atalanta BC,away,13.5,under,0.5106,1.958,2.0,Bet365,0.0212,2026-05-21T19:16:39Z,13.75,14.35,0.0436,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Getafe CF,CA Osasuna,CA Osasuna,away,10.5,under,0.5646,1.771,1.8,Bet365,0.0163,2026-05-21T19:16:40Z,8.71,7.27,0.1661,divergent,0.0,False
2026-05-24T18:45:00Z,serie-a,Torino FC,Juventus Turin,Torino FC,home,11.5,under,0.586,1.706,1.727,Bet365,0.012,2026-05-21T19:16:39Z,9.83,10.67,0.0857,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Sunderland AFC,Chelsea FC,Sunderland AFC,home,11.5,under,0.559,1.789,1.8,Bet365,0.0062,2026-05-21T19:16:38Z,10.3,11.14,0.0821,aligned,0.0,False
2026-05-24T15:00:00Z,epl,Liverpool FC,Brentford FC,Brentford FC,away,11.5,under,0.5808,1.722,1.727,Bet365,0.003,2026-05-21T19:16:38Z,9.92,8.48,0.1446,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Girona FC,Elche CF,Elche CF,away,9.5,over,0.5693,1.757,1.727,Bet365,-0.0168,2026-05-21T19:16:40Z,9.71,10.56,0.0871,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Deportivo Alaves,Rayo Vallecano,Rayo Vallecano,away,11.5,under,0.5135,1.947,1.909,Bet365,-0.0197,2026-05-21T19:16:40Z,11.13,10.09,0.0934,aligned,0.0,False
2026-05-23T19:00:00Z,la-liga,Deportivo Alaves,Rayo Vallecano,Deportivo Alaves,home,12.5,under,0.5335,1.874,1.833,Bet365,-0.0221,2026-05-21T19:16:40Z,11.9,11.59,0.0263,aligned,0.0,False
