kickoff_iso,league,home_team,away_team,team,venue,line,side,model_prob,model_fair,book_odds,bookmaker,edge,captured_at,lambda_venue,lambda_recent,divergence,consensus,effective_stake,preferred
2026-04-26T13:30:00Z,bundesliga,VfB Stuttgart,Werder Bremen,VfB Stuttgart,home,16.5,under,0.6989,1.431,1.8,Bet365,0.258,2026-04-23T23:13:36Z,14.95,15.79,0.0563,aligned,2.0,True
2026-04-25T13:30:00Z,bundesliga,1. FC Heidenheim,FC St. Pauli,FC St. Pauli,away,12.5,under,0.6807,1.469,1.833,Bet365,0.2477,2026-04-23T23:13:36Z,10.72,11.63,0.0848,aligned,1.5,True
2026-04-25T14:15:00Z,la-liga,Getafe CF,FC Barcelona,Getafe CF,home,10.5,under,0.7147,1.399,1.727,Bet365,0.2343,2026-04-23T23:13:34Z,6.62,6.26,0.0544,aligned,1.5,True
2026-04-25T13:30:00Z,bundesliga,VFL Wolfsburg,Borussia Monchengladbach,VFL Wolfsburg,home,14.5,under,0.6033,1.658,2.0,Bet365,0.2066,2026-04-23T23:13:36Z,14.94,15.3,0.0239,aligned,1.5,True
2026-04-27T19:00:00Z,la-liga,Espanyol Barcelona,Levante UD,Espanyol Barcelona,home,15.5,under,0.5972,1.674,2.0,Bet365,0.1944,2026-04-23T23:13:34Z,16.79,18.51,0.1023,aligned,1.0,True
2026-04-26T15:30:00Z,bundesliga,Borussia Dortmund,SC Freiburg,Borussia Dortmund,home,16.5,under,0.6142,1.628,1.909,Bet365,0.1725,2026-04-23T23:13:36Z,16.88,18.18,0.0775,aligned,1.0,True
2026-04-25T14:15:00Z,la-liga,Getafe CF,FC Barcelona,FC Barcelona,away,16.5,under,0.5666,1.765,2.0,Bet365,0.1332,2026-04-23T23:13:34Z,19.22,20.13,0.0475,aligned,0.5,True
2026-04-26T13:00:00Z,serie-a,Genoa CFC,Como 1907,Genoa CFC,home,10.5,under,0.6161,1.623,1.833,Bet365,0.1293,2026-04-23T23:13:33Z,8.0,8.6,0.0743,aligned,0.5,True
2026-04-27T19:00:00Z,la-liga,Espanyol Barcelona,Levante UD,Levante UD,away,11.5,over,0.666,1.502,2.0,Bet365,0.332,2026-04-23T23:13:34Z,11.08,10.41,0.0603,aligned,2.0,False
2026-04-25T14:00:00Z,epl,Liverpool FC,Crystal Palace,Crystal Palace,away,8.5,over,0.7044,1.42,1.727,Bet365,0.2165,2026-04-23T23:13:31Z,9.03,8.7,0.0373,aligned,1.5,False
2026-04-26T15:30:00Z,bundesliga,Borussia Dortmund,SC Freiburg,SC Freiburg,away,8.5,over,0.6919,1.445,1.727,Bet365,0.1949,2026-04-23T23:13:36Z,8.83,8.65,0.0203,aligned,1.0,False
2026-04-25T16:30:00Z,la-liga,Valencia CF,Girona FC,Valencia CF,home,13.5,over,0.6271,1.595,1.833,Bet365,0.1495,2026-04-23T23:13:34Z,16.37,15.8,0.0348,aligned,0.5,False
