league,kickoff_iso,home_team,away_team,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence,note,home_p_over_8.5,home_fair_over_8.5,home_fair_under_8.5,away_p_over_8.5,away_fair_over_8.5,away_fair_under_8.5,home_p_over_9.5,home_fair_over_9.5,home_fair_under_9.5,away_p_over_9.5,away_fair_over_9.5,away_fair_under_9.5,home_p_over_10.5,home_fair_over_10.5,home_fair_under_10.5,away_p_over_10.5,away_fair_over_10.5,away_fair_under_10.5,home_p_over_11.5,home_fair_over_11.5,home_fair_under_11.5,away_p_over_11.5,away_fair_over_11.5,away_fair_under_11.5,home_p_over_12.5,home_fair_over_12.5,home_fair_under_12.5,away_p_over_12.5,away_fair_over_12.5,away_fair_under_12.5,home_p_over_13.5,home_fair_over_13.5,home_fair_under_13.5,away_p_over_13.5,away_fair_over_13.5,away_fair_under_13.5,home_p_over_14.5,home_fair_over_14.5,home_fair_under_14.5,away_p_over_14.5,away_fair_over_14.5,away_fair_under_14.5,home_p_over_15.5,home_fair_over_15.5,home_fair_under_15.5,away_p_over_15.5,away_fair_over_15.5,away_fair_under_15.5,home_p_over_16.5,home_fair_over_16.5,home_fair_under_16.5,away_p_over_16.5,away_fair_over_16.5,away_fair_under_16.5,home_p_over_17.5,home_fair_over_17.5,home_fair_under_17.5,away_p_over_17.5,away_fair_over_17.5,away_fair_under_17.5,home_p_over_19.5,home_fair_over_19.5,home_fair_under_19.5,away_p_over_19.5,away_fair_over_19.5,away_fair_under_19.5,home_p_over_20.5,home_fair_over_20.5,home_fair_under_20.5,away_p_over_20.5,away_fair_over_20.5,away_fair_under_20.5
serie-a,2026-05-22T18:45:00Z,ACF Fiorentina,Atalanta BC,12.4,15.12,14.98,13.75,14.6,14.35,aligned,aligned,0.0251,0.0436,,0.8543,1.171,6.863,0.8197,1.22,5.547,0.8008,1.249,5.021,0.7557,1.323,4.093,0.7259,1.378,3.648,0.6779,1.475,3.105,0.6696,1.493,3.027,0.6153,1.625,2.599,0.6176,1.619,2.615,0.56,1.786,2.273,0.5477,1.826,2.211,0.4894,2.043,1.958,0.4555,2.196,1.836,0.4006,2.496,1.668,0.3754,2.664,1.601,0.3208,3.117,1.472,0.3146,3.179,1.459,0.261,3.832,1.353,0.2441,4.096,1.323,0.1977,5.058,1.246,0.1482,6.749,1.174,0.1111,9.004,1.125,0.102,9.808,1.114,0.0713,14.031,1.077
serie-a,2026-05-23T16:00:00Z,Bologna FC,Inter Milano,9.92,13.28,10.85,13.6,10.86,10.63,aligned,divergent,0.001,0.2184,,0.7198,1.389,3.568,0.8152,1.227,5.411,0.6286,1.591,2.693,0.7498,1.334,3.997,0.5498,1.819,2.221,0.6718,1.489,3.047,0.4718,2.12,1.893,0.6084,1.644,2.554,0.4084,2.449,1.69,0.5527,1.809,2.236,0.3384,2.955,1.512,0.482,2.075,1.931,0.2629,3.803,1.357,0.3938,2.54,1.65,0.1899,5.266,1.234,0.3141,3.184,1.458,0.1384,7.227,1.161,0.2545,3.93,1.341,0.0966,10.357,1.107,0.1921,5.205,1.238,0.0417,23.986,1.044,0.1068,9.365,1.12,0.0214,46.804,1.022,0.0679,14.732,1.073
serie-a,2026-05-23T18:45:00Z,Lazio Rome,Pisa SC,,,,,,,,,,,no_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-liga,2026-05-23T19:00:00Z,Deportivo Alaves,Rayo Vallecano,12.39,13.09,11.9,11.13,11.59,10.09,aligned,aligned,0.0263,0.0934,,0.7592,1.317,4.153,0.7304,1.369,3.709,0.6783,1.474,3.108,0.6419,1.558,2.793,0.5991,1.669,2.494,0.5629,1.776,2.288,0.5268,1.898,2.113,0.4865,2.056,1.947,0.4665,2.144,1.874,0.4239,2.359,1.736,0.3958,2.527,1.655,0.3536,2.828,1.547,0.3144,3.18,1.459,0.2765,3.617,1.382,0.2376,4.21,1.312,0.2022,4.945,1.253,0.1816,5.506,1.222,0.1494,6.695,1.176,0.1312,7.622,1.151,0.1052,9.503,1.118,0.0633,15.81,1.068,0.0468,21.351,1.049,0.0356,28.123,1.037,0.0246,40.62,1.025
la-liga,2026-05-23T19:00:00Z,Real Betis Seville,Levante UD,13.72,13.29,15.2,10.39,15.58,10.76,aligned,aligned,0.0246,0.0352,,0.8602,1.162,7.154,0.7012,1.426,3.347,0.8087,1.237,5.226,0.6054,1.652,2.534,0.7344,1.362,3.766,0.5269,1.898,2.114,0.6793,1.472,3.119,0.4463,2.24,1.806,0.628,1.592,2.688,0.3817,2.62,1.617,0.5583,1.791,2.264,0.3124,3.201,1.454,0.4655,2.148,1.871,0.2399,4.168,1.316,0.3855,2.594,1.627,0.1693,5.906,1.204,0.3246,3.081,1.481,0.1204,8.308,1.137,0.2529,3.954,1.339,0.0826,12.109,1.09,0.1554,6.434,1.184,0.0338,29.598,1.035,0.1082,9.243,1.121,0.0166,60.401,1.017
la-liga,2026-05-23T19:00:00Z,RC Celta de Vigo,Sevilla FC,8.55,11.8,9.65,11.2,8.49,11.0,aligned,aligned,0.1204,0.0176,,0.6697,1.493,3.028,0.7332,1.364,3.748,0.5662,1.766,2.305,0.6455,1.549,2.821,0.4885,2.047,1.955,0.5665,1.765,2.307,0.4039,2.476,1.678,0.4904,2.039,1.962,0.3375,2.963,1.509,0.428,2.336,1.748,0.2698,3.707,1.369,0.3577,2.796,1.557,0.2029,4.928,1.255,0.2801,3.57,1.389,0.1373,7.284,1.159,0.2056,4.865,1.259,0.0934,10.71,1.103,0.1524,6.563,1.18,0.0622,16.073,1.066,0.1076,9.293,1.121,0.0232,43.143,1.024,0.0483,20.713,1.051,0.0105,95.141,1.011,0.0255,39.144,1.026
la-liga,2026-05-23T19:00:00Z,Espanyol Barcelona,Real Sociedad San Sebastian,15.97,12.88,17.02,13.7,18.63,11.02,aligned,divergent,0.0946,0.196,,0.9015,1.109,10.153,0.8184,1.222,5.506,0.864,1.157,7.354,0.7539,1.326,4.064,0.7974,1.254,4.937,0.6761,1.479,3.087,0.7518,1.33,4.029,0.6133,1.631,2.586,0.7058,1.417,3.399,0.5579,1.792,2.262,0.6388,1.566,2.768,0.4872,2.052,1.95,0.5434,1.84,2.19,0.3986,2.509,1.663,0.4647,2.152,1.868,0.3188,3.136,1.468,0.4037,2.477,1.677,0.2591,3.86,1.35,0.3232,3.094,1.477,0.1961,5.1,1.244,0.2157,4.635,1.275,0.1098,9.108,1.123,0.1623,6.161,1.194,0.0703,14.232,1.076
la-liga,2026-05-23T19:00:00Z,Getafe CF,CA Osasuna,8.87,11.52,8.43,8.71,7.88,7.27,aligned,divergent,0.0655,0.1661,,0.6111,1.636,2.572,0.6256,1.598,2.671,0.4941,2.024,1.977,0.5118,1.954,2.048,0.4182,2.391,1.719,0.4354,2.297,1.771,0.3276,3.052,1.487,0.3461,2.889,1.529,0.2598,3.849,1.351,0.2783,3.593,1.386,0.1974,5.067,1.246,0.2143,4.667,1.273,0.1423,7.026,1.166,0.1562,6.402,1.185,0.0884,11.311,1.097,0.0992,10.084,1.11,0.055,18.171,1.058,0.0631,15.843,1.067,0.0347,28.783,1.036,0.0404,24.766,1.042,0.0108,92.219,1.011,0.0132,75.943,1.013,0.0042,235.683,1.004,0.0053,187.083,1.005
la-liga,2026-05-23T19:00:00Z,RCD Mallorca,Real Oviedo,,,,,,,,,,,no_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-liga,2026-05-23T19:00:00Z,Real Madrid,Athletic Bilbao,12.14,11.98,13.55,11.19,13.5,10.43,aligned,aligned,0.0039,0.0686,,0.8139,1.229,5.373,0.733,1.364,3.745,0.7481,1.337,3.97,0.6452,1.55,2.819,0.6701,1.492,3.031,0.5662,1.766,2.305,0.6065,1.649,2.541,0.4901,2.04,1.961,0.5507,1.816,2.225,0.4277,2.338,1.747,0.4799,2.084,1.923,0.3574,2.798,1.556,0.3918,2.552,1.644,0.2798,3.573,1.389,0.3122,3.203,1.454,0.2053,4.871,1.258,0.2526,3.959,1.338,0.1521,6.573,1.179,0.1905,5.249,1.235,0.1074,9.308,1.12,0.1056,9.473,1.118,0.0482,20.759,1.051,0.0669,14.943,1.072,0.0255,39.251,1.026
