league,kickoff_iso,home_team,away_team,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence,note,home_p_over_8.5,home_fair_over_8.5,home_fair_under_8.5,away_p_over_8.5,away_fair_over_8.5,away_fair_under_8.5,home_p_over_9.5,home_fair_over_9.5,home_fair_under_9.5,away_p_over_9.5,away_fair_over_9.5,away_fair_under_9.5,home_p_over_10.5,home_fair_over_10.5,home_fair_under_10.5,away_p_over_10.5,away_fair_over_10.5,away_fair_under_10.5,home_p_over_11.5,home_fair_over_11.5,home_fair_under_11.5,away_p_over_11.5,away_fair_over_11.5,away_fair_under_11.5,home_p_over_12.5,home_fair_over_12.5,home_fair_under_12.5,away_p_over_12.5,away_fair_over_12.5,away_fair_under_12.5,home_p_over_13.5,home_fair_over_13.5,home_fair_under_13.5,away_p_over_13.5,away_fair_over_13.5,away_fair_under_13.5,home_p_over_14.5,home_fair_over_14.5,home_fair_under_14.5,away_p_over_14.5,away_fair_over_14.5,away_fair_under_14.5,home_p_over_15.5,home_fair_over_15.5,home_fair_under_15.5,away_p_over_15.5,away_fair_over_15.5,away_fair_under_15.5,home_p_over_16.5,home_fair_over_16.5,home_fair_under_16.5,away_p_over_16.5,away_fair_over_16.5,away_fair_under_16.5,home_p_over_17.5,home_fair_over_17.5,home_fair_under_17.5,away_p_over_17.5,away_fair_over_17.5,away_fair_under_17.5,home_p_over_19.5,home_fair_over_19.5,home_fair_under_19.5,away_p_over_19.5,away_fair_over_19.5,away_fair_under_19.5,home_p_over_20.5,home_fair_over_20.5,home_fair_under_20.5,away_p_over_20.5,away_fair_over_20.5,away_fair_under_20.5
la-liga,2026-04-26T12:00:00Z,Rayo Vallecano,Real Sociedad San Sebastian,15.5,11.85,16.06,12.08,18.12,10.38,aligned,aligned,0.1281,0.1407,,0.7809,1.281,4.563,0.6416,1.559,2.79,0.7315,1.367,3.725,0.5765,1.735,2.361,0.6805,1.469,3.13,0.5132,1.948,2.054,0.629,1.59,2.695,0.453,2.208,1.828,0.5777,1.731,2.368,0.3967,2.521,1.658,0.5276,1.895,2.117,0.3449,2.899,1.527,0.4792,2.087,1.92,0.2979,3.357,1.424,0.4331,2.309,1.764,0.2557,3.911,1.344,0.3895,2.567,1.638,0.2182,4.582,1.279,0.3487,2.867,1.535,0.1853,5.398,1.227,0.2762,3.621,1.382,0.1316,7.597,1.152,0.2444,4.092,1.323,0.1102,9.071,1.124
serie-a,2026-04-26T13:00:00Z,Genoa CFC,Como 1907,,,,,,,,,,,no_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bundesliga,2026-04-26T13:30:00Z,VfB Stuttgart,Werder Bremen,14.71,12.2,15.32,10.65,15.72,11.95,aligned,aligned,0.026,0.1218,,0.7566,1.322,4.108,0.6583,1.519,2.926,0.7038,1.421,3.376,0.5945,1.682,2.466,0.6499,1.539,2.856,0.5322,1.879,2.137,0.5959,1.678,2.475,0.4724,2.117,1.895,0.5429,1.842,2.188,0.4161,2.403,1.713,0.4916,2.034,1.967,0.3639,2.748,1.572,0.4426,2.259,1.794,0.3162,3.162,1.463,0.3964,2.523,1.657,0.2731,3.661,1.376,0.3533,2.831,1.546,0.2346,4.263,1.306,0.3134,3.191,1.456,0.2004,4.989,1.251,0.2435,4.107,1.322,0.1443,6.931,1.169,0.2134,4.687,1.271,0.1216,8.222,1.138
la-liga,2026-04-26T14:15:00Z,Real Oviedo,Elche CF,,,,,,,,,,,no_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bundesliga,2026-04-26T15:30:00Z,Borussia Dortmund,SC Freiburg,,,,,,,,,,,no_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serie-a,2026-04-26T16:00:00Z,Torino FC,Inter Milano,9.23,17.3,9.33,17.47,9.48,15.75,aligned,aligned,0.0156,0.0983,,0.485,2.062,1.942,0.8259,1.211,5.743,0.413,2.421,1.704,0.7838,1.276,4.625,0.3478,2.876,1.533,0.7393,1.353,3.836,0.2898,3.451,1.408,0.6934,1.442,3.261,0.2393,4.179,1.315,0.6467,1.546,2.831,0.1959,5.105,1.244,0.6001,1.666,2.5,0.1591,6.284,1.189,0.5541,1.805,2.243,0.1284,7.789,1.147,0.5093,1.964,2.038,0.1029,9.717,1.115,0.466,2.146,1.873,0.082,12.195,1.089,0.4247,2.354,1.738,0.0512,19.517,1.054,0.3488,2.867,1.536,0.0402,24.868,1.042,0.3144,3.18,1.459
la-liga,2026-04-26T16:30:00Z,CA Osasuna,Sevilla FC,11.45,8.67,12.39,9.27,13.03,9.01,aligned,aligned,0.0516,0.0276,,0.6209,1.611,2.638,0.4447,2.249,1.801,0.5542,1.804,2.243,0.3728,2.682,1.594,0.49,2.041,1.961,0.3088,3.238,1.447,0.4294,2.329,1.752,0.2531,3.95,1.339,0.3733,2.679,1.596,0.2055,4.866,1.259,0.3221,3.105,1.475,0.1654,6.047,1.198,0.276,3.623,1.381,0.132,7.574,1.152,0.2351,4.254,1.307,0.1046,9.556,1.117,0.1991,5.023,1.249,0.0824,12.136,1.09,0.1677,5.965,1.201,0.0645,15.506,1.069,0.1172,8.533,1.133,0.0389,25.73,1.04,0.0973,10.274,1.108,0.03,33.389,1.031
serie-a,2026-04-26T18:45:00Z,AC Milan,Juventus Turin,12.1,14.3,13.68,13.41,13.64,13.48,aligned,aligned,0.0027,0.005,,0.6538,1.53,2.888,0.7431,1.346,3.893,0.5897,1.696,2.437,0.6885,1.452,3.211,0.5271,1.897,2.114,0.6331,1.579,2.726,0.4671,2.141,1.877,0.578,1.73,2.37,0.4108,2.434,1.697,0.5242,1.908,2.102,0.3588,2.787,1.56,0.4724,2.117,1.895,0.3112,3.213,1.452,0.4233,2.363,1.734,0.2684,3.726,1.367,0.3772,2.651,1.606,0.2301,4.346,1.299,0.3345,2.99,1.503,0.1963,5.095,1.244,0.2952,3.388,1.419,0.1408,7.103,1.164,0.2269,4.407,1.294,0.1185,8.441,1.134,0.1978,5.056,1.247
la-liga,2026-04-26T19:00:00Z,Villarreal CF,RC Celta de Vigo,11.2,9.9,13.04,9.67,12.26,8.24,aligned,aligned,0.0595,0.1475,,0.6079,1.645,2.551,0.5308,1.884,2.131,0.5404,1.85,2.176,0.4596,2.176,1.851,0.4757,2.102,1.907,0.3937,2.54,1.649,0.415,2.41,1.709,0.334,2.994,1.502,0.3591,2.785,1.56,0.2808,3.561,1.39,0.3084,3.242,1.446,0.2342,4.27,1.306,0.2631,3.801,1.357,0.1939,5.158,1.241,0.2229,4.486,1.287,0.1594,6.273,1.19,0.1878,5.324,1.231,0.1303,7.677,1.15,0.1574,6.353,1.187,0.1058,9.45,1.118,0.1089,9.182,1.122,0.0688,14.542,1.074,0.09,11.112,1.099,0.055,18.167,1.058
serie-a,2026-04-27T16:30:00Z,Cagliari Calcio,Atalanta BC,11.28,14.96,10.25,13.6,11.45,12.97,aligned,aligned,0.1167,0.0464,,0.6121,1.634,2.578,0.7648,1.308,4.251,0.5448,1.835,2.197,0.7131,1.402,3.486,0.4803,2.082,1.924,0.6602,1.515,2.943,0.4196,2.383,1.723,0.607,1.648,2.544,0.3637,2.75,1.571,0.5545,1.803,2.245,0.3128,3.197,1.455,0.5035,1.986,2.014,0.2672,3.742,1.365,0.4547,2.199,1.834,0.2268,4.409,1.293,0.4085,2.448,1.691,0.1914,5.224,1.237,0.3651,2.739,1.575,0.1607,6.224,1.191,0.3249,3.078,1.481,0.1115,8.966,1.126,0.2541,3.936,1.341,0.0923,10.833,1.102,0.2234,4.477,1.288
