league,kickoff_iso,home_team,away_team,home_lambda,away_lambda,home_lambda_venue,away_lambda_venue,home_lambda_recent,away_lambda_recent,home_consensus,away_consensus,home_divergence,away_divergence,note,home_p_over_8.5,home_fair_over_8.5,home_fair_under_8.5,away_p_over_8.5,away_fair_over_8.5,away_fair_under_8.5,home_p_over_9.5,home_fair_over_9.5,home_fair_under_9.5,away_p_over_9.5,away_fair_over_9.5,away_fair_under_9.5,home_p_over_10.5,home_fair_over_10.5,home_fair_under_10.5,away_p_over_10.5,away_fair_over_10.5,away_fair_under_10.5,home_p_over_11.5,home_fair_over_11.5,home_fair_under_11.5,away_p_over_11.5,away_fair_over_11.5,away_fair_under_11.5,home_p_over_12.5,home_fair_over_12.5,home_fair_under_12.5,away_p_over_12.5,away_fair_over_12.5,away_fair_under_12.5,home_p_over_13.5,home_fair_over_13.5,home_fair_under_13.5,away_p_over_13.5,away_fair_over_13.5,away_fair_under_13.5,home_p_over_14.5,home_fair_over_14.5,home_fair_under_14.5,away_p_over_14.5,away_fair_over_14.5,away_fair_under_14.5,home_p_over_15.5,home_fair_over_15.5,home_fair_under_15.5,away_p_over_15.5,away_fair_over_15.5,away_fair_under_15.5,home_p_over_16.5,home_fair_over_16.5,home_fair_under_16.5,away_p_over_16.5,away_fair_over_16.5,away_fair_under_16.5,home_p_over_17.5,home_fair_over_17.5,home_fair_under_17.5,away_p_over_17.5,away_fair_over_17.5,away_fair_under_17.5,home_p_over_19.5,home_fair_over_19.5,home_fair_under_19.5,away_p_over_19.5,away_fair_over_19.5,away_fair_under_19.5,home_p_over_20.5,home_fair_over_20.5,home_fair_under_20.5,away_p_over_20.5,away_fair_over_20.5,away_fair_under_20.5
bundesliga,2026-04-24T18:30:00Z,RB Leipzig,Union Berlin,16.58,9.15,17.9,9.87,17.74,8.05,aligned,divergent,0.0093,0.1842,,0.8826,1.133,8.516,0.6422,1.557,2.795,0.8404,1.19,6.267,0.5302,1.886,2.128,0.7775,1.286,4.495,0.4493,2.226,1.816,0.7372,1.356,3.805,0.3559,2.81,1.553,0.699,1.431,3.323,0.2842,3.519,1.397,0.6355,1.573,2.744,0.2208,4.528,1.283,0.5413,1.847,2.18,0.1644,6.082,1.197,0.4577,2.185,1.844,0.1112,8.992,1.125,0.3949,2.532,1.653,0.0752,13.303,1.081,0.319,3.135,1.468,0.0478,20.907,1.05,0.2094,4.775,1.265,0.0172,58.038,1.018,0.1549,6.456,1.183,0.0088,113.79,1.009
serie-a,2026-04-24T18:45:00Z,SSC Napoli,US Cremonese,18.27,6.64,17.04,5.92,16.68,5.55,aligned,aligned,0.0213,0.063,,0.9053,1.105,10.557,0.4445,2.25,1.8,0.8715,1.147,7.784,0.3139,3.186,1.458,0.8154,1.226,5.417,0.2521,3.967,1.337,0.7837,1.276,4.622,0.1658,6.03,1.199,0.753,1.328,4.048,0.1118,8.945,1.126,0.6962,1.436,3.292,0.0774,12.922,1.084,0.6056,1.651,2.536,0.0542,18.457,1.057,0.5262,1.9,2.111,0.0315,31.769,1.033,0.4667,2.143,1.875,0.0177,56.377,1.018,0.3894,2.568,1.638,0.0096,104.078,1.01,0.2755,3.63,1.38,0.0022,450.643,1.002,0.2141,4.671,1.272,0.0009,1162.916,1.001
epl,2026-04-24T19:00:00Z,Sunderland AFC,Nottingham Forest,10.9,14.67,11.13,12.25,12.5,12.8,aligned,aligned,0.1236,0.0448,,0.7325,1.365,3.739,0.8479,1.179,6.577,0.6415,1.559,2.79,0.7933,1.26,4.839,0.5594,1.788,2.27,0.7226,1.384,3.605,0.4771,2.096,1.912,0.6701,1.492,3.031,0.4084,2.449,1.69,0.6218,1.608,2.644,0.3354,2.981,1.505,0.5515,1.813,2.23,0.2594,3.856,1.35,0.4567,2.19,1.841,0.189,5.291,1.233,0.3716,2.691,1.591,0.139,7.193,1.161,0.308,3.246,1.445,0.0955,10.467,1.106,0.2382,4.199,1.313,0.0422,23.721,1.044,0.1409,7.097,1.164,0.0243,41.088,1.025,0.0975,10.258,1.108
la-liga,2026-04-24T19:00:00Z,Real Betis Seville,Real Madrid,11.91,15.42,12.87,15.87,12.23,13.39,aligned,divergent,0.0499,0.1562,,0.772,1.295,4.386,0.8629,1.159,7.293,0.6924,1.444,3.251,0.8136,1.229,5.364,0.6122,1.634,2.578,0.7459,1.341,3.936,0.538,1.859,2.165,0.6985,1.432,3.317,0.474,2.11,1.901,0.6544,1.528,2.893,0.3993,2.504,1.665,0.5865,1.705,2.418,0.3151,3.174,1.46,0.4914,2.035,1.966,0.2378,4.205,1.312,0.4063,2.461,1.684,0.1819,5.498,1.222,0.3426,2.919,1.521,0.1297,7.71,1.149,0.2697,3.707,1.369,0.0629,15.908,1.067,0.1667,5.999,1.2,0.0384,26.018,1.04,0.1186,8.434,1.135
epl,2026-04-25T11:30:00Z,Fulham FC,Aston Villa,14.84,13.36,14.86,11.5,16.51,11.84,aligned,aligned,0.1106,0.0298,,0.8515,1.174,6.735,0.8167,1.224,5.455,0.7982,1.253,4.955,0.7514,1.331,4.022,0.7281,1.373,3.678,0.6756,1.48,3.083,0.6768,1.477,3.094,0.6133,1.63,2.586,0.6295,1.588,2.699,0.5575,1.794,2.26,0.5597,1.787,2.271,0.4838,2.067,1.937,0.4648,2.151,1.868,0.3921,2.551,1.645,0.3796,2.634,1.612,0.3089,3.238,1.447,0.3159,3.165,1.462,0.2474,4.042,1.329,0.2453,4.076,1.325,0.1847,5.415,1.226,0.1466,6.819,1.172,0.1003,9.974,1.111,0.1021,9.793,1.114,0.0657,15.212,1.07
la-liga,2026-04-25T12:00:00Z,Deportivo Alaves,RCD Mallorca,16.92,10.23,16.61,9.11,18.79,7.78,aligned,aligned,0.1311,0.1464,,0.8877,1.127,8.902,0.7019,1.425,3.355,0.8474,1.18,6.553,0.603,1.658,2.519,0.7859,1.272,4.67,0.5205,1.921,2.086,0.7475,1.338,3.96,0.4333,2.308,1.765,0.7109,1.407,3.459,0.3624,2.759,1.568,0.6487,1.541,2.847,0.292,3.425,1.412,0.555,1.802,2.247,0.2227,4.491,1.286,0.4721,2.118,1.894,0.1581,6.326,1.188,0.4098,2.44,1.694,0.1129,8.855,1.127,0.3334,3.0,1.5,0.0755,13.237,1.082,0.2225,4.495,1.286,0.0311,32.18,1.032,0.1663,6.014,1.199,0.0172,58.176,1.017
serie-a,2026-04-25T13:00:00Z,Parma Calcio,Pisa SC,12.24,9.86,13.67,10.45,14.4,9.25,aligned,aligned,0.0539,0.1149,,0.783,1.277,4.609,0.6827,1.465,3.152,0.7069,1.415,3.411,0.5792,1.727,2.376,0.6275,1.594,2.684,0.4969,2.012,1.988,0.556,1.799,2.252,0.4072,2.456,1.687,0.4937,2.025,1.975,0.3356,2.979,1.505,0.4189,2.387,1.721,0.2673,3.742,1.365,0.3326,3.007,1.498,0.2021,4.947,1.253,0.2536,3.943,1.34,0.1413,7.079,1.164,0.1962,5.098,1.244,0.0991,10.09,1.11,0.1414,7.072,1.165,0.0652,15.333,1.07,0.0704,14.199,1.076,0.0257,38.918,1.026,0.0438,22.839,1.046,0.0138,72.235,1.014
bundesliga,2026-04-25T13:30:00Z,FSV Mainz,Bayern Munich,9.62,18.98,10.78,17.9,11.2,16.18,aligned,aligned,0.0386,0.0963,,0.6697,1.493,3.027,0.9132,1.095,11.515,0.5632,1.775,2.29,0.8824,1.133,8.502,0.4813,2.078,1.928,0.8289,1.206,5.845,0.3902,2.563,1.64,0.8003,1.25,5.007,0.3183,3.141,1.467,0.7723,1.295,4.392,0.2515,3.976,1.336,0.7184,1.392,3.551,0.1892,5.285,1.233,0.6299,1.588,2.702,0.1308,7.643,1.151,0.5528,1.809,2.236,0.0907,11.026,1.1,0.4951,2.02,1.981,0.059,16.941,1.063,0.418,2.392,1.718,0.0226,44.265,1.023,0.304,3.29,1.437,0.012,83.629,1.012,0.2407,4.155,1.317
bundesliga,2026-04-25T13:30:00Z,FC Augsburg,Eintracht Frankfurt,14.32,11.49,12.6,10.81,13.25,9.23,aligned,aligned,0.0514,0.1466,,0.8404,1.19,6.267,0.7564,1.322,4.105,0.7832,1.277,4.612,0.6722,1.488,3.051,0.7111,1.406,3.461,0.591,1.692,2.445,0.6561,1.524,2.908,0.5134,1.948,2.055,0.6059,1.65,2.537,0.4472,2.236,1.809,0.5345,1.871,2.148,0.373,2.681,1.595,0.4402,2.271,1.787,0.2918,3.427,1.412,0.3553,2.814,1.551,0.2172,4.604,1.277,0.2921,3.423,1.413,0.1635,6.115,1.196,0.2239,4.467,1.288,0.1149,8.703,1.13,0.1297,7.712,1.149,0.0536,18.646,1.057,0.0885,11.298,1.097,0.032,31.206,1.033
bundesliga,2026-04-25T13:30:00Z,1. FC Heidenheim,FC St. Pauli,11.41,9.63,11.03,10.72,9.96,11.63,aligned,aligned,0.0973,0.0848,,0.7533,1.327,4.054,0.6704,1.492,3.034,0.6682,1.497,3.014,0.5641,1.773,2.294,0.5868,1.704,2.42,0.4821,2.074,1.931,0.5086,1.966,2.035,0.3911,2.557,1.642,0.442,2.262,1.792,0.3193,3.132,1.469,0.3679,2.718,1.582,0.2523,3.963,1.338,0.2874,3.479,1.403,0.1899,5.266,1.234,0.2133,4.688,1.271,0.1314,7.611,1.151,0.1601,6.245,1.191,0.0911,10.973,1.1,0.1122,8.916,1.126,0.0594,16.849,1.063,0.052,19.243,1.055,0.0228,43.955,1.023,0.0309,32.351,1.032,0.0121,82.964,1.012
bundesliga,2026-04-25T13:30:00Z,1. FC Cologne,Bayer Leverkusen,13.17,13.88,12.99,12.33,13.22,13.29,aligned,aligned,0.0175,0.0779,,0.8114,1.232,5.303,0.8299,1.205,5.878,0.7444,1.343,3.912,0.769,1.3,4.329,0.6679,1.497,3.011,0.6952,1.439,3.28,0.6041,1.655,2.526,0.6369,1.57,2.754,0.5471,1.828,2.208,0.584,1.712,2.404,0.4731,2.114,1.898,0.5115,1.955,2.047,0.3821,2.617,1.618,0.4181,2.392,1.719,0.2995,3.339,1.427,0.3338,2.996,1.501,0.2386,4.192,1.313,0.2713,3.687,1.372,0.177,5.648,1.215,0.2054,4.868,1.259,0.0948,10.549,1.105,0.1155,8.655,1.131,0.0616,16.229,1.066,0.0774,12.912,1.084
bundesliga,2026-04-25T13:30:00Z,VFL Wolfsburg,Borussia Monchengladbach,13.45,13.95,14.94,14.08,15.3,14.98,aligned,aligned,0.0239,0.0643,,0.8191,1.221,5.527,0.8317,1.202,5.941,0.7545,1.325,4.074,0.7714,1.296,4.375,0.6791,1.472,3.116,0.6978,1.433,3.31,0.6175,1.619,2.615,0.6401,1.562,2.778,0.5622,1.779,2.284,0.5877,1.702,2.425,0.4887,2.046,1.956,0.5153,1.941,2.063,0.3967,2.521,1.657,0.4218,2.371,1.73,0.3132,3.193,1.456,0.3374,2.964,1.509,0.2516,3.975,1.336,0.2747,3.641,1.379,0.1882,5.312,1.232,0.2084,4.798,1.263,0.1028,9.723,1.115,0.1178,8.488,1.134,0.0677,14.771,1.073,0.0792,12.625,1.086
epl,2026-04-25T14:00:00Z,West Ham United,Everton FC,12.67,13.55,12.57,12.67,13.6,13.41,aligned,aligned,0.082,0.0586,,0.797,1.255,4.925,0.8218,1.217,5.611,0.7252,1.379,3.639,0.7582,1.319,4.135,0.6471,1.545,2.833,0.6831,1.464,3.156,0.5792,1.726,2.377,0.6223,1.607,2.648,0.5194,1.925,2.081,0.5676,1.762,2.313,0.4448,2.248,1.801,0.4943,2.023,1.977,0.356,2.809,1.553,0.4019,2.488,1.672,0.2751,3.635,1.38,0.3182,3.142,1.467,0.2158,4.633,1.275,0.2563,3.901,1.345,0.1578,6.338,1.187,0.1924,5.198,1.238,0.0814,12.287,1.089,0.1059,9.446,1.118,0.0517,19.343,1.055,0.07,14.286,1.075
epl,2026-04-25T14:00:00Z,Wolverhampton Wanderers,Tottenham Hotspur,11.48,13.94,10.07,12.68,9.36,15.25,aligned,divergent,0.07,0.2023,,0.756,1.323,4.098,0.8313,1.203,5.929,0.6717,1.489,3.046,0.771,1.297,4.366,0.5904,1.694,2.442,0.6974,1.434,3.304,0.5127,1.95,2.052,0.6395,1.564,2.774,0.4466,2.239,1.807,0.587,1.703,2.421,0.3723,2.686,1.593,0.5146,1.943,2.06,0.2913,3.433,1.411,0.4211,2.375,1.728,0.2167,4.615,1.277,0.3367,2.97,1.508,0.1631,6.132,1.195,0.274,3.649,1.377,0.1145,8.731,1.129,0.2079,4.811,1.262,0.0534,18.724,1.056,0.1174,8.518,1.133,0.0319,31.354,1.033,0.0789,12.677,1.086
epl,2026-04-25T14:00:00Z,Liverpool FC,Crystal Palace,15.8,10.29,16.71,9.03,17.57,8.7,aligned,aligned,0.0514,0.0373,,0.8698,1.15,7.681,0.7044,1.42,3.383,0.823,1.215,5.65,0.6061,1.65,2.539,0.7569,1.321,4.114,0.5236,1.91,2.099,0.7119,1.405,3.471,0.4367,2.29,1.775,0.6698,1.493,3.029,0.366,2.732,1.577,0.6034,1.657,2.521,0.2954,3.386,1.419,0.5083,1.967,2.034,0.2255,4.435,1.291,0.4236,2.361,1.735,0.1604,6.234,1.191,0.36,2.778,1.563,0.1149,8.706,1.13,0.286,3.497,1.4,0.077,12.987,1.083,0.1805,5.542,1.22,0.0319,31.394,1.033,0.1301,7.688,1.15,0.0177,56.559,1.018
la-liga,2026-04-25T14:15:00Z,Getafe CF,FC Barcelona,7.04,17.47,6.62,19.22,6.26,20.13,aligned,aligned,0.0544,0.0475,,0.4821,2.074,1.931,0.8953,1.117,9.55,0.3519,2.842,1.543,0.8578,1.166,7.034,0.2853,3.505,1.399,0.7985,1.252,4.963,0.1951,5.126,1.242,0.763,1.311,4.219,0.1361,7.348,1.158,0.7289,1.372,3.689,0.0963,10.383,1.107,0.6689,1.495,3.021,0.0681,14.675,1.073,0.5763,1.735,2.36,0.0408,24.533,1.042,0.4947,2.021,1.979,0.0238,42.009,1.024,0.4334,2.307,1.765,0.0133,75.151,1.013,0.3563,2.806,1.554,0.0034,297.822,1.003,0.2438,4.102,1.322,0.0014,727.397,1.001,0.1852,5.398,1.227
serie-a,2026-04-25T16:00:00Z,Bologna FC,AS Roma,12.1,8.68,12.58,7.94,11.93,6.74,aligned,divergent,0.0517,0.1506,,0.7785,1.285,4.514,0.6126,1.632,2.581,0.7009,1.427,3.343,0.4952,2.019,1.981,0.6211,1.61,2.639,0.416,2.404,1.712,0.5485,1.823,2.215,0.3212,3.113,1.473,0.4855,2.06,1.944,0.2504,3.993,1.334,0.4107,2.435,1.697,0.1912,5.23,1.236,0.3252,3.075,1.482,0.1409,7.099,1.164,0.247,4.049,1.328,0.0931,10.742,1.103,0.1901,5.26,1.235,0.0612,16.327,1.065,0.1364,7.329,1.158,0.038,26.287,1.04,0.0672,14.884,1.072,0.0128,77.878,1.013,0.0415,24.106,1.043,0.0063,158.908,1.006
bundesliga,2026-04-25T16:30:00Z,Hamburger SV,TSG Hoffenheim,11.12,16.08,12.45,13.88,10.76,14.69,aligned,aligned,0.1353,0.0587,,0.7417,1.348,3.871,0.8745,1.143,7.97,0.6533,1.531,2.884,0.8294,1.206,5.863,0.5714,1.75,2.333,0.7645,1.308,4.246,0.4908,2.037,1.964,0.7212,1.387,3.587,0.423,2.364,1.733,0.6805,1.469,3.13,0.3494,2.862,1.537,0.6151,1.626,2.598,0.2714,3.684,1.373,0.5202,1.922,2.084,0.1994,5.016,1.249,0.4358,2.295,1.772,0.148,6.758,1.174,0.3725,2.685,1.594,0.1025,9.752,1.114,0.2977,3.359,1.424,0.0462,21.633,1.048,0.1906,5.247,1.235,0.027,36.983,1.028,0.1387,7.212,1.161
epl,2026-04-25T16:30:00Z,Arsenal FC,Newcastle United,16.39,8.36,17.61,7.64,16.66,7.36,aligned,aligned,0.0541,0.0363,,0.8797,1.137,8.311,0.5903,1.694,2.441,0.8365,1.196,6.115,0.4695,2.13,1.885,0.7728,1.294,4.402,0.3919,2.551,1.645,0.7314,1.367,3.723,0.2967,3.37,1.422,0.6923,1.444,3.25,0.2271,4.403,1.294,0.6281,1.592,2.689,0.1712,5.842,1.207,0.5336,1.874,2.144,0.1252,7.99,1.143,0.4497,2.224,1.817,0.0813,12.299,1.089,0.3867,2.586,1.63,0.0524,19.075,1.055,0.3111,3.214,1.452,0.032,31.269,1.033,0.2024,4.94,1.254,0.0103,97.269,1.01,0.1488,6.72,1.175,0.0049,204.525,1.005
la-liga,2026-04-25T16:30:00Z,Valencia CF,Girona FC,16.37,8.78,16.37,8.66,15.8,9.65,aligned,aligned,0.0348,0.1141,,0.8793,1.137,8.285,0.6186,1.616,2.622,0.8359,1.196,6.095,0.5023,1.991,2.009,0.7722,1.295,4.39,0.4227,2.366,1.732,0.7307,1.369,3.713,0.3281,3.048,1.488,0.6915,1.446,3.241,0.257,3.89,1.346,0.6271,1.595,2.682,0.197,5.076,1.245,0.5326,1.878,2.14,0.1454,6.877,1.17,0.4486,2.229,1.814,0.0966,10.356,1.107,0.3856,2.594,1.628,0.0639,15.654,1.068,0.3101,3.225,1.449,0.0399,25.081,1.042,0.2015,4.963,1.252,0.0136,73.324,1.014,0.148,6.756,1.174,0.0067,148.4,1.007
serie-a,2026-04-25T18:45:00Z,Hellas Verona,US Lecce,13.37,9.38,12.12,9.11,11.76,9.73,aligned,aligned,0.0295,0.0679,,0.8169,1.224,5.461,0.6561,1.524,2.907,0.7516,1.33,4.026,0.5467,1.829,2.206,0.6759,1.48,3.085,0.4653,2.149,1.87,0.6137,1.63,2.588,0.3729,2.682,1.595,0.5579,1.793,2.262,0.301,3.322,1.431,0.4842,2.065,1.939,0.2359,4.24,1.309,0.3924,2.548,1.646,0.1765,5.665,1.214,0.3092,3.234,1.448,0.1207,8.283,1.137,0.2478,4.036,1.329,0.0826,12.101,1.09,0.185,5.407,1.227,0.0532,18.803,1.056,0.1005,9.953,1.112,0.0198,50.632,1.02,0.0659,15.176,1.071,0.0103,97.437,1.01
