mode,market,variant,n,mae,bias,rmse,logloss,delta_mae_vs_current,delta_ll_vs_current
same_year,aces,cpi_ace+0.050_df-0.020,2032,2.938887,0.045630,4.144041,0.658579,-0.009061,0.000451
same_year,aces,cpi_ace+0.050_df-0.010,2032,2.938887,0.045630,4.144041,0.658579,-0.009061,0.000451
same_year,aces,cpi_ace+0.050_df+0.000,2032,2.938887,0.045630,4.144041,0.658579,-0.009061,0.000451
same_year,aces,cpi_ace+0.050_df+0.010,2032,2.938887,0.045630,4.144041,0.658579,-0.009061,0.000451
same_year,aces,cpi_ace+0.050_df+0.020,2032,2.938887,0.045630,4.144041,0.658579,-0.009061,0.000451
same_year,aces,cpi_ace+0.035_df-0.020,2032,2.941037,0.073956,4.142336,0.658401,-0.006911,0.000274
same_year,aces,cpi_ace+0.035_df-0.010,2032,2.941037,0.073956,4.142336,0.658401,-0.006911,0.000274
same_year,aces,cpi_ace+0.035_df+0.000,2032,2.941037,0.073956,4.142336,0.658401,-0.006911,0.000274
same_year,aces,cpi_ace+0.035_df+0.010,2032,2.941037,0.073956,4.142336,0.658401,-0.006911,0.000274
same_year,aces,cpi_ace+0.035_df+0.020,2032,2.941037,0.073956,4.142336,0.658401,-0.006911,0.000274
same_year,aces,cpi_ace+0.025_df-0.020,2032,2.942695,0.092840,4.141426,0.658303,-0.005253,0.000176
same_year,aces,cpi_ace+0.025_df-0.010,2032,2.942695,0.092840,4.141426,0.658303,-0.005253,0.000176
same_year,aces,cpi_ace+0.025_df+0.000,2032,2.942695,0.092840,4.141426,0.658303,-0.005253,0.000176
same_year,aces,cpi_ace+0.025_df+0.010,2032,2.942695,0.092840,4.141426,0.658303,-0.005253,0.000176
same_year,aces,cpi_ace+0.025_df+0.020,2032,2.942695,0.092840,4.141426,0.658303,-0.005253,0.000176
same_year,aces,cpi_ace+0.015_df-0.020,2032,2.944621,0.111724,4.140699,0.658221,-0.003327,0.000094
same_year,aces,cpi_ace+0.015_df-0.010,2032,2.944621,0.111724,4.140699,0.658221,-0.003327,0.000094
same_year,aces,cpi_ace+0.015_df+0.000,2032,2.944621,0.111724,4.140699,0.658221,-0.003327,0.000094
same_year,aces,cpi_ace+0.015_df+0.010,2032,2.944621,0.111724,4.140699,0.658221,-0.003327,0.000094
same_year,aces,cpi_ace+0.015_df+0.020,2032,2.944621,0.111724,4.140699,0.658221,-0.003327,0.000094
same_year,aces,current,2032,2.947948,0.140050,4.139949,0.658128,0.000000,0.000000
same_year,dfs,cpi_ace+0.015_df+0.020,2032,2.030049,-0.099806,2.652095,0.665108,-0.002501,0.000079
same_year,dfs,cpi_ace+0.025_df+0.020,2032,2.030049,-0.099806,2.652095,0.665108,-0.002501,0.000079
same_year,dfs,cpi_ace+0.035_df+0.020,2032,2.030049,-0.099806,2.652095,0.665108,-0.002501,0.000079
same_year,dfs,cpi_ace+0.050_df+0.020,2032,2.030049,-0.099806,2.652095,0.665108,-0.002501,0.000079
same_year,dfs,cpi_ace+0.015_df+0.010,2032,2.031291,-0.086066,2.652613,0.665057,-0.001260,0.000028
same_year,dfs,cpi_ace+0.025_df+0.010,2032,2.031291,-0.086066,2.652613,0.665057,-0.001260,0.000028
same_year,dfs,cpi_ace+0.035_df+0.010,2032,2.031291,-0.086066,2.652613,0.665057,-0.001260,0.000028
same_year,dfs,cpi_ace+0.050_df+0.010,2032,2.031291,-0.086066,2.652613,0.665057,-0.001260,0.000028
same_year,dfs,current,2032,2.032551,-0.072325,2.653270,0.665029,0.000000,0.000000
same_year,dfs,cpi_ace+0.015_df+0.000,2032,2.032551,-0.072325,2.653270,0.665029,0.000000,0.000000
same_year,dfs,cpi_ace+0.025_df+0.000,2032,2.032551,-0.072325,2.653270,0.665029,0.000000,0.000000
same_year,dfs,cpi_ace+0.035_df+0.000,2032,2.032551,-0.072325,2.653270,0.665029,0.000000,0.000000
same_year,dfs,cpi_ace+0.050_df+0.000,2032,2.032551,-0.072325,2.653270,0.665029,0.000000,0.000000
same_year,dfs,cpi_ace+0.015_df-0.010,2032,2.033915,-0.058585,2.654067,0.665024,0.001364,-0.000005
same_year,dfs,cpi_ace+0.025_df-0.010,2032,2.033915,-0.058585,2.654067,0.665024,0.001364,-0.000005
same_year,dfs,cpi_ace+0.035_df-0.010,2032,2.033915,-0.058585,2.654067,0.665024,0.001364,-0.000005
same_year,dfs,cpi_ace+0.050_df-0.010,2032,2.033915,-0.058585,2.654067,0.665024,0.001364,-0.000005
same_year,dfs,cpi_ace+0.015_df-0.020,2032,2.035339,-0.044844,2.655004,0.665041,0.002789,0.000012
same_year,dfs,cpi_ace+0.025_df-0.020,2032,2.035339,-0.044844,2.655004,0.665041,0.002789,0.000012
same_year,dfs,cpi_ace+0.035_df-0.020,2032,2.035339,-0.044844,2.655004,0.665041,0.002789,0.000012
same_year,dfs,cpi_ace+0.050_df-0.020,2032,2.035339,-0.044844,2.655004,0.665041,0.002789,0.000012
