mode,market,variant,n,mae,bias,rmse,logloss,delta_mae_vs_current,delta_ll_vs_current
lagged,aces,current,3504,2.584153,0.032759,3.668774,0.667174,0.000000,0.000000
lagged,aces,cpi_ace+0.015_df-0.020,3504,2.584252,0.022274,3.671619,0.667222,0.000099,0.000048
lagged,aces,cpi_ace+0.015_df-0.010,3504,2.584252,0.022274,3.671619,0.667222,0.000099,0.000048
lagged,aces,cpi_ace+0.015_df+0.000,3504,2.584252,0.022274,3.671619,0.667222,0.000099,0.000048
lagged,aces,cpi_ace+0.015_df+0.010,3504,2.584252,0.022274,3.671619,0.667222,0.000099,0.000048
lagged,aces,cpi_ace+0.015_df+0.020,3504,2.584252,0.022274,3.671619,0.667222,0.000099,0.000048
lagged,aces,cpi_ace+0.025_df-0.020,3504,2.584513,0.015284,3.673777,0.667274,0.000360,0.000100
lagged,aces,cpi_ace+0.025_df-0.010,3504,2.584513,0.015284,3.673777,0.667274,0.000360,0.000100
lagged,aces,cpi_ace+0.025_df+0.000,3504,2.584513,0.015284,3.673777,0.667274,0.000360,0.000100
lagged,aces,cpi_ace+0.025_df+0.010,3504,2.584513,0.015284,3.673777,0.667274,0.000360,0.000100
lagged,aces,cpi_ace+0.025_df+0.020,3504,2.584513,0.015284,3.673777,0.667274,0.000360,0.000100
lagged,aces,cpi_ace+0.035_df-0.020,3504,2.584823,0.008294,3.676145,0.667342,0.000670,0.000168
lagged,aces,cpi_ace+0.035_df-0.010,3504,2.584823,0.008294,3.676145,0.667342,0.000670,0.000168
lagged,aces,cpi_ace+0.035_df+0.000,3504,2.584823,0.008294,3.676145,0.667342,0.000670,0.000168
lagged,aces,cpi_ace+0.035_df+0.010,3504,2.584823,0.008294,3.676145,0.667342,0.000670,0.000168
lagged,aces,cpi_ace+0.035_df+0.020,3504,2.584823,0.008294,3.676145,0.667342,0.000670,0.000168
lagged,aces,cpi_ace+0.050_df-0.020,3504,2.585447,-0.002190,3.680089,0.667474,0.001293,0.000300
lagged,aces,cpi_ace+0.050_df-0.010,3504,2.585447,-0.002190,3.680089,0.667474,0.001293,0.000300
lagged,aces,cpi_ace+0.050_df+0.000,3504,2.585447,-0.002190,3.680089,0.667474,0.001293,0.000300
lagged,aces,cpi_ace+0.050_df+0.010,3504,2.585447,-0.002190,3.680089,0.667474,0.001293,0.000300
