tour,year,date,tournament,round,surface,player,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,same_tournament_matches,notes
ATP,2024,2024-01-15,Australian Open,R128,Hard,Novak Djokovic,Dino Prizmic,11,10.690,10.790,1,4.046,4.243,MED,HIGH,110.934,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Dino Prizmic,Novak Djokovic,7,6.188,3.511,7,3.178,2.341,LOW,LOW,119.770,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alexei Popyrin,Marc Polmans,20,14.835,14.715,3,4.137,4.296,MED,MED,122.554,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Marc Polmans,Alexei Popyrin,11,12.528,13.845,5,4.055,5.035,LOW,LOW,117.052,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Gael Monfils,Yannick Hanfmann,16,14.171,13.122,5,6.209,7.129,MED,MED,116.710,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Yannick Hanfmann,Gael Monfils,6,9.265,8.998,4,2.902,2.636,MED,MED,124.791,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Tomas Martin Etcheverry,Andy Murray,11,9.118,8.583,0,2.339,2.058,MED,MED,116.930,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Andy Murray,Tomas Martin Etcheverry,6,7.106,6.304,2,3.222,3.200,MED,MED,121.930,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Adrian Mannarino,Stan Wawrinka,13,8.564,8.222,6,2.918,2.917,MED,HIGH,116.791,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Stan Wawrinka,Adrian Mannarino,14,13.788,13.398,0,3.018,2.966,MED,MED,115.501,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jaume Munar,Alexander Shevchenko,8,9.155,7.789,3,4.185,4.566,MED,MED,118.715,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alexander Shevchenko,Jaume Munar,3,8.204,7.362,5,3.345,3.341,MED,MED,119.581,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Christopher Oconnell,Cristian Garin,18,12.513,12.398,5,2.432,2.120,MED,MED,119.356,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Cristian Garin,Christopher Oconnell,13,9.064,8.015,10,4.582,5.020,MED,MED,117.314,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Ben Shelton,Roberto Bautista Agut,14,14.386,13.896,2,5.139,5.558,MED,HIGH,116.059,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Roberto Bautista Agut,Ben Shelton,1,6.541,4.894,2,2.875,2.787,MED,MED,117.796,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Taylor Fritz,Facundo Diaz Acosta,8,16.505,14.957,1,3.259,3.303,MED,HIGH,114.973,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Facundo Diaz Acosta,Taylor Fritz,4,6.751,3.493,7,5.194,6.985,LOW,LOW,120.692,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Hugo Gaston,Roberto Carballes Baena,8,7.045,4.851,3,3.367,2.911,MED,MED,127.092,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Roberto Carballes Baena,Hugo Gaston,8,6.136,5.218,3,3.623,3.691,MED,MED,116.834,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Fabian Marozsan,Marin Cilic,10,8.173,7.951,3,3.329,3.280,MED,MED,115.885,0,NO_OPP_DATA;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Marin Cilic,Fabian Marozsan,16,15.353,19.107,6,5.800,11.464,LOW,LOW,124.192,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Francisco Cerundolo,Dane Sweeny,9,5.792,5.371,3,4.530,4.909,MED,MED,120.118,0,NO_OPP_DATA;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Dane Sweeny,Francisco Cerundolo,1,6.560,1.438,7,3.523,2.876,LOW,LOW,117.205,0,LOW_SAMPLE;TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Lorenzo Musetti,Benjamin Bonzi,7,7.234,5.911,4,3.535,3.703,MED,MED,117.963,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Benjamin Bonzi,Lorenzo Musetti,6,11.488,10.425,4,3.472,3.586,MED,MED,119.985,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Luca Van Assche,James Duckworth,11,8.450,6.904,6,3.712,3.809,MED,MED,119.586,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,James Duckworth,Luca Van Assche,21,13.055,12.676,3,3.119,2.730,MED,MED,117.986,0,TOURNAMENT_DEBUT;VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jordan Thompson,Aleksandar Vukic,18,13.216,12.463,3,2.270,1.900,MED,MED,117.977,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Aleksandar Vukic,Jordan Thompson,14,13.212,12.699,2,3.233,3.204,MED,MED,118.565,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Stefanos Tsitsipas,Zizou Bergs,10,12.592,12.092,6,3.020,3.096,MED,HIGH,112.979,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
ATP,2024,2024-01-15,Australian Open,R128,Hard,Zizou Bergs,Stefanos Tsitsipas,6,11.372,11.561,3,3.952,3.750,MED,MED,114.989,0,VENUE_SCOPE:australian open;VENUE_SAMPLE:OK
